,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,BookishStitcher's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Tempest of Tea        (Blood and Tea, #1)","Faizal, Hafsah*",0374389403,9780374389406,0374389403,338        pp,3.73,"7,333","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/59406549-a-tempest-of-tea
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Ascension,"MacInnes, Martin*",0802163467,9780802163462,0802163467,512        pp,3.82,"5,125","Apr 03, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Paperback,view,/book/show/197063361-in-ascension
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nothing Special, Vol. 1: Through the Elder Woods","Cook, Katie",1984862820,9781984862822,1984862820,416        pp,4.35,210,"Mar 05, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I just love a cute story with adorable art work. I hope there are more of these to read in the future.,Notes are private!,0,1,1,"Apr 05, 2024","Apr 08, 2024","Apr 05, 2024",,Hardcover,view (with text),/book/show/174146834-nothing-special-vol-1
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Tainted Cup        (Shadow of the Leviathan, #1)","Bennett, Robert Jackson*",1984820702,9781984820709,1984820702,413        pp,4.36,"7,157","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Hardcover,view,/book/show/150247395-the-tainted-cup
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mysterious Case of the Alperton Angels,"Hallett, Janice",1800810407,9781800810402,1800810407,416        pp,4.03,"14,152","Sep 14, 2023","Sep 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024",not set,"Mar 29, 2024",,Hardcover,view,/book/show/61157639-the-mysterious-case-of-the-alperton-angels
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Womb City,"Tsamaase, Tlotlo*",1645660567,9781645660569,1645660567,416        pp,3.25,"1,053","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 25, 2024",not set,"Mar 25, 2024",,Hardcover,view,/book/show/61725531-womb-city
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Stranger,"Center, Katherine*",1250283787,9781250283788,1250283787,323        pp,3.96,"80,324","Jul 11, 2023","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This story was cute, but I saw the twist right at the beginning so it wasn't a surprise.This story was cute, but I saw the twist right at the beginning so it wasn't a surprise....more",Notes are private!,0,3,1,"Mar 23, 2024","Apr 03, 2024","Mar 23, 2024",,Hardcover,view (with text),/book/show/61884987-hello-stranger
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"225,345","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024",not set,"Mar 17, 2024",,Hardcover,view,/book/show/127305853-the-women
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Edith Holler,"Carey, Edward",059318890X,9780593188903,059318890X,400        pp,3.91,376,"Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/142600807-edith-holler
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bride,"Hazelwood, Ali*",,,B0C9GQV1TT,410        pp,4.11,"180,564","Feb 06, 2024","Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I listened to the audiobook of this. I enjoyed it, but I prefer Ali Hazelwood's contemporary romance novels more than this urban fantasy romance.I listened to the audiobook of this. I enjoyed it, but I prefer Ali Hazelwood's contemporary romance novels more than this urban fantasy romance....more",Notes are private!,0,8,1,"Mar 14, 2024","Mar 30, 2024","Mar 14, 2024",,Kindle Edition,view (with text),/book/show/181344829-bride
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Love Song for Ricki Wilde,"Williams, Tia*",153872670X,9781538726709,153872670X,352        pp,4.10,"10,265","Feb 06, 2024","Feb 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I listened to the audiobook of this, and I enjoyed the narration. The writing was beautiful and poetic. I would definitely read another Tia Williams.",Notes are private!,0,5,1,"Mar 09, 2024","Mar 31, 2024","Mar 09, 2024",,Hardcover,view (with text),/book/show/173404023-a-love-song-for-ricki-wilde
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Warm Hands of Ghosts,"Arden, Katherine*",0593128257,9780593128251,0593128257,325        pp,4.09,"6,134","Feb 13, 2024","Feb 13, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Katherine Arden creates another haunting historical fiction novel. You can check anytime you want, but you can never leave.",Notes are private!,0,4,1,"Mar 07, 2024","Mar 17, 2024","Mar 07, 2024",,Hardcover,view (with text),/book/show/154462576-the-warm-hands-of-ghosts
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Stellarlune        (Keeper of the Lost Cities, #9)","Messenger, Shannon*",,,B09G3HHMYY,800        pp,4.45,"18,190","Nov 08, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Kindle Edition,view,/book/show/40219200-stellarlune
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Last Resort,"Golden, Christopher*",,,B0C1X93LG7,292        pp,3.29,"2,037","Jan 30, 2024","Jan 30, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was a good horror novel definitely helped to take my mind off some stuff. I would read more by this author.,Notes are private!,0,2,1,"Mar 06, 2024","Mar 29, 2024","Mar 06, 2024",,Kindle Edition,view (with text),/book/show/126918644-the-house-of-last-resort
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Age of Myth        (The Legends of the First Empire, #1)","Sullivan, Michael J.*",1101965339,9781101965337,1101965339,432        pp,4.22,"36,089","Jun 28, 2016","Jun 28, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/26863057-age-of-myth
