,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lavinia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alltings början,"Ramqvist, Karolina",9113041290,9789113041292,9113041290,377        pp,3.59,"1,672",2012,"Jul 25, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 31, 2024",not set,"Mar 31, 2024",,Hardcover,view,/book/show/15775920-alltings-b-rjan
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Între vii,"Popa, Iulian*",,9789735082222,,272        pp,4.73,15,unknown,"Dec 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024","Apr 06, 2024","Mar 29, 2024",,Paperback,view,/book/show/203117367-ntre-vii
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Beekeeper's Apprentice        (Mary Russell, #1)","King, Laurie R.*",0749008520,9780749008529,0749008520,440        pp,4.05,"82,995","Jan 15, 1994",2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024","Mar 31, 2024","Mar 23, 2024",,Paperback,view,/book/show/7761406-the-beekeeper-s-apprentice
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women's Room,"French, Marilyn",1860492827,9781860492822,1860492827,526        pp,3.98,"8,864","May 01, 1977","Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/46456.The_Women_s_Room
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Granta Book Of The Irish Short Story,"Enright, Anne",1847082556,9781847082558,1847082556,464        pp,3.90,286,"Jan 15, 2011","Apr 05, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 16, 2024",not set,"Mar 16, 2024",,Paperback,view,/book/show/10995051-the-granta-book-of-the-irish-short-story
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Trilogy: A Life in Three Stories,"Schneck, Colombe",1398529400,9781398529403,B0CGRXNGW9,0        pp,3.77,225,unknown,"May 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Kindle Edition,view,/book/show/198112344-the-paris-trilogy
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,În creștere,"Mateiu, Mihai",,9786064019356,,160        pp,3.87,83,unknown,May 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2024","Mar 16, 2024","Mar 10, 2024",,Paperback,view,/book/show/170205975-n-cre-tere
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Despre memoriile femeii și alți dragoni,"Nagy, Raluca*",6064316829,9786064316820,6064316829,136        pp,3.92,120,unknown,"Sep 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Mar 09, 2024not set","Mar 09, 2024not set","Mar 09, 2024",,Paperback,view,/book/show/199011732-despre-memoriile-femeii-i-al-i-dragoni
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Curious Incident of the Dog in the Night-Time,"Haddon, Mark",0099450259,9780099450252,B00RP6QWMW,272        pp,3.89,"1,478,885","Jul 31, 2003","Apr 15, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 29, 2024","Mar 04, 2024","Feb 29, 2024",,Paperback,view,/book/show/3437.The_Curious_Incident_of_the_Dog_in_the_Night_Time
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monsters: A Fan's Dilemma,"Dederer, Claire",1399715038,9781399715034,1399715038,288        pp,3.82,"9,403","Apr 25, 2023","May 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 27, 2024","Mar 23, 2024","Feb 27, 2024",,Hardcover,view,/book/show/63904708-monsters
