,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Janet's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Peach Seed,"Jones, Anita Gail",1250872057,9781250872050,1250872057,448        pp,3.89,407,"Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/61796657-the-peach-seed
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shame,"Ernaux, Annie*",,,,112        pp,3.68,"10,982",Jun 1997,1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/124950408-shame
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ill Will,"Chaon, Dan*",0345476042,9780345476043,0345476042,496        pp,3.36,"10,835","Mar 07, 2017","Mar 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/30687788-ill-will
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Voice is All: The Lonely Victory of Jack Kerouac,"Johnson, Joyce",0670025100,9780670025107,0670025100,512        pp,4.05,403,2012,2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/13589135-the-voice-is-all
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Moons of Maali Almeida,"Karunatilaka, Shehan*",1908745908,9781908745903,1908745908,386        pp,3.93,"39,496","Aug 04, 2022","Aug 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/57224204-the-seven-moons-of-maali-almeida
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dancing on the Edge: A Journey of Living, Loving, and Tumbling through Hollywood","Tamblyn, Russ",,9798212273312,B0BXMV71SS,360        pp,4.30,10,unknown,"Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/144387931-dancing-on-the-edge
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Chronicles, Volume One","Dylan, Bob",0743244583,9780743244589,0743244583,320        pp,3.97,"56,849","Nov 12, 2004","Sep 13, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Apr 06, 2024Apr 05, 2024",not setnot set,"Apr 05, 2024",,Paperback,view,/book/show/14318.Chronicles_Volume_One
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why Kerouac Matters: The Lessons of On the Road,"Leland, John",0670063258,9780670063253,0670063258,205        pp,3.74,343,"Aug 16, 2007","Aug 16, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/587925.Why_Kerouac_Matters
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intimacies,"Kitamura, Katie*",0399576169,9780399576164,0399576169,225        pp,3.65,"33,282","Jul 20, 2021","Jul 20, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A very small, quiet book whose little fragments of relationship--unexpected moments of intimacy-gather power and create a subtle whole. The unnamed prA very small, quiet book whose little fragments of relationship--unexpected moments of intimacy-gather power and create a subtle whole. The unnamed protagonist is a French to English translator at the High Court in The Hague, where she translates in cases of the most heinous violence, war crimes and ethnic cleansing--and captures the strange but resonant emotion of simultaneous translation, in which the translator comes to focus entirely on the words rather than the meaning of the whole. A useful but unnerving unconscious tool for divorcing the person from the momentousness of the subject matter, and, it is implied, the lens through which we view the world.She has been brought up, she tells us, in a number of different places, her parents frequently relocating--she has spent the most time in the United States and the voice is American, yet her mother lives in Singapore and in a Chinese restaurant in the Hague, a waitress speaks hopefully to her in Mandarin, is disappointed when she doesn't speak it. Her cosmopolitanism isn't held out as a virtue, in fact, we come to understand there's a yearning for place, for belonging, which is first expressed with a visit to her friend Jana, who has bought an apartment in a somewhat dangerous area of town, and is trying to convince her to move there as well. How owning an apartment--real estate--changes a person in some hidden but important way. She develops a relationship with a Dutch man whose wife has recently left him and moved to Lisbon--but is unsure about what it is, their intimacy is still tenuous... She moves along with him and with Jana too, in a system of clues. She is assigned to translate for a ""former president"" accused of horrific violence--and questions the resulting sense of intimacy as she's whispering in his ear the testimony of his crimes. An antique bookseller is assaulted in Jana's neighborhood and she develops an obsession with the case, that he cannot remember anything about it, and eventually meets him--but each 'relationship' is highly tenuous, based more on interiority than on communication with the other. The quietude and interiority reminds me of Brookner's novels--very European and implicit... It's a two day read at most, but so subtle... now that I've finished I want to immediately go back through it and reassess what I've read. It ends with a nod to Joyce, which made me laugh, because I can't imagine anything less Joycean--passionate and maximalist and word drunk and overt--than this novel. Maybe it's the character's decision to accept a relationship and a place that allows this nod. I can't imagine it's accidental....more",Notes are private!,0,7,1,"Apr 05, 2024","Apr 06, 2024","Apr 05, 2024",,Hardcover,view (with text),/book/show/55918474-intimacies
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simple Passion,"Ernaux, Annie*",1644213575,9781644213575,,67        pp,3.93,"30,124",1991,"Aug 05, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An extremely short bit of auto fiction, a cool examination of the author's passionate love affair with a married man, a foreigner working in Paris, onAn extremely short bit of auto fiction, a cool examination of the author's passionate love affair with a married man, a foreigner working in Paris, only designated as A. Its primary interest for me was the contrast between the tone of the writing--clinical, a completely rational non-romantic observation of the delirium of her passion. It seems to be written almost out of puzzlement, an examination of mundane details of such a romantic obsession--Ernaux is like a scientist of her own emotions. It was a wonderful reminder of that most evanescent of powerful feelings--sexual obsession, so easily forgotten once it's over. The waiting. The impatience with everything that is not the lover. The choosing of just what clothing to wear. The games one plays with fate--if so and so happens, then he will call. The treasured objects he handled--the bathrobe, a glass she didn't wash. The overpowering awareness that the lover, except for their physicality, is a complete stranger. The nature of time when one is in that kind of rapturous, anxious state. I didn't love the book, the tone and absence of anything we might call a 'story' kept me from warming to it, but its method is fascinating....more",Notes are private!,0,11,1,not set,not set,"Mar 31, 2024",,Paperback,view (with text),/book/show/58678702-simple-passion
