,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Michele's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Quantum Wellness Cleanse: The 21-Day Essential Guide to Healing Your Mind, Body and Spirit","Freston, Kathy",,,B00276HADA,323        pp,3.79,309,"Jul 01, 2007",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 27, 2015",not set,"Oct 27, 2015",,Kindle Edition,view,/book/show/6593037-quantum-wellness-cleanse
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girls from Ames: A Story of Women and a Forty-Year Friendship,"Zaslow, Jeffrey",1592404456,9781592404452,1592404456,297        pp,3.38,"12,164","Jan 01, 2009","Apr 21, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Sep 09, 2014",,Hardcover,view,/book/show/6098148-the-girls-from-ames
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vanessa and Virginia,"Sellers, Susan*",0151014744,9780151014743,0151014744,213        pp,3.43,712,2008,"May 14, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Hardcover,view,/book/show/5505825-vanessa-and-virginia
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Running the Rift,"Benaron, Naomi*",1616200421,9781616200428,1616200421,365        pp,3.97,"7,068",2010,"Jan 03, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Hardcover,view,/book/show/11092210-running-the-rift
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frankenstein,"Shelley, Mary",,,,166        pp,3.87,"1,597,404",1818,"Oct 21, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Paperback,view,/book/show/89476.Frankenstein
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild Mind: Living the Writer's Life,"Goldberg, Natalie",0553347756,9780553347753,0553347756,238        pp,4.14,"6,430",1990,"Oct 01, 1990",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Paperback,view,/book/show/357464.Wild_Mind
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hummingbird's Daughter,"Urrea, Luis Alberto*",0316154520,9780316154529,0316154520,499        pp,4.21,"13,469","May 17, 2005","Apr 03, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Paperback,view,/book/show/91289.The_Hummingbird_s_Daughter
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Return to Wake Robin: One Cabin in the Heyday of Northwoods Resorts,"Mamminga, Marnie O.",0870204912,9780870204913,0870204912,184        pp,4.00,337,"May 21, 2012","May 21, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Hardcover,view,/book/show/13219186-return-to-wake-robin
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Perks of Being a Wallflower,"Chbosky, Stephen",1451696191,9781451696196,B016MU4BE2,213        pp,4.23,"1,793,298","Feb 01, 1999","Jan 01, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Paperback,view,/book/show/13573503-the-perks-of-being-a-wallflower
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plan: Lose Weight Fast and Forever by Eating the Right Foods for Your Body,"Recitas, Lyn-Genet",1455515485,9781455515486,,272        pp,3.66,"1,230",2013,"Jan 08, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Hardcover,view,/book/show/15018749-the-plan
