,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Katie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tarantula,"Dylan, Bob",0743230418,9780743230414,0743230418,144        pp,3.26,"3,990",1971,"Oct 19, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/132025.Tarantula
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Shall Know Our Velocity!,"Eggers, Dave",1400033543,9781400033546,1400033543,401        pp,3.63,"29,121","Sep 01, 2002","Jul 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2021",not set,"Dec 20, 2021",,Paperback,view,/book/show/4954.You_Shall_Know_Our_Velocity_
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How We Are Hungry: Stories,"Eggers, Dave",1400095565,9781400095568,1400095565,218        pp,3.75,"13,766",2004,"Oct 11, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 20, 2021",,Paperback,view,/book/show/4955.How_We_Are_Hungry
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shell Collector,"Doerr, Anthony*",0142002968,9780142002964,0142002968,219        pp,3.99,"16,052",2001,"Feb 15, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 20, 2021",,Paperback,view,/book/show/883235.The_Shell_Collector
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,529","May 06, 2014","Jan 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 20, 2021",,Hardcover,view,/book/show/18143977-all-the-light-we-cannot-see
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,956","Jun 16, 2009","Jun 23, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Read this book or else we aren’t friends anymore,Notes are private!,0,2,1,"Dec 20, 2021","Jan 06, 2022","Dec 20, 2021",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To the Lighthouse,"Woolf, Virginia",,,140679239X,209        pp,3.80,"183,347","May 05, 1927","Dec 27, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2021",not set,"Dec 20, 2021",,Paperback,view,/book/show/59716.To_the_Lighthouse
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Room of One’s Own,"Woolf, Virginia",,,0141183535,112        pp,4.21,"207,327",1903,"Jan 01, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 20, 2021",,Paperback,view,/book/show/18521.A_Room_of_One_s_Own
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,For the Time Being: Essays,"Dillard, Annie",0375703470,9780375703478,0375703470,205        pp,4.14,"4,130","Mar 01, 1999","Feb 08, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 20, 2021",,Paperback,view,/book/show/12532.For_the_Time_Being
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bluets,"Nelson, Maggie",1933517409,9781933517407,1933517409,112        pp,4.09,"45,199","Oct 01, 2009","Oct 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 20, 2021",,Paperback,view,/book/show/6798263-bluets
