,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Love Note,"Grey, Emma*",1958506281,9781958506288,1958506281,384        pp,4.13,"21,300","Jan 24, 2023","Nov 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Paperback,view,/book/show/123087802-the-last-love-note
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell No Lies        (Quinn & Costa #2),"Brennan, Allison*",0778331466,9780778331469,0778331466,425        pp,4.09,"5,828","Mar 30, 2021","Mar 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/53288447-tell-no-lies
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Welcome to Beach Town,"Wiggs, Susan*",0062914162,9780062914163,0062914162,336        pp,4.06,"7,300",unknown,"Jun 20, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I forgot to include this one in my batch of books I had picked up at the library the other day. It caught my eye because of, its title, and I enjoyed I forgot to include this one in my batch of books I had picked up at the library the other day. It caught my eye because of, its title, and I enjoyed the author’s book, “The Lost and Found Bookshop.” So, what is home? Is it the home you were raised in – or is it the home you choose? In many ways this can be considered a warm engaging story that gave readers a cozy feeling. It emphasized the importance of self-worth, perseverance, personal growth and the significance of family – the one you are born into and the family you choose. If you are patient with it, readers will find the story heart-warming. Perhaps even a redemption story of sorts. And for anyone who loves the surf – “welcome to beach town,” where one finds freedom amongst the waves. ...more",Notes are private!,4,19,1,not set,"Apr 11, 2024","Apr 11, 2024",,Hardcover,view (with text),/book/show/63017253-welcome-to-beach-town
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Antiracist Baby,"Kendi, Ibram X.*",0593110501,9780593110508,0593110501,32        pp,4.09,"6,511","Jun 16, 2020","Jul 14, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was thrilled when I saw this one so prominently displayed in the children’s section of my local library. It is clear from the beginning that this isI was thrilled when I saw this one so prominently displayed in the children’s section of my local library. It is clear from the beginning that this is a teaching book. One that hopes to change the landscape of our thinking about racism. Of how we can teach children to think and have explicit conversations about race and equity. Through beautiful, colorful illustrations and nine lessons, the author outlines those nine ways to be an antiracist baby. I can’t emphasize enough how much this book is such a powerful teaching tool that needs to be available in all homes and libraries throughout the world! The author provides a note to parents and caregivers at the back of the book that helps with conversation about race and racism with young children. ...more",Notes are private!,5,21,1,"Apr 10, 2024","Apr 11, 2024","Apr 10, 2024",,Hardcover,view (with text),/book/show/54061759-antiracist-baby
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Word,"Adams, Taylor*",0063222892,9780063222892,0063222892,340        pp,3.73,"53,705","Apr 25, 2023","Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/61767163-the-last-word
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death in the Dark Woods,"Ryan, Annelise*",0593441605,9780593441602,0593441605,336        pp,3.76,"1,073","Dec 12, 2023","Dec 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/71872869-death-in-the-dark-woods
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead Letters From Paradise,"McMan, Ann*",,,,unknown,4.10,255,unknown,Jun 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,,view,/book/show/60152872-dead-letters-from-paradise
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cleo McDougal Regrets Nothing,"Scotch, Allison Winn*",1542021219,9781542021210,B07YCNRCJ5,328        pp,3.67,"14,843","Aug 01, 2020","Aug 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/50532094-cleo-mcdougal-regrets-nothing
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Across China,"Weisberg, Ellen*",1847478468,9781847478467,1847478468,84        pp,4.67,6,2009,"Mar 03, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another book that came up on my Facebook memory page that was not posted on my Goodreads s. I am now bringing it here. Who wouldn’t want four frAnother book that came up on my Facebook memory page that was not posted on my Goodreads s. I am now bringing it here. Who wouldn’t want four friends as your tour directors across China? Ning, Cai, Na and Song are available to take readers across China’s thirty-four provinces, municipalities, and other regions in this fun and fact filled illustrated guided tour. Each page provides interesting information on the types of animals, or foods or mineral resources that are popular in that area. There is so much to learn for kids and adults, that it makes for a great reference tool, as well. This is a wonderful donation by the authors to our Little Free Library Shed. ...more",Notes are private!,0,6,1,not set,"Apr 10, 2024","Apr 10, 2024",,Paperback,view (with text),/book/show/7077837-all-across-china
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Full Moon,"Yoffe, Ellen Weisberg and Ken",,,B0BHBSK2RV,31        pp,5.00,1,unknown,"Oct 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This one also came up as a Facebook memory that I thought I had already posted on Goodreads. But since I had not, I am doing so now. Also, I had receiThis one also came up as a Facebook memory that I thought I had already posted on Goodreads. But since I had not, I am doing so now. Also, I had received this as a paperback. Since there is no paperback version shown here on Goodreads, I am posting my  under the Kindle edition. This is a very different kind of Halloween story. One in which a little girl asks her sister a lot of questions about a Man on the Moon. So much so that she feels compelled to write him a letter and send him some of her Halloween candy and her mask that she wore from Halloween night. Of course, we can only hope that the postmaster will know how to deliver her letter. What happens next will be exactly how you would want any book to provide for a perfect ending.This was a lovely story for any family to read together with their kids. This book was donated by the authors for our Little Free Library Shed....more",Notes are private!,0,6,1,not set,"Apr 10, 2024","Apr 10, 2024",,Kindle Edition,view (with text),/book/show/157148915-full-moon
