,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Matthew's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spectator Bird,"Stegner, Wallace",0140139400,9780140139402,0140139400,214        pp,3.99,"8,025",1976,"Nov 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Paperback,view,/book/show/11045.The_Spectator_Bird
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Angle of Repose,"Stegner, Wallace",,9780140169300,014016930X,569        pp,4.24,"59,187","Mar 01, 1971","May 28, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Paperback,view,/book/show/292408.Angle_of_Repose
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nobody's Fool        (Sully #1),"Russo, Richard*",0679753338,9780679753339,B00A2OH066,549        pp,4.11,"30,176","May 25, 1993","Apr 12, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Paperback,view,/book/show/659388.Nobody_s_Fool
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Big Rock Candy Mountain,"Stegner, Wallace",0140139397,9780140139396,0140139397,563        pp,4.19,"8,404",1943,"Mar 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Paperback,view,/book/show/10801.The_Big_Rock_Candy_Mountain
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crossing to Safety,"Stegner, Wallace",037575931X,9780375759314,037575931X,335        pp,4.16,"46,378",1987,"Apr 09, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I asked Heather to pick up a book I’d love, so she did.Crossing to Safety is perfectly human; romantic and brutal in all ways that life is. Maybe moreI asked Heather to pick up a book I’d love, so she did.Crossing to Safety is perfectly human; romantic and brutal in all ways that life is. Maybe more than any other novel, the characters stood on their own as real people. To be so filled by friendship, marriage, and life... I’ll miss it a lot. I’ll read it again. ...more",Notes are private!,1,1,1,not set,not set,"Mar 22, 2024",,Paperback,view (with text),/book/show/9820.Crossing_to_Safety
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hunt, Gather, Parent: What Ancient Cultures Can Teach Us About the Lost Art of Raising Happy, Helpful Little Humans","Doucleff, Michaeleen",1982149671,9781982149673,1982149671,352        pp,4.15,"17,975","Mar 02, 2021","Mar 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(3.5) Overall, a thought-provoking read centered on how strange parenting is in western cultures compared to the rest of the world. There are a few co(3.5) Overall, a thought-provoking read centered on how strange parenting is in western cultures compared to the rest of the world. There are a few conclusions worth applying (or at least trying). It lacked some in practical application and worldview. A book about raising joyfully obedient kids that has a main premise of “never make them do things they don’t want to do” isn’t real life. ...more",Notes are private!,0,2,1,not set,not set,"Feb 27, 2024",,Hardcover,view (with text),/book/show/54304028-hunt-gather-parent
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sick in the Head: Conversations About Life and Comedy,"Apatow, Judd",0812997581,9780812997583,,489        pp,3.65,"12,589","Jun 16, 2015","Jun 16, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Comedians talking to comedians is a rabbit hole I’ve spent plenty of time exploring. Judd surfaced some decent interviews here, and it’s interesting hComedians talking to comedians is a rabbit hole I’ve spent plenty of time exploring. Judd surfaced some decent interviews here, and it’s interesting how he started the conversations when he was in high school, but overall it seemed a little flat. Pretty inconsistent interviews in terms of content and approach that made the end product disjointed. ...more",Notes are private!,0,1,1,not set,not set,"Jan 30, 2024",,ebook,view (with text),/book/show/23834688-sick-in-the-head
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Brothers Karamazov,"Dostoevsky, Fyodor",,,0374528373,796        pp,4.37,"332,293",1880,"Jun 14, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(3.5) Though it’s not a new favorite, I’m glad I ran the long race of The Brothers Karamazov. I can’t say I related to any of the characters, maybe Al(3.5) Though it’s not a new favorite, I’m glad I ran the long race of The Brothers Karamazov. I can’t say I related to any of the characters, maybe Alyosha, but most of them are constantly in hysterics and either shouting “I love you!” or “I want to kill you!” That seems like a pattern from what Russian lit I’ve sampled. Anyway. So much philosophy and psychology in a borderline lecture format. I don’t think I’m smart enough to appreciate most of it. Genuinely hated some parts. Still, undeniably a classic and one of the most influential works of all time....more",Notes are private!,0,1,1,not set,not set,"Jan 16, 2024",,Paperback,view (with text),/book/show/4934.The_Brothers_Karamazov
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Let Me Go,"Ishiguro, Kazuo*",,,1400078776,288        pp,3.85,"694,163","Apr 05, 2005","Aug 31, 2010",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"These modern novels drive me mad. They take some “unique” hypothetical – like some of us are clones or we live on the moon – something that’s easily uThese modern novels drive me mad. They take some “unique” hypothetical – like some of us are clones or we live on the moon – something that’s easily understood from the back jacket description, and then they write a BORING ASS BOOK around it. No depth! No complexity! No subtlety! Every point driven by “What I really mean by that is…” and every transition is “Now I really want to tell you…” - choices that you would get you a C- in high school. Someday these authors will realize that setting only gets you so far. Could I do better? Nope. Do I think this qualifies as literature? Nope....more",Notes are private!,1,0,1,not set,not set,"Dec 04, 2023",,Paperback,view (with text),/book/show/6334.Never_Let_Me_Go
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Grapes of Wrath,"Steinbeck, John",067001690X,9780670016907,067001690X,479        pp,4.01,"906,514","Apr 14, 1939","Apr 10, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Steinbeck is my guy. He’s a realist, I’m a realist. He’s the North Star I point to when I say, “I like those kinds of authors.” And yet Grapes of WratSteinbeck is my guy. He’s a realist, I’m a realist. He’s the North Star I point to when I say, “I like those kinds of authors.” And yet Grapes of Wrath was so heavy and despondent I would’ve quit it if I could. But I can’t quit you, John Steinbeck! You break my heart with these stories of hunger, exhaustion, and longing for dignity. I did not have fun reading this book but it did everything it was made to do. I felt for the people, I questioned the system, I questioned myself. 3 star enjoyment, 5 star quality.“Women’s always tar’d.”...more",Notes are private!,1,3,1,not set,not set,"Nov 27, 2023",,Hardcover,view (with text),/book/show/18114322-the-grapes-of-wrath
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Till We Have Faces,"Lewis, C.S.",,,,313        pp,4.19,"70,092",1956,"Aug 06, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(4.5) After Dostoevsky this was a walk in the park. I’m sure I misunderstood some of the mythology and symbolism, but I had a good time doing it. Thou(4.5) After Dostoevsky this was a walk in the park. I’m sure I misunderstood some of the mythology and symbolism, but I had a good time doing it. Though a little heady, Lewis certainly weaves a memorable tapestry with the complexities of faith and perception. I’d love to read some commentary on it and give it another go in a few years....more",Notes are private!,1,2,1,not set,not set,"Nov 15, 2023",,Paperback,view (with text),/book/show/17343.Till_We_Have_Faces
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dandelion Wine,"Bradbury, Ray",0671037706,9780671037703,0671037706,239        pp,4.08,"70,272",1957,Jul 2000,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dandelion Wine bottles up the sweet and short-shelved human experience into a thing to be savored. I highlighted perfect dialogue and bookmarked many Dandelion Wine bottles up the sweet and short-shelved human experience into a thing to be savored. I highlighted perfect dialogue and bookmarked many chapters to read again before letting go. I cried and laughed, thought about youth and age. Life seems fuller and clearer, having been painted without flaw by Ray Bradbury.“I wouldn’t change one bit of it. If you changed it, what would we have to talk about? Nothing! And besides, I like to cry. After I cry hard it’s like it’s morning again and I’m starting the day over.”...more",Notes are private!,0,2,1,not set,not set,"Sep 17, 2023",,Paperback,view (with text),/book/show/50033.Dandelion_Wine
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Person Singular: Stories,"Murakami, Haruki",0593318072,9780593318072,0593318072,245        pp,3.54,"40,037",Jul 2020,"Apr 06, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Collection of short stories - didn’t finish. Murakami writes beautifully and effortlessly, but I can only take so many short stories in a row that ancCollection of short stories - didn’t finish. Murakami writes beautifully and effortlessly, but I can only take so many short stories in a row that anchor to some bizarre plot element yet have no clear conclusion or development. Every story turns into “Wasn’t that weird? I guess it means nothing.” When I try Murakami again I’ll go back to his full-length novels. ...more",Notes are private!,0,0,1,not set,not set,"Aug 28, 2023",,Hardcover,view (with text),/book/show/54614599-first-person-singular
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wittgenstein’s Mistress,"Markson, David",,,,unknown,3.95,"6,534","May 01, 1988",1989,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2023",,Hardcover,view,/book/show/18570140-wittgenstein-s-mistress
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Master and Margarita,"Bulgakov, Mikhail",0679760806,9780679760801,0679760806,372        pp,4.29,"353,369",1967,Mar 1996,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(3.5) The Master and Margarita is a high speed chase through surrealism and social critique. Nearly impossible to summarize, Bulgakov manages to weave(3.5) The Master and Margarita is a high speed chase through surrealism and social critique. Nearly impossible to summarize, Bulgakov manages to weave three stories into one: 1) the literal devil and his cronies pranking Moscow into chaos, 2) Pontius Pilot’s experience during the trial of Jesus, and 3) two long-lost lovers hoping to reunite. Though often confusing both in subject matter and intent, M&M was also delightfully absurd and rich with slapstick interactions. Exactly the kind of novel you appreciate more after you’ve finished and read other commentary about the story, the Soviet Union, and the author. I could see myself enjoying it much more on a second read....more",Notes are private!,0,1,1,not set,not set,"Jul 15, 2023",,Paperback,view (with text),/book/show/117833.The_Master_and_Margarita
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Are What You Love: The Spiritual Power of Habit,"Smith, James K.A.*",158743380X,9781587433801,158743380X,224        pp,4.11,"7,637","Apr 05, 2016","Apr 05, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 02, 2023",,Hardcover,view,/book/show/26568656-you-are-what-you-love
