,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Di'ana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vienintelis,"Marrs, John*",,9786094940941,,396        pp,4.11,"171,721","Jul 15, 2016","Nov 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/201689857-vienintelis
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ilga kelionė namo,Skomantas,9955699167,,,174        pp,4.17,6,unknown,2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/31146893-ilga-kelion-namo
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Batijaus kardas,Skomantas,,9789955754527,,230        pp,2.00,1,unknown,2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/61033499-batijaus-kardas
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Į pasaulio kraštą ir atgal,Skomantas,,9789955754121,,152        pp,3.40,10,"Jan 01, 2009",2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/22820342-pasaulio-kra-t-ir-atgal
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notangų vitingas Daubaras,Skomantas,,9789955754077,,160        pp,3.57,7,unknown,2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/31428026-notang-vitingas-daubaras
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Akmens kalba,Skomantas,,9789955754015,,144        pp,4.12,8,unknown,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/31428007-akmens-kalba
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Du kalavijai,Skomantas,9955601817,,,186        pp,3.60,5,unknown,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/40718707-du-kalavijai
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Šiaulių mūšis,Skomantas,,9799986476367,,208        pp,3.29,7,"Jan 01, 2003",2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/22882581-iauli-m-is
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mindaugo sūnus,Skomantas,,,,176        pp,3.70,20,"Jan 01, 1998",1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/20861322-mindaugo-s-nus
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jundos lemtis,Skomantas,9986476151,9789986476153,9986476151,154        pp,3.88,40,"Jan 01, 1997",1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/6077243-jundos-lemtis
