,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kat's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bundok: A Hinterland History of Filipino America,"De Leon, Adrian*",1469676478,9781469676470,1469676478,296        pp,3.50,2,"Dec 05, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/124455246-bundok
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Steal This Book,"Hoffman, Abbie",156858217X,9781568582177,156858217X,352        pp,3.61,"3,734",1971,"Feb 25, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/184085.Steal_This_Book
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Colony,"Magee, Audrey",0571367593,9780571367597,0571367593,376        pp,4.12,"9,258","Feb 03, 2022","Feb 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/57977494-the-colony
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bliss Montage,"Ma, Ling*",0374293511,9780374293512,0374293511,228        pp,3.92,"17,097","Sep 13, 2022","Sep 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/60243188-bliss-montage
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diary of a Void,"Yagi, Emi",0143136879,9780143136873,0143136879,213        pp,3.52,"17,921",2020,"Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/59629744-diary-of-a-void
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Girl's Story,"Ernaux, Annie*",,,,160        pp,3.89,"13,231","Apr 01, 2016","Apr 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/53443227-a-girl-s-story
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hike,"Magary, Drew*",0399563857,9780399563850,0399563857,278        pp,3.96,"21,341","Aug 02, 2016","Aug 02, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/27833803-the-hike
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A People's History of the Russian Revolution,"Faulkner, Neil",0745399045,9780745399041,0745399045,208        pp,3.64,273,"Jan 11, 2017","Mar 15, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/31573632-a-people-s-history-of-the-russian-revolution
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Philip Larkin: Selected Poems,"Larkin, Philip",184760143X,9781847601438,B00361FANC,122        pp,4.20,203,"Apr 12, 2009",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/8170709-philip-larkin
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Archive of Alternate Endings,"Drager, Lindsey",1945814829,9781945814822,1945814829,159        pp,4.07,"1,709","May 07, 2019","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/42770439-the-archive-of-alternate-endings
