,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Julia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The President's Daughter,"Clinton, Bill",0316540714,9780316540711,0316540714,594        pp,4.27,"45,670","Jun 07, 2021","Jun 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024",not set,"Apr 06, 2024",,Hardcover,view,/book/show/53402402-the-president-s-daughter
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",0593420314,9780593420317,0593420314,402        pp,3.84,"97,420","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/58210933-trust
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,"Yong, Ed",,,,464        pp,4.47,"22,300","Jun 21, 2022","Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024",not set,"Mar 09, 2024",,Hardcover,view,/book/show/59575939-an-immense-world
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bullet That Missed        (Thursday Murder Club, #3)","Osman, Richard",0241512425,9780241512425,0241512425,413        pp,4.39,"165,308","Sep 15, 2022","Sep 15, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The story had a quick pace and some nice whit! The characters were given a bit of background which I enjoyed and found made it easier to connect with The story had a quick pace and some nice whit! The characters were given a bit of background which I enjoyed and found made it easier to connect with them. My one largest complaint is it felt at points like there were too many characters to entirely keep track of everyone. My favorite part of the novel was basically unconnected to the plot, but rather a subtle detail. At one point Mike mentions how Bethany saved his life, not from a physical threat but by showing him acceptance for who he was. The metaphorical sense of saving someone is a theme I love to encounter in books. And in this case made me think of how powerful acceptance can truly be. ...more",Notes are private!,0,0,1,"Mar 08, 2024","Mar 21, 2024","Mar 08, 2024",,Hardcover,view (with text),/book/show/58957615-the-bullet-that-missed
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Skies,"Boyle, T.C.",1324093021,9781324093022,1324093021,367        pp,3.85,"3,010","Aug 22, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/62586053-blue-skies
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Short History of London,"Jenkins, Simon",0241369983,9780241369982,0241369983,304        pp,3.60,690,"Oct 10, 2019","Oct 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/43805743-a-short-history-of-london
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why the Germans Do it Better: Notes from a Grown-Up Country,"Kampfner, John",1786499754,9781786499752,1786499754,320        pp,3.97,"3,122",Sep 2020,Sep 2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a book! Merkel espionage, Berlin housing, East/West divides! There was such a wide range of topics which kept me interested as I read, never boggWhat a book! Merkel espionage, Berlin housing, East/West divides! There was such a wide range of topics which kept me interested as I read, never bogged down by intense descriptions. At certain point I thought chapters lost focus and could have been better organized. The economic history of Germany went over my head a bit. However, much of what I already knew was mentioned, expanded upon, and connected to larger Europe. Overall I enjoyed this book and feel that I did learn more about Germany! Though I do agree with other s that the title is misleading, and I’m not sure that the argument that Germany does it better is always cemented. ...more",Notes are private!,0,0,1,"Feb 26, 2024","Mar 03, 2024","Feb 26, 2024",,Hardcover,view (with text),/book/show/54443313-why-the-germans-do-it-better
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bluest Eye,"Morrison, Toni",,,,216        pp,4.11,"252,673","Jun 01, 1970","Sep 06, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/11337.The_Bluest_Eye
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Britt-Marie Was Here,"Backman, Fredrik*",1501142534,9781501142536,1501142534,324        pp,4.09,"163,668","Oct 03, 2014","May 03, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another good Backman! I really liked learning more about the character Britt-Marie and her background. She was so unbelievably black-or-white about evAnother good Backman! I really liked learning more about the character Britt-Marie and her background. She was so unbelievably black-or-white about every decision, which made the book funny at certain points and feel slightly unrealistic at other points. The development of her relationship with the soccer team and people in Borg felt natural and was very sweet to read. It reminded me that one person can make a big impact even if they are only present for a short time. I hope Britt-Marie enjoys her time in Paris and keeping choosing herself over others. ...more",Notes are private!,0,1,1,"Feb 21, 2024","Feb 25, 2024","Feb 21, 2024",,Hardcover,view (with text),/book/show/27406704-britt-marie-was-here
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beautiful and Damned,"Fitzgerald, F. Scott",0141187816,9780141187815,B00BG77KW2,364        pp,3.73,"58,612",Mar 1922,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/590975.The_Beautiful_and_Damned
