,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Chris's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Church's Starfish        (33 1/3 Oceania),"Gibson, Chris",,,B09WCVKY19,140        pp,3.50,8,unknown,"Jun 16, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Kindle Edition,view,/book/show/61117061-the-church-s-starfish
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,604","Jul 05, 2022","Jul 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 08, 2023",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Stories,"Hempel, Amy",0743289463,9780743289467,0743289463,432        pp,4.26,"7,121","May 09, 2006","May 09, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2022",,Hardcover,view,/book/show/33299.The_Collected_Stories
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le Grand Meaulnes,Alain-Fournier,0140182829,9780140182828,0140182829,206        pp,3.72,"13,350",1913,"Jul 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2022",,Paperback,view,/book/show/794779.Le_Grand_Meaulnes
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fingers Crossed: How Music Saved Me From Success,"Berenyi, Miki",1788705556,9781788705554,1788705556,367        pp,4.45,871,unknown,"Sep 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 23, 2022",,Hardcover,view,/book/show/61079149-fingers-crossed
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anomaly,"Le Tellier, Hervé",1635421691,9781635421699,1635421691,391        pp,3.81,"52,558","Aug 20, 2020","Nov 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Aug 31, 2022",,Paperback,view,/book/show/56920684-the-anomaly
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry for the Future,"Robinson, Kim Stanley",0316300136,9780316300131,0316300136,563        pp,3.88,"31,435","Oct 06, 2020","Oct 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 31, 2022",,Hardcover,view,/book/show/50998056-the-ministry-for-the-future
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Liberation Day,"Saunders, George",0525509593,9780525509592,0525509593,256        pp,4.00,"12,171","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Dec 2022,"Jan 31, 2024","Aug 14, 2022",,Hardcover,view,/book/show/60471573-liberation-day
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Suckers Moon: The Life and Death of an Advertising Campaign,"Rothenberg, Randall",0679740422,9780679740421,0679740422,496        pp,3.96,360,"Oct 31, 1995","Oct 31, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2022",,Paperback,view,/book/show/1116722.Where_the_Suckers_Moon
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light Pours Out of Me: The Authorised Story of John McGeoch,"Sullivan-Burke, Rory",1787592375,9781787592377,B09SP1NR3R,342        pp,4.29,107,unknown,"Apr 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 07, 2022",,Kindle Edition,view,/book/show/60896003-the-light-pours-out-of-me
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light Pours Out of Me: The Authorized Biography of John McGeoch,"Sullivan-Burke, Rory",191317266X,9781913172664,191317266X,320        pp,4.29,107,unknown,"Jun 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 07, 2022",,Hardcover,view,/book/show/59486201-the-light-pours-out-of-me
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life","Saunders, George",1984856022,9781984856029,1984856022,410        pp,4.54,"18,705","Jan 12, 2021","Jan 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2022",,Hardcover,view,/book/show/55290026-a-swim-in-a-pond-in-the-rain
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Myth of a Christian Nation: How the Quest for Political Power Is Destroying the Church,"Boyd, Gregory A.",0310267315,9780310267317,0310267315,224        pp,4.21,"3,074",2006,"Apr 29, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 26, 2021",,Paperback,view,/book/show/77832.The_Myth_of_a_Christian_Nation
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rememberings,"O'Connor, Sinéad",1844885410,9781844885411,1844885410,288        pp,4.10,"10,854","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 18, 2021",,Hardcover,view,/book/show/55609892-rememberings
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Afternoons with the Blinds Drawn,"Anderson, Brett",1408711842,9781408711842,1408711842,280        pp,4.02,"1,128","Oct 03, 2019","Oct 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2021",,Hardcover,view,/book/show/42197665-afternoons-with-the-blinds-drawn
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coal Black Mornings,"Anderson, Brett",1408710501,9781408710500,1408710501,209        pp,4.19,"2,229","Mar 01, 2018","Oct 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2021",,Hardcover,view,/book/show/36139204-coal-black-mornings
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Be a Man,"Krauss, Nicole",0062431021,9780062431028,0062431021,240        pp,3.62,"3,311","Nov 03, 2020","Nov 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2020",,Hardcover,view,/book/show/50997476-to-be-a-man
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"C86 and All That: The Birth of Indie, 1983-86","Taylor, Neil",1891241478,9781891241475,1891241478,384        pp,3.53,30,2017,"Jul 28, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 10, 2020",,Paperback,view,/book/show/28593119-c86-and-all-that
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",,,B073VX7HT4,502        pp,4.12,"159,527","Apr 03, 2018","Apr 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2020",,Kindle Edition,view,/book/show/36075657-the-overstory
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How the South Won the Civil War: Oligarchy, Democracy, and the Continuing Fight for the Soul of America","Richardson, Heather Cox",0190900903,9780190900908,0190900903,272        pp,4.31,"3,891","Apr 01, 2020","Apr 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2020",,Hardcover,view,/book/show/52048467-how-the-south-won-the-civil-war
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kingdom of Nothing,"Wohlman, Ronald",0711245266,9780711245266,0711245266,52        pp,4.08,40,unknown,"Feb 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2020",,Hardcover,view,/book/show/46207736-the-kingdom-of-nothing
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weather,"Offill, Jenny*",0385351100,9780385351102,0385351100,208        pp,3.56,"36,099","Feb 11, 2020","Feb 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2020",,Hardcover,view,/book/show/37506228-weather
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Narrative of the Life of Frederick Douglass,"Douglass, Frederick",1542097401,,B072HMGLZR,158        pp,4.11,"123,683",1845,"Jun 13, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2020",,Kindle Edition,view,/book/show/35109300-narrative-of-the-life-of-frederick-douglass
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before We Were Yours,"Wingate, Lisa*",0425284689,9780425284681,0425284689,342        pp,4.40,"606,961","Jun 06, 2017","Jun 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2020",,Hardcover,view,/book/show/32148570-before-we-were-yours
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reservoir 13,"McGregor, Jon",1936787709,9781936787708,1936787709,291        pp,3.56,"13,058","Apr 06, 2017","Oct 03, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2020",,Paperback,view,/book/show/34146665-reservoir-13
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enemies in Love,"Clark, Alexis",1620971879,9781620971871,B0744R4GMX,288        pp,3.67,744,unknown,"May 15, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2020",,Kindle Edition,view,/book/show/35724591-enemies-in-love
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Man Who Knew Everything: The Life and Times of Enrico Fermi, Father of the Nuclear Age","Schwartz, David N.*",0465072925,9780465072927,0465072925,448        pp,4.23,874,"Dec 05, 2017","Dec 05, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2020",,Hardcover,view,/book/show/34746094-the-last-man-who-knew-everything
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Victorians Undone : Tales of the Flesh in the Age of Decorum,"Hughes, Kathryn",0007548362,9780007548361,0007548362,432        pp,3.65,"1,114","Jan 26, 2017","Jan 26, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2020",,Hardcover,view,/book/show/31143748-victorians-undone
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hitler, My Neighbor: Memories of a Jewish Childhood, 1929-1939","Feuchtwanger, Edgar",1590518640,9781590518649,1590518640,224        pp,3.85,462,2013,"Nov 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2020",,Hardcover,view,/book/show/34144587-hitler-my-neighbor
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Immortalists,"Benjamin, Chloe*",0735213186,9780735213180,0735213186,346        pp,3.71,"205,542","Jan 09, 2018","Jan 09, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2020",,Hardcover,view,/book/show/30288282-the-immortalists
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scouting and Scoring: How We Know What We Know about Baseball,"Phillips, Christopher",0691180210,9780691180212,0691180210,320        pp,3.71,80,unknown,"Mar 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2020",,Hardcover,view,/book/show/41795411-scouting-and-scoring
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Station Eleven,"Mandel, Emily St. John*",0804172447,9780804172448,0804172447,336        pp,4.07,"517,995","Aug 26, 2014","Jun 02, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 01, 2019",,Paperback,view,/book/show/23995368-station-eleven
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why We Sleep: Unlocking the Power of Sleep and Dreams,"Walker, Matthew",,,,368        pp,4.38,"185,860","Sep 28, 2017","Oct 03, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2019",,Hardcover,view,/book/show/34466963-why-we-sleep
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Days by Moonlight        (Quincunx, #5)","Alexis, André",1552453790,9781552453797,1552453790,224        pp,3.83,"1,074","Mar 13, 2019","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 23, 2019",,Paperback,view,/book/show/40993282-days-by-moonlight
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Serotonin,"Houellebecq, Michel",,9788763860949,,unknown,3.58,"27,217","Jan 04, 2019","Apr 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jul 19, 2019",,ebook,view,/book/show/44303788-serotonin
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Porpoise,"Haddon, Mark",0385544316,9780385544313,0385544316,294        pp,3.38,"5,644","May 09, 2019","Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2019",,Hardcover,view,/book/show/42179736-the-porpoise
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nickel Boys,"Whitehead, Colson*",0385537077,9780385537070,0385537077,213        pp,4.26,"245,132","Jul 16, 2019","Jul 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2019",,Hardcover,view,/book/show/42279228-the-nickel-boys
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blood at the Root: A Racial Cleansing in America,"Phillips, Patrick",,,B01BX7S1AE,314        pp,4.31,"3,352","Sep 20, 2016","Sep 20, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 13, 2019",,Kindle Edition,view,/book/show/29451833-blood-at-the-root
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dictionary Wars: The American Fight over the English Language,"Martin, Peter",0691188912,9780691188911,0691188912,368        pp,3.48,146,"May 28, 2019","May 28, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 10, 2019",,Hardcover,view,/book/show/42585122-the-dictionary-wars
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reservation Blues,"Alexie, Sherman",0446672351,9780446672351,0446672351,320        pp,3.98,"13,801","May 01, 1995","Sep 01, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 16, 2019","Jul 24, 2019","May 30, 2019",,Paperback,view,/book/show/441186.Reservation_Blues
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Friend,"Nunez, Sigrid",0735219451,9780735219458,0735219451,212        pp,3.77,"42,683","Feb 06, 2018","Feb 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2019",,Paperback,view,/book/show/40164365-the-friend
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Dead Sit Talking,"Hobson, Brandon",161695888X,,B072J778HT,289        pp,3.36,"5,101","Feb 20, 2018","Feb 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2019",,Paperback,view,/book/show/35663633-where-the-dead-sit-talking
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freshwater,"Emezi, Akwaeke*",0802127355,9780802127358,0802127355,229        pp,4.03,"31,628","Feb 13, 2018","Feb 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2019",,Hardcover,view,/book/show/35412372-freshwater
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Vindicating the Vixens: Revisiting Sexualized, Vilified, and Marginalized Women of the Bible","Glahn, Sandra*",0825444136,9780825444135,0825444136,304        pp,4.36,236,"Dec 08, 2017","Dec 08, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 20, 2019",,Paperback,view,/book/show/35926784-vindicating-the-vixens
