,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kelley's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Killing the Witches: The Horror of Salem, Massachusetts","O'Reilly, Bill*",1250283329,9781250283320,1250283329,291        pp,3.73,"8,116","Sep 26, 2023","Sep 26, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Fascinating. So well researched and so much broader than I expected.,Notes are private!,0,1,1,"Apr 03, 2024","Apr 08, 2024","Apr 08, 2024",,Hardcover,view (with text),/book/show/65214203-killing-the-witches
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everyone on This Train Is a Suspect        (Ernest Cunningham, #2)","Stevenson, Benjamin*",006327907X,9780063279070,,320        pp,3.94,"19,368","Oct 17, 2023","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/167006698-everyone-on-this-train-is-a-suspect
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Many Lives of Mama Love: A Memoir of Lying, Stealing, Writing, and Healing","Hardin, Lara Love*",1982197668,9781982197667,B0BPDNW33W,319        pp,4.48,"27,602","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Kindle Edition,view,/book/show/64631561-the-many-lives-of-mama-love
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Lie Wins,"Elston, Ashley*",0593492919,9780593492918,,340        pp,4.12,"187,714","Jan 02, 2024","Jan 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Fun. Got a bit bored in the middle because I thought I had it all figured out. Not so fast!,Notes are private!,0,0,1,"Mar 29, 2024","Apr 02, 2024","Mar 28, 2024",,Hardcover,view (with text),/book/show/164444179-first-lie-wins
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Being Henry: The Fonz . . . and Beyond,"Winkler, Henry",1250888093,9781250888099,1250888093,256        pp,4.18,"13,728","Oct 31, 2023","Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sweet, cute. Exactly like I imagined him. He’s one I’d love to have dinner with. A genuinely wonderful man.",Notes are private!,0,0,1,"Mar 24, 2024","Mar 29, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/65215014-being-henry
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cleaning the Gold        (Jack Reacher, #23.6; Will Trent, #8.5)","Slaughter, Karin*",,,B07R61HWV7,129        pp,3.49,"17,325","Apr 15, 2019","May 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/45302351-cleaning-the-gold
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kindred,"Butler, Octavia E.",0807008095,9780807008096,0807008095,320        pp,4.30,"217,802",Jun 1979,"May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/198139899-kindred
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War","Gladwell, Malcolm",0316309850,9780316309851,0316309850,320        pp,4.03,"51,720","Apr 27, 2021","Apr 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/57007687-the-bomber-mafia
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Fine Balance,"Mistry, Rohinton",140003065X,9781400030651,140003065X,603        pp,4.37,"149,465",1995,"Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Paperback,view,/book/show/5211.A_Fine_Balance
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Were the Lucky Ones,"Hunter, Georgia*",0399563091,9780399563096,0399563091,416        pp,4.41,"151,487","Feb 14, 2017","Jan 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/35414514-we-were-the-lucky-ones
