,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Paige's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Five Years,"Serle, Rebecca*",1982137444,9781982137441,1982137444,272        pp,3.79,"490,496","Mar 10, 2020","Mar 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/50093704-in-five-years
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unmaking of June Farrow,"Young, Adrienne*",0593598679,9780593598672,0593598679,320        pp,4.20,"48,445","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/66087062-the-unmaking-of-june-farrow
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Way Gone,"Martin, Charles*",0718084713,9780718084714,0718084713,296        pp,4.33,"15,067","Oct 04, 2016","Oct 04, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/29492038-long-way-gone
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Great Things,"Picoult, Jodi*",,,B01AQNYZ3I,510        pp,4.36,"373,301",2016,"Oct 11, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 02, 2024",,Kindle Edition,view,/book/show/41021501-small-great-things
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nora Goes Off Script,"Monaghan, Annabel*",0593420039,9780593420034,0593420039,272        pp,4.12,"125,409","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/58988426-nora-goes-off-script
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brianosaurus,"Adamson, Ged",1542039371,9781542039376,1542039371,40        pp,4.49,61,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/197596621-brianosaurus
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apples Never Fall,"Moriarty, Liane*",1250220254,9781250220257,1250220254,467        pp,3.77,"348,144","Sep 14, 2021","Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Mar 27, 2024",,Hardcover,view,/book/show/56143578-apples-never-fall
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Water Keeper        (Murphy Shepherd #1),"Martin, Charles*",0785230912,9780785230915,0785230912,352        pp,4.27,"31,138","May 05, 2020","May 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/52770387-the-water-keeper
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man Called Ove,"Backman, Fredrik*",1476738017,9781476738017,,337        pp,4.38,"1,031,759","Aug 27, 2012","Jul 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/18774964-a-man-called-ove
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Liar,"Albom, Mitch*",0062406655,9780062406651,0062406655,352        pp,4.62,"33,192",unknown,"Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/112975105-the-little-liar
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Surgeon,"Wolfe, Leslie*",1837902704,9781837902705,B0BRSZDSR7,290        pp,3.92,"37,868","Mar 28, 2023","Mar 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Kindle Edition,view,/book/show/75651263-the-surgeon
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Lineage of Grace        (Lineage of Grace #1- 5),"Rivers, Francine*",0842371109,9780842371100,0842371109,537        pp,4.47,"16,201",2001,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/95626.A_Lineage_of_Grace
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Confess,"Hoover, Colleen*",1501176838,9781501176838,1501176838,320        pp,4.10,"504,665","Mar 10, 2015","Mar 28, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/34324605-confess
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Berry Pickers,"Peters, Amanda*",1646221958,9781646221950,1646221958,307        pp,4.18,"49,254","Apr 04, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/123036004-the-berry-pickers
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,South of the Buttonwood Tree,"Webber, Heather*",1250198569,9781250198563,1250198569,336        pp,4.29,"10,812","Jul 21, 2020","Jul 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/52378571-south-of-the-buttonwood-tree
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once Upon a Wardrobe,"Henry, Patti Callahan*",0785251723,9780785251729,0785251723,320        pp,4.35,"20,866","Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/57099601-once-upon-a-wardrobe
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The House in the Cerulean Sea        (The House in the Cerulean Sea, #1)","Klune, T.J.*",,,,394        pp,4.41,"627,207","Mar 16, 2020","Mar 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Kindle Edition,view,/book/show/45047384-the-house-in-the-cerulean-sea
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cinders, Stars, and Glass Slippers        (The Classical Kingdoms, #6)","Fichter, Brittany*",,,,594        pp,4.40,666,unknown,"Jun 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Kindle Edition,view,/book/show/35435738-cinders-stars-and-glass-slippers
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before Beauty        (Becoming Beauty #1; The Classical Kingdoms #1),"Fichter, Brittany*",1508601860,9781508601869,1508601860,292        pp,4.01,"1,363","Mar 09, 2015","Mar 09, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Paperback,view,/book/show/25117935-before-beauty
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,True Colors,"Hannah, Kristin*",0312364105,9780312364106,0312364105,400        pp,4.04,"95,261","Feb 04, 2009","Feb 03, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/3975186-true-colors
