,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Azita's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Possessed: Adventures With Russian Books and the People Who Read Them,"Batuman, Elif",0374532184,9780374532185,0374532184,296        pp,3.71,"5,518","Feb 16, 2010","Feb 16, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/6763627-the-possessed
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Castle,"Kafka, Franz",0805211063,9780805211061,0805211063,328        pp,3.94,"62,707",1926,"Dec 15, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 30, 2024",not set,"Mar 30, 2024",,Paperback,view,/book/show/333538.The_Castle
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,794","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/139400713-martyr
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of Human Language,"McWhorter, John",1565859472,9781565859470,1565859472,19        pp,4.41,"2,749",2004,"Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024",not set,"Mar 23, 2024",,Audio CD,view,/book/show/3328218-the-story-of-human-language
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Portrait,"O'Farrell, Maggie*",,,,355        pp,4.02,"139,119","Aug 30, 2022","Sep 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,What a masterpiece. I loved every line.,Notes are private!,0,4,1,"Mar 22, 2024","Mar 30, 2024","Mar 22, 2024",,Hardcover,view (with text),/book/show/60353768-the-marriage-portrait
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Final Gambit        (The Inheritance Games, #3)","Barnes, Jennifer Lynn*",,9780316371124,,400        pp,4.13,"290,383","Aug 30, 2022","Aug 30, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 31, 2024","Apr 05, 2024","Mar 22, 2024",,ebook,view,/book/show/58658940-the-final-gambit
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hawthorne Legacy        (The Inheritance Games, #2)","Barnes, Jennifer Lynn*",0241480744,9780241480748,,380        pp,4.22,"411,581","Sep 07, 2021","Sep 07, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 16, 2024","Mar 23, 2024","Mar 22, 2024",,Hardcover,view,/book/show/50531218-the-hawthorne-legacy
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chess Story,"Zweig, Stefan",1590171691,9781590171691,1590171691,104        pp,4.27,"128,423",1942,"Dec 09, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/59151.Chess_Story
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Beautiful We Were,"Mbue, Imbolo*",0593132424,9780593132425,0593132424,364        pp,3.95,"16,538","Mar 09, 2021","Mar 09, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 11, 2024","Mar 17, 2024","Mar 11, 2024",,Hardcover,view,/book/show/51794532-how-beautiful-we-were
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Consciousness Explained,"Dennett, Daniel C.",0316180661,9780316180665,0316180661,511        pp,3.89,"8,205","Oct 01, 1991",1991,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 25, 2024",not set,"Feb 25, 2024",,Paperback,view,/book/show/2069.Consciousness_Explained
