,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Erik's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Search of Memory: The Emergence of a New Science of Mind,"Kandel, Eric R.",,,0393058638,430        pp,4.13,"5,077",2006,"Mar 13, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/4075.In_Search_of_Memory
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Searching for Memory: The Brain, the Mind, and the Past","Schacter, Daniel L.",0465075525,9780465075522,0465075525,416        pp,4.01,414,1996,"May 02, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/164508.Searching_for_Memory
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Consciousness Explained,"Dennett, Daniel C.",0316180661,9780316180665,0316180661,511        pp,3.89,"8,205","Oct 01, 1991",1991,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/2069.Consciousness_Explained
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"In a Strange Room 1st (first) Edition by Galgut, Damon        (first) Edition by Galgut, Damon (2010)",", unknown",,,B00BTM95P4,0        pp,4.00,2,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Unknown Binding,view,/book/show/123899030-in-a-strange-room-1st-first-edition-by-galgut-damon
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Recollections of My Life Paperback July 6, 1989","Ramón y Cajal, Santiago",,,B010TTMU2C,0        pp,0.00,0,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2024","Mar 25, 2024","Mar 10, 2024",,Paperback,view,/book/show/161815375-recollections-of-my-life-paperback-july-6-1989
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atmospheric Disturbances,"Galchen, Rivka",031242843X,9780312428433,031242843X,256        pp,3.19,"4,153","May 27, 2008","Apr 27, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/6081536-atmospheric-disturbances
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orientation and Other Stories,"Orozco, Daniel",0865478538,9780865478534,0865478538,162        pp,3.79,"1,226","May 24, 2011","May 24, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 06, 2024","Mar 10, 2024","Feb 21, 2024",,Hardcover,view,/book/show/10204616-orientation-and-other-stories
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Septology,"Fosse, Jon",1945492759,9781945492754,1945492759,672        pp,4.55,592,"Oct 01, 2022","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Feb 03, 2024",,Paperback,view,/book/show/123088008-septology
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sing to It: New Stories,"Hempel, Amy",1982109114,9781982109110,1982109114,149        pp,3.64,"2,864","Mar 26, 2019","Mar 26, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,***4.5 stars***,Notes are private!,0,0,1,"Jan 20, 2024","Jan 25, 2024","Jan 20, 2024",,Hardcover,view (with text),/book/show/40639315-sing-to-it
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Swimmers,"Otsuka, Julie",0593321332,9780593321331,0593321332,192        pp,3.68,"30,706","Feb 22, 2022","Feb 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Hardcover,view,/book/show/58214333-the-swimmers
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Sailed with Magellan,"Dybek, Stuart",0312424116,9780312424114,0312424116,320        pp,4.09,"1,079","Nov 15, 2003","Oct 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,***4.5 stars***,Notes are private!,0,0,1,"Feb 18, 2024","Feb 22, 2024","Nov 29, 2023",,Paperback,view (with text),/book/show/153197.I_Sailed_with_Magellan
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,From A to X: A Story in Letters,"Berger, John",1844672883,9781844672882,1844672883,197        pp,3.87,"1,537",2008,"Sep 17, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,*4.5 stars*,Notes are private!,0,0,1,"Jan 16, 2024","Jan 20, 2024","Nov 29, 2023",,Hardcover,view (with text),/book/show/3372151-from-a-to-x
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monastery by Eduardo Halfon        (2014-10-14),"Halfon, Eduardo",,,B01K14UKXG,0        pp,3.84,603,"Jan 01, 2014",unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,***4.5 stars***,Notes are private!,0,0,1,not set,"Feb 24, 2024","Nov 29, 2023",,Paperback,view (with text),/book/show/143091495-monastery-by-eduardo-halfon
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Rise Again at a Decent Hour,"Ferris, Joshua*",0316033979,9780316033978,0316033979,352        pp,3.08,"15,198","Dec 18, 2014","May 13, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,***3.5 stars***,Notes are private!,1,0,1,"Mar 25, 2024","Apr 04, 2024","Nov 25, 2023",,Hardcover,view (with text),/book/show/18453074-to-rise-again-at-a-decent-hour
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Open Curtain,"Evenson, Brian",1566891884,9781566891882,1566891884,223        pp,3.92,"1,071",2006,"Oct 01, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Feb 14, 2024not set","Nov 25, 2023",,Paperback,view,/book/show/146770.The_Open_Curtain
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boys of My Youth,"Beard, Jo Ann",0316085251,9780316085250,0316085251,240        pp,4.12,"5,540","Jan 01, 1998","Jan 29, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2023","Dec 25, 2023","Nov 25, 2023",,Paperback,view,/book/show/202372.The_Boys_of_My_Youth
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Project X,"Shepard, Jim",1400033489,9781400033485,1400033489,176        pp,3.54,"1,077",2004,"Apr 12, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 04, 2024","Mar 06, 2024","Nov 25, 2023",,Paperback,view,/book/show/382949.Project_X
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Likes,"Bynum, Sarah Shun-lien",0374191948,9780374191948,0374191948,240        pp,3.64,754,"Sep 01, 2020","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Hardcover,view,/book/show/50403506-likes
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Demon-Haunted World: Science as a Candle in the Dark,"Sagan, Carl",0345409469,9780345409461,0345409469,459        pp,4.29,"73,489","Feb 01, 1996","Feb 25, 1997",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"***3.5 stars***Preacher to choir, and somewhat incoherently assembled, but good for those who believe in aliens and stuff.",Notes are private!,0,0,1,"Jan 25, 2024","Feb 11, 2024","Nov 21, 2023",,Paperback,view (with text),/book/show/17349.The_Demon_Haunted_World
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,War and Peace,"Tolstoy, Leo",,,,"1,392        pp",4.16,"328,088",1868,"Jun 25, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Longish.,Notes are private!,0,0,1,"Oct 30, 2023","Dec 20, 2023","Oct 30, 2023",,Paperback,view (with text),/book/show/656.War_and_Peace
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Inequality,"Frankfurt, Harry G.",1400873274,9781400873272,1400873274,120        pp,3.44,708,"Sep 29, 2015","Sep 29, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 25, 2023","Oct 25, 2023","Oct 25, 2023",,Kindle Edition,view,/book/show/26331544-on-inequality
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blonde,"Oates, Joyce Carol",006093493X,9780060934934,006093493X,738        pp,3.94,"15,483",2000,"Apr 03, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 25, 2023","Jan 08, 2024","Oct 09, 2023",,Paperback,view,/book/show/357734.Blonde
