,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Oscar's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nostalgia,"Cărtărescu, Mircea",8415130309,9788415130307,8415130309,384        pp,4.24,"3,749",1989,Oct 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Paperback,view,/book/show/16117723-nostalgia
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La sed del átomo,"Carrados, Clark",,,,128        pp,2.00,1,1958,1958,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ikenia posee algo muy preciado por el resto de planetas: el “ikenilum”, un mineral especial, ya que un miligramo equivale a un kilogramo de uranio. AcIkenia posee algo muy preciado por el resto de planetas: el “ikenilum”, un mineral especial, ya que un miligramo equivale a un kilogramo de uranio. Actualmente, Ikenia tiene un contrato con el Sistema Solar, pero dentro de tres semanas finaliza. Para renovar dicho contrato, es enviada Martha Von Wallenstein. Sin embargo, Karfax, Protector de Ikenia le comunica que sus intenciones son otras, vender el mineral al mejor postor. Esta es sólo la premisa de la historia, ya que posteriormente surgirá una revolución que obligará a Karfax y a Martha a huir del planeta, yendo a parar a otro lleno de peligros.Interesante bolsilibro de Clark Carrados (Luis García Lecha), sobre todo en su parte central, con la llegada de la nave a ese planeta inhóspito....more",Notes are private!,0,0,1,"Apr 08, 2024","Apr 12, 2024","Apr 08, 2024",,Bolsilibro,view (with text),/book/show/211031936-la-sed-del-tomo
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"En las garras del Mandarín del Mal        (Damon Drake, #11; Danny Drake, #6; Kumite, #50)","del Río, Jorge R.",,,,89        pp,4.50,2,Mar 2024,Mar 2024,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tras el secuestro de la joven Danny, hija de Damon Drake, este se dispone a rescatarla. Para ello viajará a Katmandú, junto a dos aliados, los hermanoTras el secuestro de la joven Danny, hija de Damon Drake, este se dispone a rescatarla. Para ello viajará a Katmandú, junto a dos aliados, los hermanos Chan. Pero el autor nos deparará alguna sorpresa más por el camino.Estupenda aventura de la colección ¡Kumite!, con un ritmo frenético, muy cinematográfico, durante prácticamente toda la novela corta, y un final, de nuevo, que deja con ganas de más....more",Notes are private!,0,6,1,"Apr 06, 2024","Apr 09, 2024","Apr 06, 2024",,ebook,view (with text),/book/show/210957786-en-las-garras-del-mandar-n-del-mal
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Los papeles póstumos. Apocrypha Deliramenta,"Aroca, Alberto López*",,,,320        pp,0.00,0,Mar 2024,Mar 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/210677876-los-papeles-p-stumos-apocrypha-deliramenta
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doctores de lo oculto. Siete novelas de investigación sobrenatural,"Garland, Curtis",,,,700        pp,0.00,0,Mar 2024,Mar 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/210677446-doctores-de-lo-oculto-siete-novelas-de-investigaci-n-sobrenatural
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El último ramo de flores y otras historias,"Bowen, Marjorie",8412564081,9788412564082,8412564081,217        pp,3.75,4,Mar 2024,Mar 2024,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Excelente recopilación de relatos de Marjorie Bowen, uno de los seudónimos que utilizó la escritora inglesa Margaret Gabrielle Campbell. Todas las hisExcelente recopilación de relatos de Marjorie Bowen, uno de los seudónimos que utilizó la escritora inglesa Margaret Gabrielle Campbell. Todas las historias contienen un elemento sobrenatural, pero el verdadero terror proviene del lado más oscuro del ser humano, de su falta de moral, vileza y avaricia. Así mismo, también destaca la fuerza de su escritura, de su prosa descriptiva....more",Notes are private!,2,13,1,"Mar 22, 2024","Mar 26, 2024","Mar 20, 2024",,Paperback,view (with text),/book/show/209956652-el-ltimo-ramo-de-flores-y-otras-historias
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"La caja azul, vol. 6","Miura, Kouji",8411611132,9788411611138,8411611132,192        pp,4.11,266,2021,"Mar 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/203884486-la-caja-azul-vol-6
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El espejo del mal,"Haré, Burton",,,,96        pp,3.00,2,1977,1977,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"La acción se sitúa en Inglaterra, a finales del siglo XIX. Harry Jordan, reconocido tasador de arte y antigüedades, es requerido en Kingsdale Manor. SLa acción se sitúa en Inglaterra, a finales del siglo XIX. Harry Jordan, reconocido tasador de arte y antigüedades, es requerido en Kingsdale Manor. Sin embargo, al llegar al lugar, los habitantes de la zona le previenen sobre la finca y la maldad que acarrea. También recibe un extraño encargo de un misterioso personaje: comprar para él un cuadro que poseen los Kingsdale, concretamente el retrato de Satanás.Interesante bolsilibro de Burton Hare (José María Lliró Olivé), con un inicio bastante prometedor, que creo podría haber dado para más. Aun así, disfrutable....more",Notes are private!,0,7,1,"Mar 18, 2024","Mar 21, 2024","Mar 18, 2024",,Bolsilibro,view (with text),/book/show/55509505-el-espejo-del-mal
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,¡Manda Titán!,"Space, Law",,,,128        pp,3.00,1,1958,1958,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Al comienzo se nos presenta a un trío de personajes, Irma, recién casada con Lorent, y Eliot, también enamorado de aquella, aunque al final se decidióAl comienzo se nos presenta a un trío de personajes, Irma, recién casada con Lorent, y Eliot, también enamorado de aquella, aunque al final se decidió por su amigo. Hasta aquí todo parece relativamente normal, hasta que en cierto momento Irma besa a su marido dándose cuenta inmediatamente que no es él. Sin embargo, ambos continúan con su luna de miel, viajando por diversos planetas del Sistema Solar. A todo esto, hay que decir que Irma es una famosa genetista, especialista en el estudio de las moscas, algo importante, ya que inocentemente, da explicaciones y realiza una prueba ante unos colegas donde, modificando un gen específico de las moscas, estas serían prácticamente indestructibles, pudiendo, sí, dominar la Tierra y acabar con la raza humana.Buen bolsilibro de Law Space (Enrique Sánchez Pascual), con una interesante doble invasión. Y es que hay que imaginar miles de millones de moscas, tapando todo el cielo y cubriendo todas las superficies, además de devorar los cuerpos caídos por la asfixia. Quién lo iba a decir de este molesto díptero....more",Notes are private!,0,7,1,"Mar 17, 2024","Mar 19, 2024","Mar 17, 2024",,Bolsilibro,view (with text),/book/show/210081457-manda-tit-n
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El planeta maldito,"Space, Law",,,,128        pp,3.00,1,1958,1958,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Un cosmo-cohete, en concreto un crucero de pasajeros, encuentra un transmisor de emergencia de un náufrago del espacio. Cuando lo ponen en marcha, pasUn cosmo-cohete, en concreto un crucero de pasajeros, encuentra un transmisor de emergencia de un náufrago del espacio. Cuando lo ponen en marcha, pasamos a la narración en primera persona de dicho náufrago. Este resulta ser el jefe de una banda que pretende asaltar el Banco Mundial de Londres, cuya cámara acorazada contiene lingotes de oro. Tras el robo huyen en una astronave y van a parar al planeta del título, donde comienzan a suceder hechos terroríficos.Buen bolsilibro de Law Space (Enrique Sánchez Pascual), con una portada del original de Toray estupenda, que se corresponde con una ciudad de brazos que ataca a los bandidos. La resolución de lo que está sucediendo en el planeta es bastante original para la época (1958)....more",Notes are private!,0,14,1,"Mar 10, 2024","Mar 13, 2024","Mar 10, 2024",,Bolsilibro,view (with text),/book/show/209693014-el-planeta-maldito
