,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Perri's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,"Sobel, Dava",0802714625,9780802714626,0802714625,184        pp,3.98,"71,178","Oct 19, 1995","Oct 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I never really considered longitude, what it means or how important it is. Honestly, much of the science and mechanics weren’t interesting to me, but I never really considered longitude, what it means or how important it is. Honestly, much of the science and mechanics weren’t interesting to me, but I liked the glimpse into the human challenge. Navigation was severely hampered without the knowledge, so there was a real push to solve it- Sobel compares it to our current quest for the cure to cancer. The short 184 page length was the right length for me. 3 and a half stars...more",Notes are private!,0,0,1,not set,not set,"Apr 11, 2024",,Hardcover,view (with text),/book/show/4806.Longitude
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Northanger Abbey,"Austen, Jane",1593082649,9781593082642,1593082649,260        pp,3.85,"401,097","Dec 20, 1817","Mar 03, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"One of Austin’s early novels, this reads like two different stories. The first half is the social setting of husband hunting in Bath where I learned aOne of Austin’s early novels, this reads like two different stories. The first half is the social setting of husband hunting in Bath where I learned about the art of conversational parrying and taking a turn around the pump room. The second half we repair to Northanger Abbey with the gothic horror parody. I enjoyed her sly and often funny portrayal of characters and their motivations. This is not Pride and Prejudice caliber but it adds to Austin’s reputation for making keen observations of people and society. ...more",Notes are private!,0,0,1,"Apr 05, 2024","Apr 11, 2024","Apr 05, 2024",,Paperback,view (with text),/book/show/50398.Northanger_Abbey
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rain Fall,"Eisler, Barry*",045120915X,9780451209153,045120915X,384        pp,3.99,"18,621",2003,"Jul 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Mass Market Paperback,view,/book/show/17381841-rain-fall
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boy Swallows Universe,"Dalton, Trent",1460753895,9781460753897,1460753895,464        pp,4.34,"80,091","Jun 18, 2018","Jun 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/37558445-boy-swallows-universe
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sea, the Sea","Murdoch, Iris",1101495650,9781101495650,,495        pp,3.95,"21,834",1978,"Mar 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Paperback,view,/book/show/9843479-the-sea-the-sea
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",0143110438,9780143110439,,462        pp,4.33,"543,233","Sep 06, 2016",Sep 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/62329671-a-gentleman-in-moscow
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Counting the Cost,"Duggar, Jill",,,B0C6L2JQX9,287        pp,4.16,"83,869","Sep 12, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I saw interesting s for this book, so gave it a try. At first I wasn’t sure where this story was going, but glad I stuck with it. It seemed likeI saw interesting s for this book, so gave it a try. At first I wasn’t sure where this story was going, but glad I stuck with it. It seemed like Jill was making a lot of excuses for her family and mis-assigning blame for some family problems. But I was glad:1. Jill found a man like Derick to marry who has been bedrock for her and helped her navigate her complicated family life. He seems so grounded and unafraid to be an advocate for his wife. 2. They found a therapist who was able to help them grow as individuals, a couple, as a family. I think there’s still an unfortunate stigma about reaching out to ask help from a professional and with Jill’s background not to talk outside the family, it took a lot of courage and I applaud her for that. Jill wants to maintain a family connection which seems a good idea since that is such an important value for her, (with the caveat of creating clear boundaries). I hope she continues self and family growth and would be interested to read a later follow –up....more",Notes are private!,3,2,1,"Mar 09, 2024","Mar 19, 2024","Mar 09, 2024",,Kindle Edition,view (with text),/book/show/167770288-counting-the-cost
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Adoption Unfiltered: Revelations from Adoptees, Birth Parents, Adoptive Parents, and Allies","Easterly, Sara*",1538174693,9781538174692,1538174693,330        pp,4.44,52,"Dec 01, 2023","Dec 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/124100054-adoption-unfiltered
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lust for Life,"Stone, Irving",0099416425,9780099416425,0099416425,431        pp,4.26,"28,866",1934,"Feb 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/79834.Lust_for_Life
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Golden Door        (The Three Doors Trilogy, #1)","Rodda, Emily*",1862919127,9781862919129,1862919127,264        pp,4.10,"2,905","Sep 01, 2011","Sep 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/11962191-the-golden-door
