,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kniven i ilden,"Arvola, Ingeborg",,9788202762742,,448        pp,3.88,597,"Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Hardcover,view,/book/show/61867003-kniven-i-ilden
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listanje kupusa,"Beleš, Igor*",,9789532594171,,371        pp,4.82,157,unknown,May 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2024",not set,"Apr 02, 2024",,Paperback,view,/book/show/158950865-listanje-kupusa
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Orconomics        (The Dark Profit Saga, #1)","Pike, J. Zachary*",,,,340        pp,4.31,"7,443","Sep 30, 2014","Nov 22, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2024",not set,"Apr 02, 2024",,Paperback,view,/book/show/25326486-orconomics
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Štorka,"Hrvoj, Jelena*",,9789535837800,,260        pp,4.48,103,unknown,2016,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 16, 2024","Apr 02, 2024","Mar 16, 2024",,Paperback,view,/book/show/29491075-torka
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Until August,"García Márquez, Gabriel",0593801997,9780593801994,0593801997,144        pp,3.78,"7,211","Mar 06, 2024","Mar 12, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Mar 16, 2024","Mar 16, 2024","Mar 16, 2024",,Hardcover,view,/book/show/199928404-until-august
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sparrow        (The Sparrow, #1)","Russell, Mary Doria*",0449912558,9780449912553,0449912558,419        pp,4.14,"75,549","Sep 09, 1996","Sep 08, 1997",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,"Feb 11, 2024","Mar 02, 2024","Feb 11, 2024",,Paperback,view,/book/show/334176.The_Sparrow
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shuggie Bain,"Stuart, Douglas*",0802148042,9780802148049,0802148042,430        pp,4.31,"151,856","Feb 11, 2020","Feb 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2024",not set,"Feb 08, 2024",,Hardcover,view,/book/show/52741293-shuggie-bain
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,De Tamboer van Borodino,"Spruyt, Simon",,9789064218361,9064218366,152        pp,3.88,113,"Mar 21, 2021","Mar 10, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 31, 2024","Jan 31, 2024","Jan 31, 2024",,Hardcover,view,/book/show/57551546-de-tamboer-van-borodino
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Acts of Desperation,"Nolan, Megan",,,,288        pp,3.75,"26,199","Mar 09, 2021","Mar 09, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jan 29, 2024","Jan 29, 2024","Jan 29, 2024",,,view,/book/show/49535227-acts-of-desperation
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Life,"Yanagihara, Hanya*",,,0385539258,720        pp,4.34,"618,267","Mar 10, 2015","Mar 10, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Hardcover,view,/book/show/22822858-a-little-life
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"L'apothicaire du diable        (1629 ou l'effrayante histoire des naufragés du Jakarta, #1)","Dorison, Xavier",,9782344045107,,136        pp,4.15,228,unknown,"Nov 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Hardcover,view,/book/show/63335709-l-apothicaire-du-diable
