,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mark 's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr. Field's Daughter,"Bausch, Richard*",0671640518,9780671640514,0671640518,347        pp,3.72,32,Apr 1989,"Jan 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/1202775.Mr_Field_s_Daughter
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",0063052733,9780063052734,0063052733,306        pp,4.08,"88,917","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,0,1,"Apr 05, 2024",not set,"Apr 05, 2024",,Hardcover,view,/book/show/57773248-notes-on-an-execution
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,God Is Not Great: How Religion Poisons Everything,"Hitchens, Christopher",0446579807,9780446579803,0446579807,307        pp,3.96,"106,325",2007,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Apr 04, 2024",not set,"Apr 04, 2024",,Hardcover,view,/book/show/43369.God_Is_Not_Great
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Abandon Every Hope: Essays for the Dead,"Singer, Hayley",,9781743822876,1743822871,180        pp,3.93,14,Jan 2023,Jan 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/75723026-abandon-every-hope
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waterland,"Swift, Graham",0679739793,9780679739791,0679739793,368        pp,3.90,"9,289",1983,"Mar 31, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/871594.Waterland
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stand,"King, Stephen*",,,,"1,152        pp",4.35,"760,491",1990,"May 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/149267.The_Stand
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.35,696,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/195474144-table-for-two
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Furies: War in Europe, 1450-1700","Martines, Lauro",1608196186,9781608196180,1608196186,336        pp,3.62,300,"Jan 01, 2013","Mar 13, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/18807966-furies
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ancient Egypt: A Photographic History,"Fletcher-Jones, Nigel",1838863672,9781838863678,1838863672,224        pp,5.00,5,unknown,"Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,4,1,1,"Apr 02, 2024",not set,"Apr 02, 2024",,Hardcover,view,/book/show/203420471-ancient-egypt
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz","Larson, Erik*",,,B07TRVW6VX,546        pp,4.30,"115,964","Feb 25, 2020","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Kindle Edition,view,/book/show/51187948-the-splendid-and-the-vile
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foxfire: Confessions of a Girl Gang,"Oates, Joyce Carol",0330330772,9780330330770,0330330772,313        pp,3.79,"7,838","Aug 01, 1993",1994,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/156222.Foxfire
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Praise,"McGahan, Andrew",1863732454,9781863732451,1863732454,279        pp,3.71,"1,387",1992,1992,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/31940276-praise
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crimes in Southern Indiana: Stories,"Bill, Frank",0374532885,9780374532888,0374532885,272        pp,3.80,"2,626","Aug 30, 2011",2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/10713935-crimes-in-southern-indiana
