,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Quiltgranny's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fleishman Is in Trouble,"Brodesser-Akner, Taffy",0525510877,9780525510871,0525510877,373        pp,3.64,"81,617","Jun 18, 2019","Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Hardcover,view,/book/show/41880602-fleishman-is-in-trouble
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162932,9780802162939,0802162932,336        pp,4.19,339,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/198276006-i-cheerfully-refuse
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Life,"Yanagihara, Hanya*",0385539266,9780385539265,,951        pp,4.34,"618,355","Mar 10, 2015",2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024",not set,"Mar 23, 2024",,ebook,view,/book/show/39100683-a-little-life
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,True North,"Graff, Andrew J.",0063161419,9780063161412,0063161419,304        pp,3.77,498,"Jan 02, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/156018620-true-north
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"225,589","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024",not set,"Mar 05, 2024",,Hardcover,view,/book/show/127305853-the-women
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The One Hundred Years of Lenni and Margot,"Cronin, Marianne*",,,B08F7SS35N,352        pp,4.30,"96,049","Jun 01, 2021","Jun 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2024","Feb 25, 2024","Feb 11, 2024",,Kindle Edition,view,/book/show/55683973-the-one-hundred-years-of-lenni-and-margot
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vera Wong’s Unsolicited Advice for Murderers,"Sutanto, Jesse Q*",,,B0B4513BRW,368        pp,4.05,"83,070","Mar 14, 2023","Mar 14, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 25, 2024","Feb 29, 2024","Jan 03, 2024",,Kindle Edition,view,/book/show/61070573-vera-wong-s-unsolicited-advice-for-murderers
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unmaking of June Farrow,"Young, Adrienne*",0593598679,9780593598672,0593598679,320        pp,4.20,"48,397","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024",not set,"Jan 01, 2024",,Hardcover,view,/book/show/66087062-the-unmaking-of-june-farrow
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Spirits,"Banks, Russell",0593536770,9780593536773,0593536770,240        pp,3.97,245,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/75305025-american-spirits
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mayor of Maxwell Street,"Cunningham, Avery*",1368093000,9781368093002,1368093000,528        pp,3.54,"3,004","Jan 30, 2024","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/133206574-the-mayor-of-maxwell-street
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,River Sing Me Home,"Shearer, Eleanor*",0593548043,9780593548042,0593548043,322        pp,4.02,"22,514","Jan 19, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Hardcover,view,/book/show/61111298-river-sing-me-home
