,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elizabeth of Silver's Reviews's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Return of Ellie Black,"Jean, Emiko*",1668023938,9781668023938,1668023938,320        pp,4.19,360,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/199798460-the-return-of-ellie-black
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Breaking the Dark        (Marvel Crime, #1)","Jewell, Lisa*",1368090125,9781368090124,1368090125,384        pp,4.00,19,"Jul 04, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/201306695-breaking-the-dark
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Novel,"Reichl, Ruth",0812996305,9780812996302,0812996305,288        pp,3.90,300,2024,"Apr 23, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"FULL REVIEW WILL BE ON APRIL 24.Why did her mother want her to go to Paris?Stella liked her quiet, solitary life and her predictable job at the publisFULL REVIEW WILL BE ON APRIL 24.Why did her mother want her to go to Paris?Stella liked her quiet, solitary life and her predictable job at the publishing house.After her boss forced her to go on a vacation, she decided she might as well head to Paris. She didn’t like it at all.Or she didn’t like it until she was enticed by an eccentric woman to buy a very expensive dress created by Dior that made her feel amazing in all ways.You will love the characters - eccentric, sweet, and loving. And of course you will fall in love with Paris.A delightful, breezy read, but don’t read this book if you are hungry. 5/5Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,0,2,1,"Apr 03, 2024","Apr 06, 2024","Apr 03, 2024",,Hardcover,view (with text),/book/show/195430688-the-paris-novel
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of What If,"Patrick, Phaedra*",0778310892,9780778310891,0778310892,336        pp,4.71,17,"Jun 25, 2024","Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/198264670-the-year-of-what-if
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darling Girls,"Hepworth, Sally*",125028452X,9781250284525,125028452X,368        pp,4.21,"17,670","Apr 23, 2024","Apr 23, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"FULL REVIEW WILL BE ON APRIL 23.If this isn't in your TBR, it NEEDS to be.Ms. Hepworth's best yet!!Surprise after surprise - twist after twist - with FULL REVIEW WILL BE ON APRIL 23.If this isn't in your TBR, it NEEDS to be.Ms. Hepworth's best yet!!Surprise after surprise - twist after twist - with the ending one being the best.You won’t want to put the book down even though the chapters about their time in foster care are unsettling and upsetting. Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,6,17,1,"Mar 31, 2024","Apr 02, 2024","Mar 31, 2024",,Hardcover,view (with text),/book/show/127280429-darling-girls
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Keeper of Main Street,"Thomas, Trisha R.*",0063344165,9780063344167,0063344165,304        pp,4.45,11,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/198530970-the-secret-keeper-of-main-street
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place to Hide,"Balson, Ronald H.*",1250282489,9781250282484,1250282489,304        pp,4.46,28,unknown,"Sep 17, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/203579081-a-place-to-hide
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Finders Keepers Library        (Love in Bloom Book 1),"Rains, Annie*",1538710137,9781538710135,B0CDWH5ZRH,345        pp,4.37,105,"Apr 16, 2024","Apr 16, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"FULL REVIEW WILL BE ON APRIL 16.Savannah’s fiancée had just broken up with her after she told him she had Lupus, and she knew going to visit her Aunt FULL REVIEW WILL BE ON APRIL 16.Savannah’s fiancée had just broken up with her after she told him she had Lupus, and she knew going to visit her Aunt Eleanor was sure to be helpful. THE FINDERS KEEPERS LIBRARY is a refreshing, sweet, you-need-it read. The characters are lovely, and the storyline is every book lover’s dream. The reader will also love all the book quotes at the beginning of each chapter and that adorable, gorgeous cover.Don't miss this one especially if you need something wholesome and refreshing.Thank you to the publisher for a copy of the book. All opinions are my own....more",Notes are private!,0,5,1,"Mar 28, 2024","Mar 30, 2024","Mar 28, 2024",,Kindle Edition,view (with text),/book/show/195834319-the-finders-keepers-library
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What Lies in Darkness        (Jess Lambert, #2)","McDonald, Christina*",1662511647,9781662511646,1662511647,347        pp,4.57,151,"Jul 16, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/195513675-what-lies-in-darkness
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Library Thief,"Shenjé, Kuchenga",1335909699,9781335909695,1335909699,368        pp,3.63,65,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/200153487-the-library-thief
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only Survivors,"Miranda, Megan*",1668010429,9781668010426,1668010429,352        pp,3.55,"56,719","Apr 11, 2023","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Paperback,view,/book/show/176443930-the-only-survivors
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Royal Librarian,"Wood, Daisy",0008636923,9780008636920,0008636923,384        pp,4.28,107,"Apr 11, 2024","Jan 04, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"FULL REVIEW WILL BE ON APRIL 14.Will Lacey be able to find out the history of her grandmother Sophie's life?We meet Sophie, Hanna, and their parents iFULL REVIEW WILL BE ON APRIL 14.Will Lacey be able to find out the history of her grandmother Sophie's life?We meet Sophie, Hanna, and their parents in 1938 as Hitler takes control of Austria.We follow both sisters during the war and Lacey in 2021 as she tries to find out about her grandmother.Historical fiction fans and fans of the Royal Family and Windsor will be thrilled with this book.THE ROYAL LIBRARIAN is a lovely, enjoyable, heartfelt, well-researched read with a mystery to solve about Sophie and some surprises.Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,0,9,1,"Mar 20, 2024","Mar 24, 2024","Mar 20, 2024",,Paperback,view (with text),/book/show/123263354-the-royal-librarian
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Housemaid Is Watching        (The Housemaid, #3)","McFadden, Freida*",1464221138,9781464221132,1464221138,400        pp,4.38,766,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/197717652-the-housemaid-is-watching
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lie Maker,"Barclay, Linwood*",0063276275,9780063276277,0063276275,352        pp,4.14,"9,326","May 16, 2023","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/187016435-the-lie-maker
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Widow,"Belle, Kimberly*",0778307972,9780778307976,0778307972,304        pp,4.26,156,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/198264654-the-paris-widow
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughter of Mine,"Miranda, Megan*",1668010445,9781668010440,1668010445,368        pp,4.15,"1,437","Apr 09, 2024","Apr 09, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ohhhh..this is a good one!!Hazel’s father died, and in addition to the shock of his death was the shock that he left the family home ONLY to her and nOhhhh..this is a good one!!Hazel’s father died, and in addition to the shock of his death was the shock that he left the family home ONLY to her and not her brothers. That caused a good deal of bad feelings.While she was home for the funeral more shocking things happened. One of these things had to do with their mother who had taken every penny out of her husband's bank accounts, any jewelry in the house, and anything else of value and just left without notice or any trace of her when Hazel was sixteen.Things seemed to have gone the wrong way after their mother left and since the years that Hazel had left Mirror Lake. Or had things always been going the wrong way for Hazel in this small town and with her family and she hadn't realized it?How could Hazel have missed all that had been going on while she was growing up and especially for the past few years?What else could happen? What else would be revealed?Who really knew what happened and knows what is happening now?Find out in this tense family drama that reveals secrets and more missing characters.Ms. Miranda certainly knows how to weave a storyline that keeps you turning the pages with a surprising, reveal-all ending. You won’t be able to put DAUGHTER OF MINE down. 5/5Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,2,14,1,"Mar 14, 2024","Mar 18, 2024","Mar 14, 2024",,Hardcover,view (with text),/book/show/176443330-daughter-of-mine
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sisters of Fortune,"Huber, Anna Lee*",1496742699,9781496742698,1496742699,416        pp,4.05,806,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/157995338-sisters-of-fortune
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House on Biscayne Bay,"Cleeton, Chanel*",059344051X,9780593440513,059344051X,336        pp,3.98,643,"Apr 02, 2024","Apr 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"How could a mansion with such a beautiful name - Marbrisa - be the scene of murders?Peacocks screaming and dying and then construction workers and gueHow could a mansion with such a beautiful name - Marbrisa - be the scene of murders?Peacocks screaming and dying and then construction workers and guests found dead. 1918 - Robert and Anna came from New York to Florida after the Great War, built an outlandish mansion, but it didn’t make them happy. A drowning at their lavish party didn’t help with things. But was it an accident or murder?1940 - Years later Carolina and Asher bought the house, fixed it up, and Carolina’s sister, Carmen, came to live with them after their parents died. Another death happens and Carmen worries about her safety, especially since Asher controls her estate until she’s 21. We follow both storylines as the mansion seems to be the center of attention and drama and as we meet characters that keep and tell secrets. A marvelous Gothic-style read with undercurrents of menace that you can’t figure out if the menace is coming from a person, place, or thing. Don't miss this one!! 5/5Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,0,9,1,"Mar 12, 2024","Mar 14, 2024","Mar 12, 2024",,Paperback,view (with text),/book/show/186872399-the-house-on-biscayne-bay
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The British Booksellers,"Cambron, Kristy*",0785232249,9780785232247,0785232249,384        pp,4.26,200,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/180351949-the-british-booksellers
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer of Songbirds,"Harvey, Kristy Woodson*",1668010836,9781668010839,1668010836,384        pp,4.00,"15,356","Jul 11, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/195791711-the-summer-of-songbirds
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All We Were Promised,"Lattimore, Ashton*",0593600150,9780593600153,0593600150,368        pp,4.18,409,"Apr 02, 2024","Apr 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Set in Philadelphia, Pennsylvania - Pre-Civil WarDid I see Charlotte in the market?Is that really Evie?Both Charlotte and Evie had been slaves at the Set in Philadelphia, Pennsylvania - Pre-Civil WarDid I see Charlotte in the market?Is that really Evie?Both Charlotte and Evie had been slaves at the same plantation in a Southern state.Charlotte escaped with her father, and they now live freely in Philadelphia but are hiding a secret. Charlotte’s father, a business owner who can pass as a white man, and Charlotte playing his housekeeper live freely hoping their secret will be kept.It seems as if Charlotte’s father cares only about himself, his business, and his success. I felt sorry for Charlotte and the restrictions her father kept on her.Evie came to Philadelphia with Katie her mistress, but she desperately wants to be free and not go back to the South with Katie after she marries.Evie seemed disgusted with everything and abandoned by Charlotte, and I felt bad for her too. Charlotte becomes friends with Nell, a well-to-do black woman who is trying to help Charlotte get Evie out of Philadelphia, but when Charlotte disappears from Nell's life, she becomes worried.Can Charlotte and her new friend Nell help Evie now that Charlotte has disappeared? If they do find a way to help Evie, will it compromise their lives?An excellent, well-researched but heartbreaking historical fiction read with endearing characters you will connect with and tension that will have your heart pounding when evil characters come on the scene. 5/5Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,0,22,1,"Mar 06, 2024","Mar 09, 2024","Mar 06, 2024",,Hardcover,view (with text),/book/show/182484361-all-we-were-promised
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homecoming,"Morton, Kate*",0063020904,9780063020900,0063020904,560        pp,4.08,"69,143","Apr 04, 2023","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Paperback,view,/book/show/199144614-homecoming
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Love Elixir of Augusta Stern,"Loigman, Lynda Cohen*",1250278104,9781250278104,1250278104,320        pp,4.56,82,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/203579107-the-love-elixir-of-augusta-stern
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Next Mrs. Parrish        (Mrs. Parrish, #2)","Constantine, Liv*",0593599926,9780593599921,0593599926,336        pp,4.06,"1,498","Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/198563729-the-next-mrs-parrish
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Letter from Italy,"Alexander, Rose*",1837907633,9781837907632,B0CQLY9R94,428        pp,4.37,75,unknown,"Mar 25, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Set in Italy during and after WWII.Who are my parents?Sadie thought the people that raised her were her parents, but as she was cleaning out her parenSet in Italy during and after WWII.Who are my parents?Sadie thought the people that raised her were her parents, but as she was cleaning out her parents' home, she found a paper saying she was adopted.Her search began even though people told her to just forget about it.We follow Sadie in 1972 as she goes on her search and go back to 1943 and follow Betty as she leaves England and the man she loves to be part of the cypher/decoding team for the British.Will Sadie be successful in her quest?Will she find things that will be worth the journey?An excellent, engaging, heartbreaking, heartwarming read that brings us straight into both lives of the characters hoping for the best and wanting to be there with both Sadie and Betty.You will fall in love with both characters and the storyline as you read of the beauty of Italy and want to get on the next plane. LOVED this book​...anything about Italy has to be good. 5/5Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,0,14,1,"Feb 20, 2024","Feb 24, 2024","Feb 20, 2024",,Kindle Edition,view (with text),/book/show/204072339-a-letter-from-italy
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inmate,"McFadden, Freida*",172829617X,9781728296173,172829617X,336        pp,4.09,"371,829","Jun 13, 2022","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Paperback,view,/book/show/159790519-the-inmate
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Leave Behind,"Morris, Wanda M.",0063322218,9780063322219,0063322218,384        pp,4.46,37,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Paperback,view,/book/show/199119064-what-you-leave-behind
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman with No Name,"Blake, Audrey*",1728270820,9781728270821,,384        pp,3.96,413,"Mar 12, 2024","Mar 12, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yvonne Rudellat is a divorced woman with a grown daughter with nothing to do to help the war effort until she is approached to help with explosives inYvonne Rudellat is a divorced woman with a grown daughter with nothing to do to help the war effort until she is approached to help with explosives in France.We follow Yvonne through her training and her bravery as one of the only women in this special operations group.Of course, the men thought she wouldn’t be capable of doing the same job they do, but she proved them wrong. It did get a bit confusing and dragged at times because there were so many characters and because of the back and forth and the details about the operations. It was well written but didn’t really hold my interest even though it got more personable toward the end and less about the operations even though it was based on real people.Even though it was not an enjoyable read for me, we do need to thank these brave men and women for their unwavering efforts to fight for France and risk their lives as they resisted the Germans.THE WOMAN WITH NO NAME will be enjoyed by historical fiction fans, fans of strong women based on a real person, and details about war operations. 3/5Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,0,20,1,"Feb 12, 2024","Feb 15, 2024","Feb 12, 2024",,Paperback,view (with text),/book/show/197894208-the-woman-with-no-name
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If Something Happens to Me,"Finlay, Alex*",1250863791,9781250863799,1250863791,336        pp,4.24,843,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/195790670-if-something-happens-to-me
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bye, Baby","Lovering, Carola*",125028936X,9781250289360,125028936X,352        pp,3.82,"8,844","Mar 05, 2024","Mar 05, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Friends forever and then no more.What happened?We follow Billie and Cassie from their teenage years to adulthood.Cassie is an Instagram star married tFriends forever and then no more.What happened?We follow Billie and Cassie from their teenage years to adulthood.Cassie is an Instagram star married to a wealthy man, and Billie flies around the world planning vacations for clients.They haven't spoken for a while, but Billie misses her childhood friend.The opening chapter has Billie with Cassie's baby - she had kidnapped the baby. Why? That definitely kept me reading. I wanted to find out the reason why and what the kidnapping was for and what the non-revealed secret was that popped up from Cassie’s past. But, BYE, BABY was not the thriller I was expecting but got good around 50% as things are revealed. It was more about the lives of the characters and petty disagreements. I enjoyed Ms. Lovering's other books and was disappointed in this book until half way, but it was worth the wait.My original rating was a 3/5, but have raised it to 4/5 after all the revelations and the great ending.Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,0,17,1,"Feb 03, 2024","Feb 05, 2024","Feb 03, 2024",,Hardcover,view (with text),/book/show/127305890-bye-baby
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beautiful People,"Gable, Michelle*",1525805037,9781525805035,1525805037,368        pp,4.16,44,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Paperback,view,/book/show/150444656-the-beautiful-people
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wishing Game,"Shaffer, Meg*",0593598857,9780593598856,0593598857,320        pp,4.13,"103,650","May 30, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/202907373-the-wishing-game
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her Daughter,"Craven, Jen*",1837907315,9781837907311,B0CQKKGS8T,359        pp,4.04,269,unknown,"Mar 01, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Two friends since high school and still friends, but one wishing she had what the other had.What might make it worse is that Rachel’s daughter finds oTwo friends since high school and still friends, but one wishing she had what the other had.What might make it worse is that Rachel’s daughter finds out she is pregnant, but she tells her mother’s friend, Monica, instead and asks Monica to not tell her mother yet.Monica feels terrible because she and Rachel have never kept secrets from each other.We follow all the characters in this emotional, character-driven novel with all characters having current and past secrets. The secrets and betrayals brought to light how they can destroy friendships and families.This book is for women's fiction fans and those readers who enjoy family drama.HER DAUGHTER isn't a book I normally read, but it turned out to be one I enjoyed even though I guessed one of the secrets. 4/5Thank you to the publisher for a copy of this book. All opinions are my own....more",Notes are private!,0,12,1,"Jan 31, 2024","Feb 03, 2024","Jan 31, 2024",,Kindle Edition,view (with text),/book/show/203996772-her-daughter
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night the River Wept,"Patrick, Lo",1728290449,9781728290447,1728290449,400        pp,3.83,35,"Jul 02, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/199442585-the-night-the-river-wept
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Find Me        (Ellie Hatcher, #6)","Burke, Alafair*",0062853368,9780062853363,0062853368,293        pp,3.58,"16,085","Jan 11, 2022","Jan 11, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Is Hope really who she says she is?When Lindsay rescued her from a car accident in New Jersey, Hope couldn't remember anything.Hope moved after 15 yeaIs Hope really who she says she is?When Lindsay rescued her from a car accident in New Jersey, Hope couldn't remember anything.Hope moved after 15 years from Hopewell, New Jersey, to be on her own and then disappeared.She finally showed up two weeks later, but she is accused of murdering a man who she says she doesn't know.What a combination of incidents all tied together to solve the case.  Lots of secrets in this slow-to-start book but one that turns out to be very good. 4/5...more",Notes are private!,0,1,1,"Jan 27, 2024","Jan 31, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/53175311-find-me
