,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Peter's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Persuasion,"Austen, Jane",0192802631,9780192802637,0192802631,249        pp,4.15,"702,311","Dec 20, 1817","Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2024",not set,"Apr 05, 2024",,Paperback,view,/book/show/2156.Persuasion
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hangman,"Binyam, Maya*",037461007X,9780374610074,037461007X,208        pp,3.71,800,"Aug 08, 2023","Aug 08, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Have you ever looked at the s around here and thought: ""Hmmm, I must have been reading a different book to everybody else."" This novel has been Have you ever looked at the s around here and thought: ""Hmmm, I must have been reading a different book to everybody else."" This novel has been praised to the hilt and the people that love it, really love it. And yet I got precious little out of it. What's wrong with me?The unnamed narrator, an African man, is flying home to the country of his birth in order to help out a brother who is dying. The passenger beside him on the plane dies unexpectedly. He is confused after he disembarks at the airport, recognising nothing and nobody. An uncomfortable taxi ride takes him on an unfamiliar journey. And as the story progresses, he becomes less of a participant than an observer...You don't have to be Sherlock Holmes to figure out where this one is going. And as for the explanation that we are presented with on the last page, for me it was no grand reveal - more like, is that it? I'm afraid the story didn't engage me on an emotional or an intellectual level. The narrator is way too passive to be interesting (although we get a reason for that) and there were many long, dull conversations between flat characters. It is original, I must admit, and the author has a voice of her own. However, I didn't find it captivating or witty like other ers. The acclaim for Hangman has me a bit baffled, but I suppose life would be boring if we all liked the same books....more",Notes are private!,7,28,1,"Mar 28, 2024",Apr 2024,"Mar 28, 2024",,Hardcover,view (with text),/book/show/62039176-hangman
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Strangers,"Yamada, Taichi",1932234039,9781932234039,1932234039,208        pp,3.64,"4,811",1987,"Jan 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'd never have heard of this book if not for the recent film All of Us Strangers (which is terrific, by the way). Its screenplay is loosely based on tI'd never have heard of this book if not for the recent film All of Us Strangers (which is terrific, by the way). Its screenplay is loosely based on this story, with some significant changes.The narrator Hideo is a Japanese screenwriter in his 40s, recently divorced. He's not on the best of terms with his former wife and their son wants nothing to do with him. In fact he's utterly alone - his parents died in an accident when he was twelve. Even his apartment building seems empty, apart from a lady who knocks on his door one night in search of company. But he's too distracted to give her any attention and sends her away. On a whim the next day, he decides to take a visit to the neighborhood he grew up in. He's shocked to meet a fellow who looks just like his father. The man brings him home for a drink, where Hideo is further astonished to meet his mother. He doesn't know how this can be happening but he basks in the comfort of his long-lost family. There appears to be a price to pay, however - every time Hideo spends time with these people he gets sicker.This is a ghost story with a difference. It's about grief and loneliness - the spirits of Hideo's parents provide him with the love he has been so desperately missing out on all of these years. But this situation can never be truly genuine, and that's what sucks the life out of him. He needs to stop living in the past and make meaningful connections for real. I must admit I preferred the film that is adapted from this work - it's helped by an amazing Andrew Scott performance which gives it the emotional heft that is sometimes missing in this book. And I did find the translation a little awkward at times, not something I usually notice. Nevertheless, this is a sad and thoughtful tale of longing for the ones we love most. ...more",Notes are private!,8,20,1,"Mar 22, 2024","Mar 24, 2024","Mar 22, 2024",,Paperback,view (with text),/book/show/1347446.Strangers
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Good Pop, Bad Pop","Cocker, Jarvis",,,B09LCNN8T1,256        pp,4.31,"3,288","May 26, 2022","May 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is not your typical music autobiography. Instead of telling his story from childhood to fame in the conventional way, Jarvis Cocker (lead singer This is not your typical music autobiography. Instead of telling his story from childhood to fame in the conventional way, Jarvis Cocker (lead singer of Pulp) describes it through the objects he has stored over the years in his attic. It helps that he is a major hoarder, and averse to change - among the treasure he finds the packaging of a favourite soap, a dirty jokebook he once discovered on a schoolbus, even carrier bags that have caught his eye over the years.These items help Cocker jog his memory of growing up in Sheffield before his music career took off. He still has the loud polyester shirts purloined from jumble sales which informed his sense of fashion as a teenager. Old notebooks are included, where he imagined the manifesto for the band he was about to create. He posts the s of their first gigs and photos of fresh-faced, yet moody-looking group members.If you're looking for the real story of how Pulp became one of Britain's most popular bands, this is not the book for you. The version of Pulp that most people know are referred to in passing, and Common People, the single that catapulted them into the mainstream, is only mentioned once as The Song That Made My Name. Instead it's more like an inventory of Jarvis Cocker's personality, and by the end you get a pretty good feel for what the man is really like: a warm and witty fellow of simple pleasures, who is most deserving of the success that eventually came his way....more",Notes are private!,9,24,1,"Mar 12, 2024","Mar 18, 2024","Mar 12, 2024",,Kindle Edition,view (with text),/book/show/59578046-good-pop-bad-pop
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In a Lonely Place,"Hughes, Dorothy B.",1558614559,9781558614550,1558614559,250        pp,4.12,"6,942",1947,"Nov 01, 2003",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The setting is Los Angeles, post World War II, and our narrator is Dix Steele, an ex-airman. Early on we discover that he's a serial killer - he folloThe setting is Los Angeles, post World War II, and our narrator is Dix Steele, an ex-airman. Early on we discover that he's a serial killer - he follows young women late at night before strangling them. He doesn't seem to have any friends but on a whim he looks up an old army buddy named Brub Nicolai. Brub invites him to dinner with his wife Sylvia and they get talking about old times. Then Dix registers his mistake - Brub is now a detective and has been assigned to solve the murders he has committed. However, Dix also realises he can use this situation to his advantage. Posing as a crime writer, he asks his friend about the investigation, claiming it as research. This allows him to stay one step ahead of the police, but he cannot control his urges, and it won't be long before the net tightens on him.This book was published in 1947 and was well ahead of its time in the way it addresses misogynism and toxic masculinity. It was adapted into a successful film starring Humphrey Bogart with substantial differences to the novel - the main one being that in the movie Dix is innocent. I must admit that I found it an unsavoury read. Dix is an extremely distasteful individual. I know he's meant to be - he's a serial killer after all. But the time I spent in his angry, twisted brain left me very uncomfortable. I also found the other characters frustrating - Brub is infuriatingly slow at putting the pieces together. So while I can appreciate how groundbreaking the novel was, I did not enjoy reading it. The aftertaste it leaves behind is most unpleasant....more",Notes are private!,4,13,1,"Mar 06, 2024","Mar 10, 2024","Mar 06, 2024",,Paperback,view (with text),/book/show/591354.In_a_Lonely_Place
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Holes,"Rovelli, Carlo",,,0593545443,176        pp,4.10,"2,842","Mar 03, 2023","Oct 31, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I always enjoyed physics at school even though I sometimes struggled to process the concepts. The teacher would start explaining something like relatiI always enjoyed physics at school even though I sometimes struggled to process the concepts. The teacher would start explaining something like relativity and I'd feel my brain stretching like an elastic band as I strained to understand it, before snapping back into place. I never thought I'd be reading a book on the subject for fun, but I received this one as a Christmas present, so here we are.From what I gather Carlo Rovelli excels at explaining physics to unscientific minds like my own. In this volume he discusses the idea of white holes, the existence of which is not universally acknowledged. Basically they are the opposite of a black hole and can be found across the event horizon. In the same way matter cannot exit a black hole, it can't enter a white hole from the outside. However, although black holes in space have since been identified and photographed, white holes have not.Rovelli uses quantum mechanics to explain this theory and it gets pretty heavy at times, though he does give the reader permission to skip ahead. I will admit I availed of this opportunity as I could feel my brain turning to mush. I definitely learned something from this book and it was a refreshing change of pace from my usual fare. Don't ask me to give a lecture on it though - it would be a very short and confused presentation....more",Notes are private!,4,19,1,"Feb 27, 2024","Mar 03, 2024","Feb 27, 2024",,Hardcover,view (with text),/book/show/124034693-white-holes
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Plainsong        (Plainsong, #1)","Haruf, Kent",0375705856,9780375705854,0375705856,301        pp,4.03,"73,807","Oct 04, 1999","Aug 22, 2000",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This chronicle of small-town life takes place in the fictional community of Holt, Colorado. Tom Guthrie is a history teacher looking after his sons IkThis chronicle of small-town life takes place in the fictional community of Holt, Colorado. Tom Guthrie is a history teacher looking after his sons Ike and Bobby, aged 10 and 9. The boys are curious and a little bit mischievous, but most of all they are wondering why their depressed mother doesn't want to be with them any more. Victoria Roubideaux is a pregnant teenager, shunned by her family. She turns to Maggie Jones, a kindly neighbour, for help. Maggie has troubles of her own, caring for a father who has dementia, so she can't host Victoria for long. However, Maggie hits upon an usual solution - she asks the McPherons, a couple of elderly bachelors who live on a farm outside of town, to take Victoria in. They are initially rocked by the request, but come around to the idea and give the girl a place to stay. Broken families are a major theme in this touching tale. Everybody has problems - the two Guthrie boys are feeling abandoned by their mother, she is overwhelmed with guilt. The McPherons are lonely and regretting the fact life that has passed them by, while Victoria is struggling from the neglect of her own parent. Together they form an unlikely family unit but it works - genuine care and compassion arises from their unusual circumstances. This is the second Kent Haruf novel I've read and must admit I didn't find it quite as profound or compelling as the wonderful Our Souls at Night. And I thought the lengthy descriptions of farmyard activities a little out of place. But Plainsong is still a perceptive story about decent, kind-hearted human beings helping each other out, and a worthwhile read at that....more",Notes are private!,8,22,1,"Feb 21, 2024","Feb 25, 2024","Feb 21, 2024",,Paperback,view (with text),/book/show/77156.Plainsong
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild Houses,"Barrett, Colin",0802160948,9780802160942,0802160948,272        pp,3.91,578,"Jan 25, 2024","Mar 12, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dev Hendrick lives alone in an isolated cottage on the outskirts of a County Mayo town. He's unemployed and struggling with his mental health since thDev Hendrick lives alone in an isolated cottage on the outskirts of a County Mayo town. He's unemployed and struggling with his mental health since the death of his mother. Financially speaking, he gets by on an allowance for babysitting drugs dealt by his cousins shady Gabe and Sketch Ferdia. One weekend they rock up to his house with a teenage boy by the name of Doll English, who is less than pleased to be there. Doll's older brother Cillian owes them money - they give him until Monday to pay the ransom. At night Doll is tied up in the basement, a situation Dev is increasingly uneasy about. The only person who appears to be on Doll's side is his girlfriend Nicky, even though she finds herself questioning the value of their relationship. The tension mounts as Monday approaches...Wild Houses is Colin Barrett's first novel after two well-received short story collections. I was a particular fan of Young Skins and his latest book follows that winning formula. It examines the fortunes of those existing on the margins in rural Ireland - small-time criminals who do what they can to make a living and survive. The characters are adrift, searching for meaning, unhappy with their lot. The story captures the hopelessness that can often exist in such communities: a sense of feeling trapped, which makes for a bleak but authentic reading experience. If I have one small criticism it's the dialogue didn't always ring true - these hoodlums are a bit too eloquent if you ask me. However, this is a well-crafted, gritty and compelling tale from a writer that is really going places....more",Notes are private!,2,25,1,"Feb 13, 2024","Feb 18, 2024","Feb 13, 2024",,Hardcover,view (with text),/book/show/128714412-wild-houses
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Impossible Creatures,"Rundell, Katherine",1408897415,9781408897416,,368        pp,4.22,"3,859","Sep 14, 2023","Sep 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""He would never find it again, that kind of friendship. But once is enough. You need it only once – so that you may know what your human heart is c""He would never find it again, that kind of friendship. But once is enough. You need it only once – so that you may know what your human heart is capable of.""Christopher is a boy who has always had a natural affinity with animals - they flock to him for reasons he can't explain. But on a stay with his grandfather in a remote part of Scotland, things get even stranger - a group of peculiar creatures he never knew existed start racing down a hill towards him. These mythical animals come from a place called the Archipelago, and it turns out his grandfather is the guardian between our world and theirs. A baby griffin is one of those creatures and as Christopher gives it comfort, its frantic owner arrives. She's a girl called Mal with secrets and special abilities of her own. And she's being pursued by a relentless killer. Mal asks Christopher for help and being the brave, responsible lad he is, he naturally agrees. This decision will take him on an incredible journey, full of danger and excitement.The s for Impossible Creatures have been effusive to say the least - The Telegraph hailed it a modern classic, while Rundell is being described as the heir to C.S. Lewis and Philip Pullman. And maybe that's why I was left feeling a little disappointed. I enjoyed the novel but it didn't blow me away in the manner I was led to expect. It is imaginative - I liked how the book begins with a detailed glossary of all the mythical creatures that exist in the Archipelago. And in Christopher and Mal, she has created two characters that are easy to root for - the friendship that develops between them is a beautiful thing. But I must say that I found it a bit too derivative of children's fantasy, and Pullman's work in particular. More than once I thought of the His Dark Materials series while reading this one, and that trilogy felt like it had a lot more depth and nuance to it. Perhaps Impossible Creatures is a victim of its own ecstatic hype: an entertaining, colourful story but not quite the groundbreaking achievement I was led to believe....more",Notes are private!,6,14,1,"Feb 07, 2024","Feb 11, 2024","Feb 07, 2024",,Hardcover,view (with text),/book/show/134979103-impossible-creatures
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Life,"Crewe, Tom*",1668000830,9781668000830,1668000830,392        pp,3.81,"3,758","Jan 03, 2023","Jan 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This accomplished first novel is set late 19th century London. John Addington is a successful author who cannot hide his attraction to men. Married wiThis accomplished first novel is set late 19th century London. John Addington is a successful author who cannot hide his attraction to men. Married with three grown children, he begins a relationship with a handsome young fellow named Frank, an arrangement his spouse grudgingly puts up with. Henry Ellis also has a wife, Edith, though their union is unconsummated. She lives separately with a girlfriend, while he wrestles with a perversion that he is too embarrassed to discuss. The men begin to correspond via letter, and decide to write a book that argues for the freedom to live a homosexual life. Friends and family warn against publishing such a controversial text, though they remain undeterred. That is until Oscar Wilde's imprisonment for gross indecency, which threatens to scupper their brave plans.The New Life is an impressive piece of writing. Crewe captures a fraught and fearful time for gay men, when homosexuality in the UK was not only taboo but illegal. The paranoia and shame that these characters feel is eloquently expressed. While I had sympathy for Addington's situation, I also felt sorry for his poor wife, whose situation was considered secondary to his own urges and desires. I struggled to understand Ellis, what made him tick - though it can be argued that he is still figuring it out for himself. I must admit that though I believe the book is very well-written, the actual plot didn't always compel me. The first chapter is stunning, a breathless description of an illicit encounter on a crowded train - but it was so good that the rest of the novel suffered in comparison, and the pacing lolled in parts. A bright debut, I expect bigger things to come from Tom Crewe....more",Notes are private!,2,22,1,Feb 2024,"Feb 05, 2024","Feb 01, 2024",,Hardcover,view (with text),/book/show/61273326-the-new-life
