,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kate's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tanuki Tango Overdrive,"Graham, Arthur*",1537081489,9781537081489,1537081489,106        pp,4.15,34,unknown,"Aug 17, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I received this book almost a month ago. It landed in my mailbox wrapped in brown paper. No return address was written, however, it had my correct addI received this book almost a month ago. It landed in my mailbox wrapped in brown paper. No return address was written, however, it had my correct address; but the wrong name. So I took this package in, opened it up carefully to ensure there was no danger and found this slim yellow book with weird red lettering and some furry creature that was up to no good. I knew right then and there I was going to have to read it.Read it I did. Let me just say this book has big balls, cajones, [enter in whatever other synonyms you want to here] and it was absolutely hilarious. If you need to spice up your sex life, I recommend this book. P.S. I'm writing this  on my 15 minute break at work, so if I get fired, I strictly blame the author. If I get a promotion, I also blame the author. Remember kind GR members who actually read this  to keep it real and do it for T.A. Nuki.P.P.S. If you don't know what I'm talking about then you need to read this book stat.That is all. Thank you and have a great day!...more",Notes are private!,0,14,1,"Sep 18, 2016","Oct 05, 2016","Sep 18, 2016",,Paperback,view (with text),/book/show/31433722-tanuki-tango-overdrive
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And So On... The BareBack Anthology,"Jelen, Peter*",192644910X,9781926449104,192644910X,132        pp,4.36,14,unknown,"Sep 16, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2016",,Paperback,view,/book/show/32065041-and-so-on-the-bareback-anthology
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amy Falls Down,"Willett, Jincy",1250050251,9781250050250,1250050251,336        pp,3.69,"2,454","May 01, 2013","Jul 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2016",not set,"Aug 15, 2016",,Paperback,view,/book/show/18465512-amy-falls-down
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yes Please,"Poehler, Amy",0062268341,9780062268341,0062268341,329        pp,3.85,"525,736","Oct 28, 2014","Oct 28, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2016",not set,"Aug 15, 2016",,Hardcover,view,/book/show/20910157-yes-please
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Van Gogh Blues: The Creative Person's Path Through Depression: The Creative Person’s Path Through Depression,"Maisel, Eric*",,,B0090R9YQK,274        pp,3.98,436,"Nov 25, 2002","Aug 22, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2016",not set,"Aug 15, 2016",,Kindle Edition,view,/book/show/19442449-the-van-gogh-blues
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Better Than Before: A Day-by-Day Journal,"Rubin, Gretchen*",0553459295,9780553459296,0553459295,336        pp,3.95,185,"Oct 06, 2015","Oct 06, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 16, 2016","Jul 16, 2016",,Stationery,view,/book/show/26785758-better-than-before
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Better than Before: Mastering the Habits of Our Everyday Lives,"Rubin, Gretchen*",,9780385348638,0385348630,320        pp,3.82,"40,990","Mar 17, 2015","Dec 15, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 16, 2016","Jul 16, 2016",,Paperback,view,/book/show/23615690-better-than-before
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jane Steele,"Faye, Lyndsay*",0399169490,9780399169496,0399169490,416        pp,3.88,"15,929","Mar 22, 2016","Mar 22, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 16, 2016","Aug 15, 2016","Jul 16, 2016",,Hardcover,view,/book/show/25938397-jane-steele
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Happiness at Work,Dalai Lama XIV,1594480540,9781594480546,1594480540,224        pp,3.94,"2,207","Aug 25, 2003","Sep 07, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 28, 2016","Aug 15, 2016","Jun 28, 2016",,Paperback,view,/book/show/1163186.The_Art_of_Happiness_at_Work
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mr. Mercedes        (Bill Hodges Trilogy, #1)","King, Stephen*",1476754454,9781476754451,1476754454,437        pp,4.02,"321,653","Jun 03, 2014","Jun 03, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 28, 2016","Aug 15, 2016","Jun 28, 2016",,Hardcover,view,/book/show/18775247-mr-mercedes
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forty Rooms,"Grushin, Olga*",1101982330,9781101982334,1101982330,335        pp,3.87,"1,577","Feb 16, 2016","Feb 16, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 28, 2016","Jun 28, 2016",,Hardcover,view,/book/show/25716695-forty-rooms
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","Brown, Brené*",1592407331,9781592407330,1592407331,287        pp,4.29,"214,847","Sep 11, 2012","Sep 11, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 28, 2016","Jun 28, 2016",,Hardcover,view,/book/show/13588356-daring-greatly
