,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pendle's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Infinite Jest,"Wallace, David Foster",,,,"1,088        pp",4.26,"91,908","Feb 01, 1996",2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/6759.Infinite_Jest
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Perfume: The Story of a Murderer,"Süskind, Patrick",0140120831,9780140120837,0140120831,263        pp,4.04,"468,503","Feb 26, 1985",1987,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/343.Perfume
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Holes        (Holes, #1)","Sachar, Louis*",0439244196,9780439244190,0439244196,272        pp,4.00,"1,199,531","Aug 20, 1998","Sep 02, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/38709.Holes
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Such a Fun Age,"Reid, Kiley",,,,310        pp,3.79,"521,199","Dec 31, 2019","Dec 31, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Hardcover,view,/book/show/43923951-such-a-fun-age
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trial,"Kafka, Franz",,,,255        pp,3.96,"325,653","Apr 26, 1925","Apr 09, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/17690.The_Trial
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Name of the Rose,"Eco, Umberto",0156001314,9780156001311,0156001314,536        pp,4.14,"364,648",1980,"Jan 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/119073.The_Name_of_the_Rose
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,War and Peace,"Tolstoy, Leo",,,,"1,392        pp",4.16,"328,088",1868,"Jun 25, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/656.War_and_Peace
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Extremely Loud & Incredibly Close,"Foer, Jonathan Safran *",0618711651,9780618711659,0618711651,326        pp,3.97,"420,948",2005,"Apr 04, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/4588.Extremely_Loud_Incredibly_Close
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sun Also Rises,"Hemingway, Ernest",,,,189        pp,3.79,"444,874","Oct 22, 1926",1957,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/3876.The_Sun_Also_Rises
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atlas Shrugged,"Rand, Ayn",0452011876,9780452011878,0452011876,"1,168        pp",3.69,"390,150","Oct 10, 1957","Aug 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/662.Atlas_Shrugged
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love in the Time of Cholera,"García Márquez, Gabriel",140003468X,9781400034680,140003468X,348        pp,3.94,"504,658",Nov 1985,"Oct 05, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/9712.Love_in_the_Time_of_Cholera
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Adventures of Tom Sawyer,"Twain, Mark",,9780143039563,0143039563,244        pp,3.92,"936,244",Jun 1876,"Feb 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/24583.The_Adventures_of_Tom_Sawyer
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unbearable Lightness of Being,"Kundera, Milan",0571224385,9780571224388,0571224385,314        pp,4.11,"469,595",1984,"Oct 27, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/9717.The_Unbearable_Lightness_of_Being
