,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kristen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Underfoot in Show Business,"Hanff, Helene",1559210176,9781559210171,1559210176,177        pp,4.23,781,1962,"Jul 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024","Apr 11, 2024","Apr 04, 2024",,Paperback,view,/book/show/125037.Underfoot_in_Show_Business
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Yellow Raft in Blue Water,"Dorris, Michael",0312421850,9780312421854,0312421850,372        pp,3.87,"18,033","Jan 01, 1987","Mar 05, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/17174.A_Yellow_Raft_in_Blue_Water
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One-Shot Harry,"Phillips, Gary",1641294574,9781641294577,1641294574,288        pp,3.46,779,"Apr 05, 2022","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/71421908-one-shot-harry
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"God, Justice, Love, Beauty: Four Little Dialogues","Nancy, Jean-Luc",0823234266,9780823234264,0823234266,150        pp,3.89,53,"Jul 04, 2011","Jul 04, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/12048213-god-justice-love-beauty
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Banker to the Poor: Micro-Lending and the Battle Against World Poverty,"Yunus, Muhammad",1586481983,9781586481988,1586481983,289        pp,4.12,"10,099",1991,"Jan 08, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 30, 2024",not set,"Mar 30, 2024",,Paperback,view,/book/show/27533.Banker_to_the_Poor
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Hotel,"Yamashita, Karen Tei",1566892392,9781566892391,1566892392,613        pp,3.86,709,"Jun 01, 2010","Jun 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Paperback,view,/book/show/7084002-i-hotel
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birnam Wood,"Catton, Eleanor",1250321719,9781250321718,1250321719,423        pp,3.83,"30,743","Mar 02, 2023","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/127282570-birnam-wood
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mighty Be Our Powers: How Sisterhood, Prayer, and Sex Changed a Nation at War","Gbowee, Leymah",0984295151,9780984295159,0984295151,246        pp,4.16,"4,207","Jan 01, 2011","Sep 13, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/12343998-mighty-be-our-powers
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Malas,"Fuentes, Marcela*",0593655788,9780593655788,0593655788,384        pp,4.67,12,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/198563738-malas
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anita de Monte Laughs Last,"Gonzalez, Xochitl*",1250786215,9781250786210,1250786215,342        pp,3.92,"7,369","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/127306192-anita-de-monte-laughs-last
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Private Citizens,"Tulathimutte, Tony*",0062399101,9780062399106,0062399101,372        pp,3.35,"2,503","Feb 09, 2016","Feb 09, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/25817440-private-citizens
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sellout,"Beatty, Paul",0374260508,9780374260507,0374260508,289        pp,3.75,"68,715","Mar 03, 2015",2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/22237161-the-sellout
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pym,"Johnson, Mat",0812981588,9780812981582,0812981588,322        pp,3.58,"3,950","Mar 01, 2011","Mar 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/8501708-pym
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am Not Sidney Poitier,"Everett, Percival",1555975275,9781555975272,1555975275,234        pp,3.98,"2,969",2009,"May 26, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/6080748-i-am-not-sidney-poitier
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Caliban,"Ingalls, Rachel",0811226697,9780811226691,0811226697,128        pp,3.76,"9,491","Jan 15, 1982","Nov 28, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/34377087-mrs-caliban
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tales of the City        (Tales of the City, #1)","Maupin, Armistead",0552998761,9780552998765,0552998761,272        pp,4.00,"44,273",1978,1989,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/16255.Tales_of_the_City
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oreo,"Ross, Fran",1555534643,9781555534646,1555534643,212        pp,3.62,"3,418",1974,"Sep 22, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/1007499.Oreo
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wig: A Mirror Image,"Wright, Charles Stevenson",1562791273,9781562791278,1562791273,176        pp,3.83,65,1966,"Feb 01, 1966",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/322122.The_Wig
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hotel Magnifique,"Taylor, Emily J.*",0593404513,9780593404515,0593404513,400        pp,3.78,"23,587","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/55812605-hotel-magnifique
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Room of One’s Own,"Woolf, Virginia",,,0141183535,112        pp,4.21,"207,312",1903,"Jan 01, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Originally written as a lecture, it makes for a wonderful audiobook (read by Juliet Stevenson, a fantastic British actress you would recognize as one Originally written as a lecture, it makes for a wonderful audiobook (read by Juliet Stevenson, a fantastic British actress you would recognize as one who is always in the great British ensemble movies). It feels as timely and relevant today as when the lecture was given nearly 100 years ago. This is one of those books I should have had to read at some point in my education, but unless you were an English major few people did. Which is infuriating-- and gets right to the central thesis of her lecture. Woman have been overlooked for all of history, and without a decent income, independence, and a ""room of one's own"" in which to write, women will never be able to achieve all to which they are aspire or are capable of. So many excellent arguments made. Should be required reading for all. ...more",Notes are private!,0,0,1,"Mar 09, 2024","Mar 20, 2024","Mar 09, 2024",,Paperback,view (with text),/book/show/18521.A_Room_of_One_s_Own
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,460","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/57945316-babel
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lifelines: A Doctor's Journey in the Fight for Public Health,"Wen, Leana*",1250186234,9781250186232,1250186234,352        pp,4.26,831,unknown,"Jul 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/55077565-lifelines
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meditation for Fidgety Skeptics: A 10% Happier How-To Book,"Harris, Dan*",0399588949,9780399588945,0399588949,304        pp,3.83,"9,853","Dec 26, 2017","Dec 26, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/34962306-meditation-for-fidgety-skeptics
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mythos: The Greek Myths Retold        (Stephen Fry's Great Mythology, #1)","Fry, Stephen",0718188721,9780718188726,0718188721,416        pp,4.26,"125,514","Nov 02, 2017","Nov 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/35074096-mythos
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mysterious Case of the Alperton Angels,"Hallett, Janice",1800810407,9781800810402,1800810407,416        pp,4.03,"14,156","Sep 14, 2023","Sep 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/61157639-the-mysterious-case-of-the-alperton-angels
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0593318250,9780593318256,0593318250,336        pp,4.01,"4,901","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/174147294-wandering-stars
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whiskey Tender: A Memoir,"Taffa, Deborah Jackson",0063288516,9780063288515,0063288516,304        pp,4.31,252,"Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/158649919-whiskey-tender
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"Brown, Daniel James*",067002581X,9780670025817,067002581X,404        pp,4.39,"312,299","Jun 04, 2013","Jan 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/16158542-the-boys-in-the-boat
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winners Take All: The Elite Charade of Changing the World,"Giridharadas, Anand*",0451493249,9780451493248,0451493249,288        pp,4.14,"16,220","Aug 28, 2018","Aug 28, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/37506348-winners-take-all
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Golden Gate,"Seth, Vikram",0679734570,9780679734574,0679734570,307        pp,4.01,"4,693",1986,"Jun 18, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/768496.The_Golden_Gate
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Howl’s Moving Castle        (Howl’s Moving Castle, #1)","Jones, Diana Wynne",006441034X,9780064410342,006441034X,329        pp,4.29,"356,461",Apr 1986,"Aug 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Mass Market Paperback,view,/book/show/6294.Howl_s_Moving_Castle
