,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kat's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sweetness of Water,"Harris, Nathan*",031646127X,9780316461276,031646127X,368        pp,4.16,"51,648","Jun 15, 2021","Jun 15, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/54404602-the-sweetness-of-water
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"225,716","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/127305853-the-women
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,436","Mar 31, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 15, 2024",not set,"Mar 15, 2024",,Hardcover,view,/book/show/58065033-lessons-in-chemistry
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chasing Bright Medusas: A Life of Willa Cather,"Taylor, Benjamin",0593298829,9780593298824,0593298829,192        pp,3.75,309,unknown,"Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/153791822-chasing-bright-medusas
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Market Square        (The Caxley Chronicles, #1)","Read, Miss",084881696X,9780848816964,084881696X,0        pp,4.17,392,1966,"Sep 01, 1996",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,0,1,"Mar 08, 2024","Mar 12, 2024","Mar 08, 2024",,Hardcover,view,/book/show/669042.The_Market_Square
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Independent People,"Laxness, Halldór",0679767924,9780679767923,0679767924,482        pp,4.14,"12,429",1934,"Jan 14, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/77287.Independent_People
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,079","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Librarianist,"deWitt, Patrick",0063085127,9780063085121,,352        pp,3.43,"14,050","Jul 04, 2023","Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/62645180-the-librarianist
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Benevolent Society of Ill-Mannered Ladies        (The Ill-Mannered Ladies, #1)","Goodman, Alison*",0593440811,9780593440810,0593440811,464        pp,4.19,"8,565","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Paperback,view,/book/show/62313333-the-benevolent-society-of-ill-mannered-ladies
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Material,"Alderton, Dolly",0241523672,9780241523674,0241523672,345        pp,4.02,"62,229","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Paperback,view,/book/show/96177629-good-material
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Burma Sahib,"Theroux, Paul",006329754X,9780063297548,006329754X,400        pp,4.14,486,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/176822902-burma-sahib
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Life,"Ólafsdóttir, Auður Ava",0802160166,9780802160164,0802160166,192        pp,3.67,"2,176",Nov 2020,"Dec 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Paperback,view,/book/show/60916808-animal-life
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Salt,"Truong, Monique*",0618446885,9780618446889,0618446885,261        pp,3.53,"6,194","Apr 07, 2003","Jun 15, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,0,1,"Jan 22, 2024","Feb 23, 2024","Jan 22, 2024",,Paperback,view,/book/show/2719.The_Book_of_Salt
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Manhattan Beach,"Egan, Jennifer*",1476716730,9781476716732,1476716730,438        pp,3.62,"87,024","Oct 03, 2017","Oct 03, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,0,1,"Jan 22, 2024","Feb 22, 2024","Jan 22, 2024",,Hardcover,view,/book/show/34467031-manhattan-beach
