,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Keith's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Righteous Mind: Why Good People are Divided by Politics and Religion,"Haidt, Jonathan",,,B0052FF7YM,530        pp,4.21,"56,226","Mar 13, 2012","Mar 13, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 06, 2012",not set,"Oct 06, 2012",,Kindle Edition,view,/book/show/15992204-the-righteous-mind
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The One World Schoolhouse: Education Reimagined,"Khan, Salman",,,B0076DEOII,243        pp,4.33,"4,457","Oct 02, 2012","Oct 02, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 03, 2012","Oct 10, 2012","Oct 06, 2012",,Kindle Edition,view,/book/show/16070382-the-one-world-schoolhouse
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Welcome to Your Child's Brain: How the Mind Grows from Conception to College,"Aamodt, Sandra",1596916494,9781596916494,1596916494,336        pp,3.81,791,"Aug 09, 2011","Sep 20, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 14, 2012",not set,"Feb 14, 2012",,Hardcover,view,/book/show/10794666-welcome-to-your-child-s-brain
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Gunslinger        (The Dark Tower, #1)","King, Stephen*",,,,231        pp,3.92,"610,775","Jun 01, 1982",Jul 2003,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Feb 1994,"Feb 14, 2012",,Paperback,view,/book/show/43615.The_Gunslinger
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rendezvous with Rama        (Rama, #1)","Clarke, Arthur C.",1857231589,9781857231588,1857231589,243        pp,4.12,"165,950",Jun 1973,2000,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 1993,"Feb 14, 2012",,Paperback,view,/book/show/112537.Rendezvous_with_Rama
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Foundation        (Foundation, #1)","Asimov, Isaac",0553803719,9780553803716,0553803719,244        pp,4.17,"539,059","Aug 30, 1951","Jun 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 1993,"Feb 14, 2012",,Hardcover,view,/book/show/29579.Foundation
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mockingjay        (The Hunger Games, #3)","Collins, Suzanne",,,B003XF1XOQ,339        pp,4.09,"3,226,579","Aug 24, 2010","Aug 24, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 13, 2012","Feb 15, 2012","Feb 13, 2012",,Kindle Edition,view,/book/show/8684868-mockingjay
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Catching Fire        (The Hunger Games, #2)","Collins, Suzanne",,,B003O86FMW,439        pp,4.33,"3,679,410","Sep 01, 2009","Jun 03, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2012","Feb 13, 2012","Feb 11, 2012",,Kindle Edition,view,/book/show/8423493-catching-fire
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Closing the Innovation Gap: Reigniting the Spark of Creativity in a Global Economy,"Estrin, Judy",0071499873,9780071499873,0071499873,272        pp,3.75,53,"Aug 13, 2008","Sep 03, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 08, 2011",,Hardcover,view,/book/show/3581576-closing-the-innovation-gap
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Start Small, Stay Small: A Developer's Guide to Launching a Startup","Walling, Rob",,9798987746530,B003YH9MMI,214        pp,3.96,"2,102","Jun 08, 2010",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 04, 2011","Oct 06, 2012","Aug 04, 2011",,Kindle Edition,view,/book/show/9167158-start-small-stay-small
