,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,William's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Fires Everywhere,"Ng, Celeste*",0735224293,9780735224292,0735224293,338        pp,4.08,"1,175,392","Sep 12, 2017","Sep 12, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 14, 2017",,Hardcover,view,/book/show/34273236-little-fires-everywhere
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exit West,"Hamid, Mohsin",0735212171,9780735212176,0735212171,231        pp,3.75,"138,455","Mar 07, 2017","Mar 07, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 14, 2017",,Hardcover,view,/book/show/30688435-exit-west
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rise & Fall of Great Powers,"Rachman, Tom*",0679643656,9780679643654,0679643656,384        pp,3.65,"7,563",2014,"Jun 10, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tom Rachman is one of the few new writes who has control of Post Modernism. He can get away with not quite telling the story, jumping around in time, Tom Rachman is one of the few new writes who has control of Post Modernism. He can get away with not quite telling the story, jumping around in time, and keeping you guessing as to what is the REAL story. Most writer who try just confuse me. Rachman keeps me turning pages,...more",Notes are private!,0,0,1,not set,"Jul 10, 2014","Aug 06, 2014",,Hardcover,view (with text),/book/show/19104786-the-rise-fall-of-great-powers
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fault in Our Stars,"Green, John*",,,,313        pp,4.14,"5,138,744","Jan 10, 2012","Jan 10, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Is it me, or are some of the best books nowadays written for young adults? I'm far from being a young adult, but I enjoyed the book a great deal.Is it me, or are some of the best books nowadays written for young adults? I'm far from being a young adult, but I enjoyed the book a great deal....more",Notes are private!,0,1,1,not set,"Jul 30, 2014","Aug 06, 2014",,Hardcover,view (with text),/book/show/11870085-the-fault-in-our-stars
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Outlander        (Outlander, #1)","Gabaldon, Diana*",0440242940,9780440242949,,850        pp,4.26,"1,052,949","Jun 01, 1991","Jul 26, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Why on earth did I read a romance novel? It's well enough written. Unfortunately, it can't quite get over the credibility hump. I have no problem withWhy on earth did I read a romance novel? It's well enough written. Unfortunately, it can't quite get over the credibility hump. I have no problem with going back in time - staying is another matter. Oh, well, I suppose the book is redeemed by having a sex scene in every few pages. The Scots were a randy bunch back in he day....more",Notes are private!,0,0,1,not set,"Jul 20, 2014","Aug 06, 2014",,Mass Market Paperback,view (with text),/book/show/10964.Outlander
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lovers at the Chameleon Club, Paris 1932","Prose, Francine*",0061713783,9780061713781,0061713783,448        pp,3.62,"5,106","Apr 22, 2014","Apr 22, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 18, 2014",,Hardcover,view,/book/show/18498529-lovers-at-the-chameleon-club-paris-1932
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Euphoria,"King, Lily*",0802122558,9780802122551,0802122558,256        pp,3.86,"92,600","Jun 03, 2014","Jun 03, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 18, 2014",,Hardcover,view,/book/show/18467802-euphoria
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,551","May 06, 2014","Jan 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 18, 2014",,Hardcover,view,/book/show/18143977-all-the-light-we-cannot-see
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Walk Me Home,"Hyde, Catherine Ryan*",1469289563,9781469289564,1469289563,9        pp,4.15,"13,671","Mar 14, 2013","Apr 23, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I think this was a freebie on the Kindle. Turned out to be quite a good novel, indeed.",Notes are private!,0,0,1,not set,"May 02, 2014","May 04, 2014",,Audio CD,view (with text),/book/show/17043706-walk-me-home
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Virtue,"MacIntyre, Alasdair",1623569818,9781623569815,B00F943F18,361        pp,4.18,"5,702","Sep 28, 1982","Oct 21, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Explanation by a major modern philosopher of how we became a nation (and world) or such divergent views of what is right and true. Not an easy book, bExplanation by a major modern philosopher of how we became a nation (and world) or such divergent views of what is right and true. Not an easy book, but one well worth the effort....more",Notes are private!,0,1,1,not set,"Apr 20, 2014","May 04, 2014",,Kindle Edition,view (with text),/book/show/19403486-after-virtue
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,10% Happier,"Harris, Dan*",0062265423,9780062265425,0062265423,256        pp,3.92,"107,425",2014,"Mar 11, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 11, 2014","May 04, 2014",,Hardcover,view,/book/show/18505796-10-happier
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And the Mountains Echoed,"Hosseini, Khaled*",159463176X,9781594632112,159463176X,404        pp,4.07,"371,153","Feb 29, 2012","May 21, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 06, 2014","May 04, 2014",,Hardcover,view,/book/show/16115612-and-the-mountains-echoed
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Renaissance        (The Story of Civilization, #5)","Durant, Will",0671616005,9780671616007,0671616005,776        pp,4.25,"1,179",1953,"Dec 25, 1980",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 31, 2014","May 04, 2014",,Hardcover,view,/book/show/512145.The_Renaissance
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reformation        (The Story of Civilization #6),"Durant, Will",1567310176,9781567310177,1567310176,"1,025        pp",4.35,"1,050",1957,1997,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 28, 2014","Mar 04, 2014",,Hardcover,view,/book/show/128898.The_Reformation
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Luminaries,"Catton, Eleanor",0316074314,9780316074315,0316074314,848        pp,3.74,"80,396","Aug 24, 2013","Oct 15, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I can’t quite make up my mind about this book. It is well praised – in fact, it won the Booker prize for fiction – but it seems to me far too long forI can’t quite make up my mind about this book. It is well praised – in fact, it won the Booker prize for fiction – but it seems to me far too long for the story it tells (over 800 pages) and too confusing in many parts for the tale being told. It concerns a New Zeeland goldfield in the 1860s and tells the story from the many different points of view. It has been called a Victorian-like novel. That is far too charitable. Rather, it appears to me a book badly in need of disciplined editing. ...more",Notes are private!,0,0,1,not set,"Jan 21, 2014","Mar 04, 2014",,Hardcover,view (with text),/book/show/17333230-the-luminaries
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Brothers: John Foster Dulles, Allen Dulles & Their Secret World War","Kinzer, Stephen",0805094970,9780805094978,0805094970,416        pp,4.11,"3,635","Oct 01, 2013","Oct 01, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book is must reading for all those who are certain they know what is right and that their view of the world is the only valid view. The Dulles brThis book is must reading for all those who are certain they know what is right and that their view of the world is the only valid view. The Dulles brothers were certain of their positions and it resulted in war and death and destruction on a grand scale. Evil is too nice a word to attach to them. Is it any wonder so many people in the world hate us/ ...more,Notes are private!,0,0,1,not set,"Jan 10, 2014","Mar 04, 2014",,Hardcover,view (with text),/book/show/17286725-the-brothers
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sunset Park,"Auster, Paul",0805092862,9780805092868,0805092862,309        pp,3.59,"14,764","Nov 09, 2010","Nov 09, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I've nerve read anything by this author, so had no idea what his style was like. As a result I spent most of the novel trying to get a hold on his styI've nerve read anything by this author, so had no idea what his style was like. As a result I spent most of the novel trying to get a hold on his style, which I've finally decided was ""Journalistic"". This is written more like an essay than a novel. He seems for most of the book to be in a hurry to get it done. Which brings up a point I've made before. Why do we read? Do we read (and I've accused myself of this) so we can boast about how manny books we've read this year? Or do we read with the seldom achieved goal of discovering something about the humanity we see around us? Auster's novel tells a story, describes characters, brings out conflicts, etc., but it never, to my mind, gets across the sense that these people are more than just faces passing me on the street. I can't put my finger on just what is missing, but there never seems to be that sentence, that scene, the makes me really know the people he's describing. Yes, they go here, do that, react to this, feel for that, but the people passing me on the street are affecting me that way. He seems to be in too great a hurry to be done with the thing to really take the time to accomplish what I would like. The ending, which I will not spoil for anyone who has not read the book, affirms my feeling that Auster's greatest goal in writing the book was to get it done. ...more",Notes are private!,0,0,1,not set,"Dec 06, 2013","Dec 14, 2013",,Hardcover,view (with text),/book/show/7944987-sunset-park
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Summer: America, 1927","Bryson, Bill",0767919408,9780767919401,0767919408,456        pp,4.09,"51,824","Aug 01, 2013","Oct 01, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 14, 2013",,Hardcover,view,/book/show/17262366-one-summer
