,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Thomas's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Burning,"Oza, Janika",1538724243,9781538724248,1538724243,400        pp,4.14,"3,051","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/62315839-a-history-of-burning
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bless the Blood: A Cancer Memoir,"Nehanda, Walela",0593529499,9780593529492,0593529499,400        pp,4.40,137,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/150246160-bless-the-blood
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,See No Stranger: A Memoir and Manifesto of Revolutionary Love,"Kaur, Valarie",0525509097,9780525509097,0525509097,389        pp,4.55,"3,691","Jun 16, 2020","Jun 16, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/52626691-see-no-stranger
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blessings,"Ibeh, Chukwuebuka",0385550642,9780385550642,0385550642,288        pp,4.24,201,"Feb 22, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/198563681-blessings
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mattie, Milo, and Me: A Memoir","Abel, Anne",,,B0C9HFXFD1,282        pp,4.89,27,unknown,"Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Kindle Edition,view,/book/show/181355660-mattie-milo-and-me
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",1529925584,9781529925586,B0CDKKRMFV,unknown,4.22,"34,992","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Kindle Edition,view,/book/show/195608579-listen-for-the-lie
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Magicians        (The Magicians, #1)","Grossman, Lev*",0452296293,9780452296299,0452296293,402        pp,3.53,"262,840","Aug 11, 2009","May 25, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/7125342-the-magicians
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Love: Essays on Friendship,"Dancyger, Lilly*",0593447573,9780593447574,0593447573,224        pp,4.45,71,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/195888551-first-love
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,They Called Me a Lioness: A Palestinian Girl's Fight for Freedom,"Tamimi, Ahed",0593134583,9780593134580,0593134583,288        pp,4.71,"2,544","Sep 06, 2022","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/60149517-they-called-me-a-lioness
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Farm Boys: Lives of Gay Men from the Rural Midwest,"Fellows, Will",0299150844,9780299150846,0299150844,360        pp,4.00,227,1996,"Mar 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Paperback,view,/book/show/258029.Farm_Boys
