,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tony's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Faulkner: A Biography,"Blotner, Joseph Leo",,,B004OEK3IM,797        pp,4.17,127,1974,unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 23, 2018","Apr 23, 2018",,Kindle Edition,view,/book/show/11557192-faulkner
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paris in the Present Tense,"Helprin, Mark",,,B073HHG1Y8,396        pp,4.04,"4,678","Oct 03, 2017","Oct 03, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 22, 2017","Nov 22, 2017",,Kindle Edition,view,/book/show/35908357-paris-in-the-present-tense
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anubis Gates,"Powers, Tim",,,B006UMI0OK,402        pp,3.90,"16,677","Dec 01, 1983",1997,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 04, 2017",,Kindle Edition,view,/book/show/18913333-the-anubis-gates
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poland,"Michener, James A.",,,B00H6JHM6I,690        pp,4.04,"10,977",1983,"Mar 18, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 19, 2016","Oct 19, 2016",,Kindle Edition,view,/book/show/20529368-poland
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dragon Hammer        (Wulf's Saga #1),"Daniel, Tony",1476781559,9781476781556,1476781559,512        pp,3.49,76,"Jul 05, 2016","Jul 05, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 24, 2016",,Paperback,view,/book/show/27205855-the-dragon-hammer
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dr. Seuss's Sleep Book,Dr. Seuss,038537352X,9780385373524,B00ESF28OO,64        pp,4.18,"11,235","Aug 01, 1962","Oct 22, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 08, 2016","May 08, 2016",,Kindle Edition,view,/book/show/18761620-dr-seuss-s-sleep-book
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Theodore Boone: Kid Lawyer,"Grisham, John*",,,,273        pp,3.79,"38,790",2010,"Mar 03, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 01, 2016",,Kindle Edition,view,/book/show/13001535-theodore-boone
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dance Divas: Showtime!,"Berk, Sheryl",1619631830,9781619631830,B00EOR8L0G,161        pp,4.32,100,"Sep 10, 2013","Sep 10, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 01, 2016",,Kindle Edition,view,/book/show/19305961-dance-divas
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deep Work: Rules for Focused Success in a Distracted World,"Newport, Cal",,,B00X47ZVXM,287        pp,4.18,"154,713","Jan 05, 2016","Jan 05, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 01, 2016",,Kindle Edition,view,/book/show/25980294-deep-work
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eye of the Needle,"Follett, Ken*",006074815X,9780060748159,006074815X,368        pp,4.20,"156,617","May 23, 1978","Jan 01, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 01, 2016",,Paperback,view,/book/show/92364.Eye_of_the_Needle
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Human Nature,"Wilson, Edward O.",0674016386,9780674016385,0674016386,288        pp,4.15,"3,415","Sep 01, 1978","Oct 18, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 01, 2016",,Paperback,view,/book/show/62555.On_Human_Nature
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death and Life of Great American Cities,"Jacobs, Jane",0375508732,9780375508738,0375508732,472        pp,4.30,"17,301",1961,"Sep 10, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 24, 2016",,Hardcover,view,/book/show/30833.The_Death_and_Life_of_Great_American_Cities
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Systems of Survival: A Dialogue on the Moral Foundations of Commerce and Politics,"Jacobs, Jane",0679748164,9780679748168,0679748164,236        pp,4.13,290,1992,"Jan 13, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 24, 2016",,Paperback,view,/book/show/85403.Systems_of_Survival
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Human Condition,"Arendt, Hannah",0226025985,9780226025988,0226025985,349        pp,4.21,"8,152",1958,"Dec 01, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 24, 2016",,Paperback,view,/book/show/127227.The_Human_Condition
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Movie-goer,"Percy, Walker",,,,204        pp,3.65,"28,754",1960,1966,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 24, 2016",,Paperback,view,/book/show/25417283-the-movie-goer
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Will to Believe, Human Immortality and Other Essays in Popular Philosophy","James, William",0486202917,9780486202914,B0007DLRCK,412        pp,4.11,522,1897,"Jan 01, 1956",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 24, 2016",,Paperback,view,/book/show/28822.The_Will_to_Believe_Human_Immortality_and_Other_Essays_in_Popular_Philosophy
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Liberation Movements: A Novel        (Ruthenia Quintet Book 4),"Steinhauer, Olen*",,,B003J48BL4,316        pp,3.84,820,"Aug 22, 2006",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/11330364-liberation-movements
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Confession: A Novel        (Ruthenia Quintet Book 2),"Steinhauer, Olen*",,,B000FC1BPG,336        pp,3.87,"1,277","Feb 01, 2004",unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/6607403-the-confession
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bridge of Sighs,"Steinhauer, Olen*",,,B000FA668A,288        pp,3.72,"4,289","Feb 13, 2003","Feb 23, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/6607402-the-bridge-of-sighs
