,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sheri's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pyewacket,"Weir, Rosemary",0200714732,9780200714730,0200714732,123        pp,4.35,131,1967,1967,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/2973994-pyewacket
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Kind Worth Saving        (Henry Kimball/Lily Kintner, #2)","Swanson, Peter*",,,,8        pp,3.69,"29,050","Mar 07, 2023","Mar 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024","Apr 06, 2024","Apr 04, 2024",,Audiobook,view,/book/show/122993519-the-kind-worth-saving
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Spellman Files        (The Spellmans, #1)","Lutz, Lisa*",0743571355,9780743571357,0743571355,6        pp,3.87,"35,874","Jan 01, 2007","Mar 11, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""She asked how I liked my tea and I told her with cream and sugar (but really, I like my tea to be coffee)."" ~ Yep!Kinda’ adorable…loved these screwba""She asked how I liked my tea and I told her with cream and sugar (but really, I like my tea to be coffee)."" ~ Yep!Kinda’ adorable…loved these screwball characters. Just wish it hadn’t been the abridged version....more",Notes are private!,0,0,1,"Apr 03, 2024","Apr 04, 2024","Apr 04, 2024",,Audio CD,view (with text),/book/show/129117.The_Spellman_Files
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daisy Darker,"Feeney, Alice*",,,,11        pp,3.77,"174,860","Aug 30, 2022","Aug 30, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""They say that your life flashes before your eyes when you die, so you should make it a life worth watching."" ~ Good one!""They say that your life flashes before your eyes when you die, so you should make it a life worth watching."" ~ Good one!...more",Notes are private!,0,0,1,Apr 2024,"Apr 03, 2024","Apr 02, 2024",,Audiobook,view (with text),/book/show/59863301-daisy-darker
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Grass Grows Blue,"Gibbs, Hope*",,,B0BYKDVZMC,unknown,4.16,"1,040",unknown,"May 16, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,Apr 2024,"Apr 02, 2024",,Audible Audio,view,/book/show/178751956-where-the-grass-grows-blue
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pimping of Prostitution: Abolishing the Sex Work Myth,"Bindel, Julie",113755889X,9781137558893,113755889X,396        pp,3.98,200,2017,"Oct 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/34428143-the-pimping-of-prostitution
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Resurrection Walk        (The Lincoln Lawyer, #7; Harry Bosch Universe, #38)","Connelly, Michael*",1668632349,9781668632345,,11        pp,4.58,"42,763","Oct 31, 2023","Nov 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Possibly my favorite Connelly so far…more Mickey Haller and Harry Bosch, please.",Notes are private!,0,0,1,"Mar 30, 2024",Apr 2024,"Mar 31, 2024",,Audiobook,view (with text),/book/show/85157667-resurrection-walk
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Purgatory Ridge        (Cork O'Connor, #3)","Krueger, William Kent*",,,B004NRTMIW,unknown,4.17,"18,939","Feb 27, 2001","Feb 15, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Conscience was a devil that plagued the individual. Collectively, a people squashed it as easily as stepping on a daisy.""My third in the Cork O’Conno""Conscience was a devil that plagued the individual. Collectively, a people squashed it as easily as stepping on a daisy.""My third in the Cork O’Connor series by WKK…lots to appreciate—characters, setting, atmosphere, story…. Especially enjoying the Native bits strewn throughout, but curious about authenticity....more",Notes are private!,0,0,1,"Mar 26, 2024","Mar 28, 2024","Mar 31, 2024",,Audible Audio,view (with text),/book/show/49384429-purgatory-ridge
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Boundary Waters        (Cork O'Connor, #2)","Krueger, William Kent*",,,B003MY7RP2,11        pp,4.10,"24,525","May 01, 1999","May 18, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Good luck, Cork thought. In Aurora, a Lincoln Town Car would be as inconspicuous as a nun in a G-string."" ~ Lol!""Good luck, Cork thought. In Aurora, a Lincoln Town Car would be as inconspicuous as a nun in a G-string."" ~ Lol!...more",Notes are private!,0,0,1,"Mar 24, 2024","Mar 26, 2024","Mar 31, 2024",,Audible Audio,view (with text),/book/show/24981460-boundary-waters
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fetishist,"Min, Katherine",0593713656,9780593713655,0593713656,304        pp,3.76,"1,054","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/145624511-the-fetishist
