,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Catherine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Magpie Lord        (A Charm of Magpies, #1)","Charles, K.J.*",,9780995799028,,204        pp,4.04,"20,576","Sep 03, 2013","Mar 28, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024","Apr 07, 2024","Apr 07, 2024",,ebook,view,/book/show/34715150-the-magpie-lord
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Teaching the Literature of Climate Change,"Rosenthal, Debra J.",1603296352,9781603296359,1603296352,344        pp,0.00,0,unknown,"Apr 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/187590619-teaching-the-literature-of-climate-change
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Creating Identity: The Popular Romance Heroine's Journey to Selfhood and Self-Presentation,"Kamble, Jayashree",0253065690,9780253065698,0253065690,222        pp,5.00,2,unknown,"Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/61159028-creating-identity
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Perfume Burned His Eyes,"Imperioli, Michael",,,B076QDGW46,204        pp,3.58,"1,149","Apr 03, 2018","Apr 03, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"not setMar 26, 2024","Mar 27, 2024Mar 27, 2024","Mar 26, 2024",,Kindle Edition,view,/book/show/39101441-the-perfume-burned-his-eyes
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woman Lawyer: The Trials of Clara Foltz,"Babcock, Barbara",0804743584,9780804743587,0804743584,392        pp,3.66,35,"Jan 05, 2011","Jan 05, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Hardcover,view,/book/show/9861911-woman-lawyer
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Emotional Craft of Fiction: How to Write the Story Beneath the Surface,"Maass, Donald",1440348375,9781440348372,1440348375,224        pp,4.30,"2,303","Dec 30, 2016","Dec 30, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/28915986-the-emotional-craft-of-fiction
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The War of Art: Winning the Inner Creative Battle,"Pressfield, Steven*",0446691437,9780446691437,0446691437,168        pp,3.99,"103,374",2002,"Apr 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/1319.The_War_of_Art
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Knife: Meditations After an Attempted Murder,"Rushdie, Salman",0593730240,9780593730249,0593730240,224        pp,4.50,12,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Hardcover,view,/book/show/199344846-knife
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Over My Dead Blog        (Book Blogger Mysteries #1),"Burr, Sarah E.*",,,B0CKRRRMNM,356        pp,4.68,34,unknown,"Oct 31, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 16, 2024","Mar 16, 2024",,Kindle Edition,view,/book/show/199398316-over-my-dead-blog
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Devil and the Heiress        (The Gilded Age Heiresses, #2)","St. George, Harper*",0593197224,9780593197226,0593197224,275        pp,3.88,"5,050","Jun 29, 2021","Jun 29, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 15, 2024","Mar 15, 2024","Mar 15, 2024",,Mass Market Paperback,view,/book/show/55655073-the-devil-and-the-heiress
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winter Counts,"Weiden, David Heska Wanbli*",0062968947,9780062968944,0062968947,325        pp,3.84,"20,860","Aug 25, 2020","Aug 25, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 11, 2024","Mar 13, 2024","Mar 15, 2024",,Hardcover,view,/book/show/48678117-winter-counts
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,School of Hard Knox,"Andrews, Donna*",193636378X,9781936363780,193636378X,200        pp,3.40,5,unknown,"Aug 31, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 13, 2024","Mar 12, 2024",,Paperback,view,/book/show/198672564-school-of-hard-knox
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hounds of the Hollywood Baskervilles: A Babs Norman Hollywood Mystery,"Crowens, Elizabeth*",,,B0CNSM3WY3,302        pp,3.62,21,unknown,"Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A delightful romp through Old Hollywood, a sort of screwball mystery. If you're tickled by the idea of a pair of PIs helping Basil Rathbone, famous foA delightful romp through Old Hollywood, a sort of screwball mystery. If you're tickled by the idea of a pair of PIs helping Basil Rathbone, famous for playing Sherlock Holmes, recover his kidnapped dog, meanwhile discovering that the dog who plays Asta in The Thin Man series has also been taken, then this is the book for you....more",Notes are private!,0,0,1,Apr 2024,"Apr 04, 2024","Mar 10, 2024",,Kindle Edition,view (with text),/book/show/202507774-hounds-of-the-hollywood-baskervilles
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Across the Lake,"Sager, Riley*",,,B09J216N77,368        pp,3.60,"249,571","Jun 21, 2022","Jun 21, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 17, 2024","Mar 09, 2024",,Kindle Edition,view,/book/show/58981709-the-house-across-the-lake
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cyberpunk 2077: No Coincidence,"Kosik, Rafał",0759555958,9780759555952,0759555958,416        pp,3.53,"1,718","Aug 08, 2023","Aug 08, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 07, 2024","Mar 11, 2024","Mar 07, 2024",,Paperback,view,/book/show/62966999-cyberpunk-2077
