,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pavlina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Таралежите излизат през нощта,"Белева, Йорданка",,9786191867196,,92        pp,4.59,211,May 2022,May 2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 19, 2022","Jun 19, 2022","Jun 20, 2022",,Paperback,view,/book/show/61098983
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,12 Rules for Life: An Antidote to Chaos,"Peterson, Jordan B.",0345816021,9780345816023,0345816021,409        pp,3.93,"222,368","Jan 16, 2018","Jan 23, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 03, 2021",not set,"Jan 03, 2021",,Hardcover,view,/book/show/30257963-12-rules-for-life
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Как да запазим разума си във време на разединение,"Shafak, Elif*",,9789542724858,,80        pp,4.02,"6,400",Aug 2020,2020,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 03, 2021",,Paperback,view,/book/show/55852914
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Спортният ген,"Epstein, David*",,9786191865987,,480        pp,4.20,"15,264","Aug 01, 2013",2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2021",,Paperback,view,/book/show/55572342
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mating in Captivity: Reconciling the Erotic and the Domestic,"Perel, Esther",0060753633,9780060753634,0060753633,272        pp,4.18,"39,926","Sep 05, 2006","Sep 05, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Dec 31, 2020",,Hardcover,view,/book/show/27485.Mating_in_Captivity
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Дай, за да вземеш","Grant, Adam M.*",,9786197217063,,558        pp,4.07,"35,898","Jan 01, 2013",2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 31, 2020",,Paperback,view,/book/show/38116463
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sapiens: A Brief History of Humankind,"Harari, Yuval Noah",,,,512        pp,4.36,"1,027,812",2011,2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 31, 2020",,Paperback,view,/book/show/23692271-sapiens
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Рибка,"Антонова, Катя",,9786197131017,,108        pp,4.64,128,2013,2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 31, 2020",,Hardcover,view,/book/show/18901208
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Power of Moments: Why Certain Experiences Have Extraordinary Impact,"Heath, Chip",1501147765,9781501147760,1501147765,320        pp,4.13,"20,691","Oct 03, 2017","Oct 03, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 31, 2020",,Hardcover,view,/book/show/34466952-the-power-of-moments
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Югославия, моя страна","Vojnović, Goran",619715353X,9786197153538,619715353X,272        pp,4.19,"1,920","Nov 28, 2011","Jul 10, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Dec 31, 2020",,Paperback,view,/book/show/51858284
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you,"Fitzpatrick, Rob*",,,,134        pp,4.37,"10,452","Sep 10, 2013","Sep 10, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2020",,Paperback,view,/book/show/18529000-the-mom-test
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kunskapens frukt,"Strömquist, Liv",9170378045,9789170378041,9170378045,143        pp,4.50,"10,726","Sep 15, 2014","Sep 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2020",,Paperback,view,/book/show/23151576-kunskapens-frukt
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Поздрави от синята палатка,"Кокудева, Петя",,9786191865086,,240        pp,4.63,199,"Jul 08, 2019","Jul 08, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 24, 2020",,Paperback,view,/book/show/51811437
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Правата на читателя,"Pennac, Daniel",9786191580,,,176        pp,3.97,"11,442","Feb 04, 1992",Nov 2019,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Dec 31, 2019",,Paperback,view,/book/show/48892739
