,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Eleanor's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Damsel in Distress,"Wodehouse, P.G.",1406953210,9781406953213,1406953210,216        pp,4.10,"6,677","Oct 04, 1919","Nov 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Paperback,view,/book/show/18057.A_Damsel_in_Distress
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,China Court: The Hours of a Country House,"Godden, Rumer",0688117228,9780688117221,0688117228,358        pp,3.98,"1,285",1961,"Jan 01, 1993",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I quite enjoyed most of this book, with the weaving of the stories of several generations of the same family around the house, China Court, and the miI quite enjoyed most of this book, with the weaving of the stories of several generations of the same family around the house, China Court, and the mid 20th century when the novel was set. I was however appalled at the ending. How Rumer Godden could think it acceptable, even romantic, that the new husband should slap his wife on the face to stop her nervous poking at the fire, and then do the strong forceful male thing, crushing her to his manly bosom etc, is beyond me. All very Mills and Boon, and maybe more acceptable back in about 1960 when she wrote the book.2.5 stars, rounded up to 3 because I enjoyed most of it....more",Notes are private!,0,4,1,"Apr 04, 2024","Apr 07, 2024","Apr 04, 2024",,Paperback,view (with text),/book/show/3801.China_Court
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mothers and Sons,"Tóibín, Colm",1416534652,9781416534655,1416534652,288        pp,3.78,"2,342","Jan 01, 2006","Jan 02, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have loved several of Tóibín's books, but I just couldn't warm to these eight short stories and one novella. Too much baggage from his relationship I have loved several of Tóibín's books, but I just couldn't warm to these eight short stories and one novella. Too much baggage from his relationship with his own mother perhaps....more",Notes are private!,0,1,1,"Mar 18, 2024","Mar 31, 2024","Mar 18, 2024",,Hardcover,view (with text),/book/show/43699.Mothers_and_Sons
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Greengage Summer,"Godden, Rumer",033032778X,9780330327787,033032778X,187        pp,4.05,"2,876",1958,"Jan 01, 1995",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A reread after more than 60 years I think! The story and the way of telling it stands up very well. Probably 3.5 stars, rounded up to 4. Another book A reread after more than 60 years I think! The story and the way of telling it stands up very well. Probably 3.5 stars, rounded up to 4. Another book for the pile going to my niece....more",Notes are private!,0,0,1,"Mar 04, 2024","Mar 16, 2024","Mar 04, 2024",,Paperback,view (with text),/book/show/897867.The_Greengage_Summer
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seeds of Time,"Wyndham, John",0140013857,9780140013856,B000PJW5G8,222        pp,3.81,"2,500",1956,"Jan 01, 1969",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I can remember reading these stories a very long time ago and being fascinated by the idea of the multiverse - the first time I had come across the coI can remember reading these stories a very long time ago and being fascinated by the idea of the multiverse - the first time I had come across the concept. These stories mostly feel very dated now, but it was interesting to revisit them after many decades....more",Notes are private!,0,0,1,"Feb 27, 2024",Mar 2024,"Feb 27, 2024",,Mass Market Paperback,view (with text),/book/show/91091.The_Seeds_of_Time
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sick Heart River        (Sir Edward Leithen, #5)","Buchan, John",184697030X,9781846970306,184697030X,214        pp,3.92,338,1941,"Sep 17, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oh dear - the British white man as the saviour of the poor helpless Canadian ""Indians"", as well as a few other people on the way. Despite being seriouOh dear - the British white man as the saviour of the poor helpless Canadian ""Indians"", as well as a few other people on the way. Despite being seriously ill with TB, everyone sees Leithen as their leader in the Canadian wilderness in winter. All pretty far-fetched, but I read it for the descriptions of the far north of Canada in autumn and winter....more",Notes are private!,0,1,1,"Feb 21, 2024","Feb 25, 2024","Feb 21, 2024",,Paperback,view (with text),/book/show/1740961.Sick_Heart_River
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The First Fifteen Lives of Harry August,"North, Claire",,,B00ECE9OD4,417        pp,4.03,"88,565","Apr 08, 2014","Apr 08, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this back in 2015, and decided it was just the right book to read on a long train ride from Melbourne to Sydney. It lived up to my memory of itI read this back in 2015, and decided it was just the right book to read on a long train ride from Melbourne to Sydney. It lived up to my memory of it and I enjoyed the details which I had forgotten in the intervening nine years....more",Notes are private!,0,0,1,"Feb 15, 2024","Feb 19, 2024","Feb 21, 2024",,Kindle Edition,view (with text),/book/show/35066358-the-first-fifteen-lives-of-harry-august
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Upstairs and Other Stories,"Wodehouse, P.G.",1426449976,9781426449970,1426449976,296        pp,3.85,"1,328",1914,"Oct 11, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well, this was okay as a book to dip into at bedtime, but I really didn't find the stories very entertaining.Well, this was okay as a book to dip into at bedtime, but I really didn't find the stories very entertaining....more",Notes are private!,0,1,1,"Feb 13, 2024","Mar 29, 2024","Feb 13, 2024",,Paperback,view (with text),/book/show/1691796.The_Man_Upstairs_and_Other_Stories
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jizzle,"Wyndham, John",0450022501,9780450022500,0450022501,191        pp,3.43,302,1954,"Dec 01, 1962",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Some stories are better than others. I particularly enjoyed ""Chinese Puzzle"" and ""Reservation Deferred"". A reread after a great many years, prior to rSome stories are better than others. I particularly enjoyed ""Chinese Puzzle"" and ""Reservation Deferred"". A reread after a great many years, prior to rehoming this and a number of other books with my niece....more",Notes are private!,0,0,1,"Feb 10, 2024","Feb 12, 2024","Feb 12, 2024",,Paperback,view (with text),/book/show/2743237-jizzle
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Are Looking For Is in the Library,"Aoyama, Michiko",1335005625,9781335005625,1335005625,304        pp,4.11,"31,705","Nov 09, 2020","Sep 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A gentle, feel-good sort of book. I liked the fact that the central characters in each of the separate but interlinked stories varied in age as well aA gentle, feel-good sort of book. I liked the fact that the central characters in each of the separate but interlinked stories varied in age as well as gender. Simple, but with wise insights into how to live life to the full....more",Notes are private!,0,1,1,"Feb 05, 2024","Feb 10, 2024","Feb 05, 2024",,Hardcover,view (with text),/book/show/91274427-what-you-are-looking-for-is-in-the-library
