,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lewis's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Talisker Dead        (The Misty Isle #3),"Dalgliesh, J M*",,,B0CNDCKKQF,330        pp,4.45,"4,696","Jan 14, 2024","Jan 14, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,another excellent story ... good plot ... continuing character development in this #3 in series,Notes are private!,0,1,1,"Apr 03, 2024","Apr 08, 2024","Apr 03, 2024",,Kindle Edition,view (with text),/book/show/202186772-the-talisker-dead
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Long Time Dead: A D.I. Duncan McAdam Mystery,"Dalgliesh, J M*",1800802919,9781800802919,1800802919,368        pp,4.41,"7,449","Oct 15, 2023","Oct 13, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is a good detective story that gripped me in its mystery from start to finish ... but it is more than that ... it is an emotional depiction of peThis is a good detective story that gripped me in its mystery from start to finish ... but it is more than that ... it is an emotional depiction of people trying to find themselves even as they play out their roles in the story ... some succeed (for a time) and others do not ... great read...more,Notes are private!,0,7,1,not set,"Apr 03, 2024","Apr 03, 2024",,Paperback,view (with text),/book/show/199539205-a-long-time-dead
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dead Man of Storr        (The Misty Isle #2),"Dalgliesh, J M*",,,B0CKLJDHWP,352        pp,4.40,"5,717","Nov 19, 2023","Nov 19, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,an excellent crime story ... filled with interesting characters ... Dalgliesh is a consistently good read,Notes are private!,0,6,1,not set,"Mar 29, 2024","Mar 30, 2024",,Kindle Edition,view (with text),/book/show/199476500-the-dead-man-of-storr
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spy Who Loved Us: The Vietnam War and Pham Xuan An's Dangerous Game,"Bass, Thomas A.",1586484095,9781586484095,1586484095,320        pp,4.03,101,Feb 2009,"Feb 09, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024",not set,"Mar 23, 2024",,Hardcover,view,/book/show/6072010-the-spy-who-loved-us
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inner Circles,"Haig, Alexander Meigs",,,B01N9N0CIA,0        pp,3.80,30,"Sep 01, 1992",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024",not set,"Mar 23, 2024",,Paperback,view,/book/show/167561017-inner-circles
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,History of Vietnam: A Captivating Guide to Vietnamese History,"History, Captivating",,,B08P8YGQ4T,129        pp,4.15,98,unknown,"Nov 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Kindle Edition,view,/book/show/56075904-history-of-vietnam
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Practicing Catholic,"Carroll, James",0618670181,9780618670185,0618670181,385        pp,3.84,188,2009,"Jan 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I only read a few pages of what looks like an interesting book ... my limited purpose being to understand the Catholioc support for the war in VietnamI only read a few pages of what looks like an interesting book ... my limited purpose being to understand the Catholioc support for the war in Vietnam ... which apparently considered the promulgation of Catholicism in Vietnam as the prime issue, and the spread of communism as a huge threat to the Church ... if anyone knows of sources dealing with this topic, please let me know ... I am already aware of Carroll's other book An American Requiem: God, My Father & the War That Came Between Us...more",Notes are private!,0,3,1,"Mar 14, 2024","Mar 14, 2024","Mar 14, 2024",,Hardcover,view (with text),/book/show/6011563-practicing-catholic
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"An American Requiem: God, My Father & the War That Came Between Us","Carroll, James",039585993X,9780395859933,039585993X,352        pp,3.98,764,"Apr 04, 1996","Apr 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/107700.An_American_Requiem
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Stolen Girls        (D.I. Lottie Parker, #2)","Gibney, Patricia",,,B071Y84BQK,465        pp,4.18,"11,859","Jul 06, 2017","Jul 06, 2017",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"stopped reading ... much disgusting violence, mostly sexual",Notes are private!,0,4,1,"Mar 03, 2024","Mar 16, 2024","Mar 03, 2024",,Kindle Edition,view (with text),/book/show/34863666-the-stolen-girls
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Missing Ones        (D.I. Lottie Parker, #1)","Gibney, Patricia",,,B01N5I5EV7,529        pp,4.06,"33,256","Mar 16, 2017","Mar 16, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,this extraordinarily complex story is presented in a way that does not confuse the reader ... the emotions and personal dilemmas of the characters arethis extraordinarily complex story is presented in a way that does not confuse the reader ... the emotions and personal dilemmas of the characters are given equal weight with the plot ... and the issues dealt with are still vital today ... a great read ... which sent me off to book 2 in the series...more,Notes are private!,0,8,1,"Feb 27, 2024","Mar 03, 2024","Feb 27, 2024",,Kindle Edition,view (with text),/book/show/33558545-the-missing-ones
