,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tom's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weasels in the Attic,"Oyamada, Hiroko",0811231186,9780811231183,0811231186,96        pp,3.43,"3,260","Oct 04, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Paperback,view,/book/show/60534034-weasels-in-the-attic
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Memory Police,"Ogawa, Yōko",0375715339,9780375715334,0375715339,291        pp,3.73,"88,688","Jan 26, 1994","Aug 06, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hauntingly brilliant. Strange, disturbing and full of delicious, precise detail and description.",Notes are private!,0,11,1,"Apr 07, 2024","Apr 11, 2024","Apr 07, 2024",,Paperback,view (with text),/book/show/51159492-the-memory-police
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Until August,"García Márquez, Gabriel",0241703778,9780241703779,0241703778,0        pp,3.78,"7,234","Mar 06, 2024","Mar 05, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was apprehensive about this one. It is a posthumous work, Marquez apparently wasn't satisfied with it, and I'd seen a few s that were middlingI was apprehensive about this one. It is a posthumous work, Marquez apparently wasn't satisfied with it, and I'd seen a few s that were middling.Actually, I thought it was excellent. Beautifully written and with a twist in the tail....more",Notes are private!,0,11,1,"Apr 07, 2024","Apr 07, 2024","Apr 07, 2024",,Hardcover,view (with text),/book/show/209500842-until-august
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lonely Londoners,"Selvon, Sam",0582642647,9780582642645,0582642647,142        pp,3.71,"11,297",1956,"Jan 11, 1989",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A superb book filled with great characters and wonderful language. It's London's answer to Cannery Row.A superb book filled with great characters and wonderful language. It's London's answer to Cannery Row....more,Notes are private!,0,8,1,"Apr 04, 2024","Apr 07, 2024","Apr 04, 2024",,Paperback,view (with text),/book/show/612888.The_Lonely_Londoners
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fire Next Time,"Baldwin, James",067974472X,9780679744726,067974472X,106        pp,4.54,"100,407","Jan 31, 1963","Feb 01, 1993",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,What can you say? Extraordinarily powerful. Shamefully still acutely relevant.,Notes are private!,0,14,1,"Apr 03, 2024","Apr 06, 2024","Apr 03, 2024",,Paperback,view (with text),/book/show/464260.The_Fire_Next_Time
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"City in Ruins        (Danny Ryan, #3)","Winslow, Don*",006307947X,9780063079472,,400        pp,4.54,"1,001","Apr 02, 2024","Apr 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Don Winslow's final book, and the world's greatest living crime writer bows out with an almighty bang.City in Ruins rounds off his Danny Ryan trilogy Don Winslow's final book, and the world's greatest living crime writer bows out with an almighty bang.City in Ruins rounds off his Danny Ryan trilogy in ways both expected and not. Yes, it's explosive, filled with the classical structures, crime and punishment, redemption and retribution. Three novels in which Ryan has lived on the knife-edge of morality, and everything has to be paid for, in the end.What I was not perhaps anticipating was how moving this book is. The ending shook me, not only with Danny's story coming to a conclusion, but knowing these are the last words of fiction Winslow will ever pen.There will be a gaping, empty hole in my calendar every year from now on, knowing there won't be a new book from this most special of writers. Thanks for the good times, Don!...more",Notes are private!,0,5,1,"Mar 31, 2024","Apr 04, 2024","Mar 31, 2024",,Hardcover,view (with text),/book/show/196968157-city-in-ruins
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Netanyahus,"Cohen, Joshua",1913097609,9781913097608,1913097609,240        pp,3.81,"13,654","May 05, 2021","May 05, 2021",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book was so Fitzcarraldo. I understood almost none of it.,Notes are private!,0,9,1,"Mar 30, 2024","Mar 31, 2024","Mar 30, 2024",,Paperback,view (with text),/book/show/55817233-the-netanyahus
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bridegroom Was a Dog,"Tawada, Yōko",4770029403,9784770029409,4770029403,168        pp,3.50,"1,000",1993,"Aug 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dogman bangs a teacher! Weird!This was a surreal, disturbing and funny novella. A quick, strange read for fans of Murakami!",Notes are private!,0,6,1,"Mar 29, 2024","Mar 29, 2024","Mar 29, 2024",,Paperback,view (with text),/book/show/159455.The_Bridegroom_Was_a_Dog
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hunted,"Mukherjee, Abir*",1529926513,9781529926514,B0CCKTMN5G,354        pp,4.00,54,"May 07, 2024","May 09, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Abir Mukherjee changes direction... And it's an absolute banger.Following three characters in the aftermath of a bombing at an LA shopping mall, this Abir Mukherjee changes direction... And it's an absolute banger.Following three characters in the aftermath of a bombing at an LA shopping mall, this brilliant conspiracy/political thriller is packed full of action and quality characters. It also has a deeply messy moral centre that I really loved - the bad guys aren't always easy to spot in Hunted.A great read for fans of Lee Child, David Baldacci and I Am Pilgrim....more",Notes are private!,0,10,1,"Mar 22, 2024","Mar 29, 2024","Mar 22, 2024",,Kindle Edition,view (with text),/book/show/194033167-hunted
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Price of Life: In Search of What We're Worth and Who Decides,"Kleeman, Jenny*",1035004992,9781035004997,B0C8P3FGG4,352        pp,4.10,49,unknown,"Mar 14, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Really enjoyed this spiky and uncomfortable work of journalism/essays.,Notes are private!,0,7,1,"Mar 21, 2024",Apr 2024,"Mar 21, 2024",,Kindle Edition,view (with text),/book/show/179689315-the-price-of-life
