,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Aaron's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond the Shores: A History of African Americans Abroad,"Walker, Tamara J.*",0593139054,9780593139059,0593139054,352        pp,4.41,41,"Jun 20, 2023","Jun 20, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 27, 2023","Jul 26, 2023","Jun 27, 2023",,Hardcover,view,/book/show/62802728-beyond-the-shores
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Three-Body Problem        (Remembrance of Earth’s Past, #1)","Liu, Cixin*",,,,472        pp,4.09,"332,119",May 2006,"Nov 11, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 24, 2015",,Hardcover,view,/book/show/20518872-the-three-body-problem
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blindsight        (Firefall, #1)","Watts, Peter*",0765312182,9780765312181,0765312182,384        pp,4.01,"42,782","Oct 03, 2006","Oct 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 15, 2014",,Hardcover,view,/book/show/48484.Blindsight
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Disaster Artist: My Life Inside The Room, the Greatest Bad Movie Ever Made","Sestero, Greg",1451661193,9781451661194,1451661193,270        pp,4.28,"32,857","Oct 01, 2013","Oct 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 15, 2014","Jul 26, 2023","Oct 15, 2014",,Hardcover,view,/book/show/17404078-the-disaster-artist
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Colorless Tsukuru Tazaki and His Years of Pilgrimage,"Murakami, Haruki",0385352107,9780385352109,0385352107,386        pp,3.87,"179,443","Apr 12, 2013","Aug 12, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 15, 2014","Jul 26, 2023","Oct 15, 2014",,Hardcover,view,/book/show/19288239-colorless-tsukuru-tazaki-and-his-years-of-pilgrimage
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Next Life Might Be Kinder,"Norman, Howard",054771212X,9780547712123,054771212X,255        pp,3.67,754,"Jan 01, 2014","May 13, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I laughed throughout, and found its loose plotting interesting. I am knocking one point off because I, with my limited literary breadth, had thought “I laughed throughout, and found its loose plotting interesting. I am knocking one point off because I, with my limited literary breadth, had thought “The Victorian Chaise-Longue” was a book-within-a-book conceit, and was somewhat disappointed to find out that it actually exists and was not the invention of Norman. This may be unreasonable, and I only find solace in how meaningless my Goodreads ratings are....more",Notes are private!,0,0,1,not set,not set,"Oct 15, 2014",,Hardcover,view (with text),/book/show/18222679-next-life-might-be-kinder
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Independent People,"Laxness, Halldór",0679767924,9780679767923,0679767924,482        pp,4.14,"12,427",1934,"Jan 14, 1997",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There were passages that I could keep re-reading and each time get enchanted by the beautiful writing. And then there was the second half of the book.There were passages that I could keep re-reading and each time get enchanted by the beautiful writing. And then there was the second half of the book. By the end, I was barely tolerating the thing....more",Notes are private!,0,0,1,not set,not set,"Oct 15, 2014",,Paperback,view (with text),/book/show/77287.Independent_People
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Solomon Gursky Was Here,"Richler, Mordecai",0143012649,9780143012641,0143012649,576        pp,3.98,"3,041","Oct 17, 1989","Jan 29, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 15, 2014",,Paperback,view,/book/show/312029.Solomon_Gursky_Was_Here
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orange Is the New Black,"Kerman, Piper*",0385523386,9780385523387,0385523386,322        pp,3.72,"200,978","Apr 06, 2010","Apr 06, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 28, 2014",,Hardcover,view,/book/show/6314763-orange-is-the-new-black
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Squeezed: What You Don't Know About Orange Juice,"Hamilton, Alissa",0300124716,9780300124712,0300124716,288        pp,3.38,168,"May 26, 2009","May 26, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2014",,Hardcover,view,/book/show/6307748-squeezed
