,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,dejamo's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shades of Grey        (Shades of Grey, #1)","Fforde, Jasper*",0670019631,9780670019632,0670019631,400        pp,4.15,"37,286","Dec 29, 2009","Dec 29, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/2113260.Shades_of_Grey
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Relinquished: The Politics of Adoption and the Privilege of American Motherhood,"Sisson, Gretchen*",1250286778,9781250286772,B0C1X7W9S9,311        pp,4.45,146,"Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/126918628-relinquished
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cryptonomicon        (Crypto, #1)","Stephenson, Neal*",,,,"1,152        pp",4.24,"112,208",May 1999,"Nov 05, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 26, 2024",not set,"Feb 26, 2024",,Mass Market Paperback,view,/book/show/816.Cryptonomicon
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Play It As It Lays,"Didion, Joan",0374529949,9780374529949,0374529949,231        pp,3.92,"67,106",1970,"Nov 15, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 07, 2024","Jan 19, 2024","Jan 07, 2024",,Paperback,view,/book/show/428.Play_It_As_It_Lays
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daddy's Gone A-Hunting,"Mortimer, Penelope",1946022268,9781946022264,1946022268,264        pp,3.92,657,1958,"May 17, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2023",,Paperback,view,/book/show/59441850-daddy-s-gone-a-hunting
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wormholes: Essays and Occasional Writings,"Fowles, John",080506172X,9780805061727,080506172X,432        pp,3.76,334,"May 15, 1998","May 15, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 06, 2023",not set,"Dec 06, 2023",,Paperback,view,/book/show/1544089.Wormholes
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jack        (Gilead, #4)","Robinson, Marilynne",0374279306,9780374279301,0374279306,309        pp,3.86,"8,830","Sep 29, 2020","Sep 29, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 17, 2023","Nov 29, 2023","Nov 17, 2023",,Hardcover,view,/book/show/50403478-jack
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Potiki,"Grace, Patricia",,,,192        pp,3.88,"2,002","Oct 07, 1986","Mar 01, 1995",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2023","Nov 17, 2023","Nov 10, 2023",,Paperback,view,/book/show/1108204.Potiki
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Croc Attack!,"Gavvron, Assaf",0007327463,9780007327461,0007327463,328        pp,3.75,635,2006,"Feb 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 22, 2023","Nov 10, 2023","Oct 22, 2023",,Paperback,view,/book/show/7651954-croc-attack
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Learning for Revolution: The Work of Kathy Acker,"Dew, Spencer",1879691957,9781879691957,1879691957,194        pp,4.00,3,"Jan 01, 2011","Jan 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 14, 2023","Oct 22, 2023","Oct 14, 2023",,Paperback,view,/book/show/12190247-learning-for-revolution
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El Nino,"Doubiago, Sharon",0918786398,9780918786395,0918786398,148        pp,3.88,8,Feb 1989,"Jan 01, 1989",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 08, 2023",,Paperback,view,/book/show/1491636.El_Nino
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lament for Julia,"Taubes, Susan",1681376946,9781681376943,1681376946,240        pp,3.85,187,unknown,"Jun 06, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 26, 2023","Oct 08, 2023","Sep 26, 2023",,Paperback,view,/book/show/119029466-lament-for-julia
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moon Tiger,"Lively, Penelope",0241973686,9780241973684,B075F1159K,209        pp,3.91,"16,670",1987,"Aug 06, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 08, 2023","Oct 14, 2023","Sep 20, 2023",,Mass Market Paperback,view,/book/show/25242126-moon-tiger
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stranded in the Present: Modern Time and the Melancholy of History,"Fritzsche, Peter",0674013395,9780674013391,0674013395,288        pp,3.60,43,"May 28, 2004","May 28, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 20, 2023","Sep 26, 2023","Sep 20, 2023",,Hardcover,view,/book/show/1571602.Stranded_in_the_Present
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dance on the Volcano,"Vieux-Chauvet, Marie",,,,496        pp,3.93,204,"Jan 01, 1957","Dec 06, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 09, 2023","Sep 15, 2023","Sep 09, 2023",,Paperback,view,/book/show/32792224-dance-on-the-volcano
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gödel, Escher, Bach: An Eternal Golden Braid","Hofstadter, Douglas R.",0465026567,9780465026562,0465026567,756        pp,4.29,"49,359",Apr 1979,1999,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 30, 2023","Sep 09, 2023","Jul 30, 2023",,Paperback,view,/book/show/24113.G_del_Escher_Bach
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sababa: Fresh, Sunny Flavors From My Israeli Kitchen: A Cookbook","Sussman, Adeena",052553346X,9780525533467,B07L2H9GRK,361        pp,4.37,480,unknown,"Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 19, 2023",,Kindle Edition,view,/book/show/44659708-sababa
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Running Up That Hill: 50 Visions of Kate Bush,"Doyle, Tom",178870780X,9781788707800,B0B3GHMLWP,343        pp,4.14,262,"Oct 27, 2022","Oct 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 30, 2023",,Kindle Edition,view,/book/show/61922002-running-up-that-hill
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Walking Through Clear Water In a Pool Painted Black,"Mueller, Cookie",1838858482,9781838858483,1838858482,432        pp,4.49,"2,654","Dec 01, 1990","Aug 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 29, 2023",,Paperback,view,/book/show/141304933-walking-through-clear-water-in-a-pool-painted-black
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eat Your Mind: The Radical Life and Work of Kathy Acker,"McBride, Jason",1982117028,9781982117023,1982117028,416        pp,4.12,121,"Nov 29, 2022","Nov 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 29, 2023",,Hardcover,view,/book/show/60384067-eat-your-mind
