,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Susie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War","Larson, Erik*",0385348746,9780385348744,0385348746,592        pp,4.31,68,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Hardcover,view,/book/show/195608683-the-demon-of-unrest
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prequel: An American Fight Against Fascism,"Maddow, Rachel*",0593444515,9780593444511,0593444515,416        pp,4.47,"7,882","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 13, 2024",not set,"Feb 13, 2024",,Hardcover,view,/book/show/168677579-prequel
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Game,"Braverman, Blair*",0063066173,9780063066175,0063066173,288        pp,3.52,"11,570","Nov 01, 2022","Nov 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Snow day book that went insanely fast. Overall a fine book which was entertaining to read. I suppose I liked the normalcy of the cha**spoiler alert** Snow day book that went insanely fast. Overall a fine book which was entertaining to read. I suppose I liked the normalcy of the characters which made them seem like everyday people who get into these games shows. I expected there to be a bigger twist and felt a little let down that there wasn’t and, to me, that made it feel a tad unfinished. ...more",Notes are private!,0,0,1,"Feb 13, 2024","Feb 13, 2024","Feb 13, 2024",,Hardcover,view (with text),/book/show/60277011-small-game
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"If I Live Until Morning: A True Story of Adventure, Tragedy and Transformation","Muenchrath, Jean*",0578492555,9780578492551,B07QCJDWF6,276        pp,3.95,"2,419","Mar 18, 2018",Feb 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 07, 2024",,Kindle Edition,view,/book/show/51044417-if-i-live-until-morning
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Right Stuff,"Wolfe, Tom",,,B00139XSBA,369        pp,4.23,"52,648",1979,"May 16, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 10, 2023",not set,"Dec 10, 2023",,Kindle Edition,view,/book/show/8146619-the-right-stuff
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Robin Hood's Widow        (The Robin Hood Trilogy #2),"Longueville, Olivia*",1947878077,9781947878075,B087QVWV8D,320        pp,4.44,45,unknown,"May 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Kindle Edition,view,/book/show/53309142-robin-hood-s-widow
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Broken Eye        (Lightbringer, #3)","Weeks, Brent*",,,B00H25FCNG,846        pp,4.45,"63,650","Aug 26, 2014","Aug 26, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Kindle Edition,view,/book/show/12652457-the-broken-eye
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Bad Do You Want It? Mastering the Psychology of Mind over Muscle,"Fitzgerald, Matt*",1937715418,9781937715410,1937715418,265        pp,4.10,"5,336","Nov 01, 2015","Nov 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not a bad book but not the best in terms of information or motivation. I found the human interest stories (or retelling) very well done but didn’t finNot a bad book but not the best in terms of information or motivation. I found the human interest stories (or retelling) very well done but didn’t find the analysis of it, or the application of his conclusions, anything groundbreaking or new. Overall, not a bad read but didn’t entirely grip me throughout. ...more",Notes are private!,0,0,1,"Nov 15, 2023","Dec 03, 2023","Dec 03, 2023",,Paperback,view (with text),/book/show/26047703-how-bad-do-you-want-it-mastering-the-psychology-of-mind-over-muscle
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Chatterley's Lover,"Lawrence, D.H.",014303961X,9780143039617,014303961X,400        pp,3.50,"125,610",1928,Dec 2019,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,not setnot set,"Oct 18, 2023",,Paperback,view,/book/show/49583709-lady-chatterley-s-lover
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything All at Once,"Catudal, Stephanie",0063253135,9780063253131,0063253135,240        pp,4.21,"2,412",unknown,"May 30, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s been a while since I’ve taken notes in a book but man… this one I Kindle highlighted so much. Although a memoir, this book reads as poetry. CatudIt’s been a while since I’ve taken notes in a book but man… this one I Kindle highlighted so much. Although a memoir, this book reads as poetry. Catudal has such an amazing way with words, such an ability to put emotion into black and white letters that I often held my breath while reading. You can feel that she put herself fully into this story. She let us into her world, let’s us into her mind and experiences, and makes you feel through her words. And what powerful words: ***“I don’t run to be fit,” he once told me. “I mostly run to not hurt so much.”The nurse barely looked up from her computer as she typed his information, drained from an endless barrage of patients with similar ailments flooding into the overcrowded and understaffed hospital. Rivs was drowning on dry land, and so was she.Click. Silence. Loneliness. Oxygen. Lungs. Breath.More than anything, it was cathartic to list all the ways I’d defied god for saving those fishermen and not my father.You could spend your whole life waiting and never be prepared for the airlessness of tragedy.This was the thought that cut through the fog: my husband might die in silence because I couldn’t find the courage to speak up.They were simply doing what women have always done: hold worlds together in shadowed recognition.But life doesn’t work in weight and measure—there is no cap on pain. The bucket just gets bigger. Sometimes there is more grief than we feel we can handle—it overflows whatever pail we’ve used to catch the leak. It seeps out of us, onto the floors, up the walls, out the windows. For a little while, we drown. It’s dark. And then, the light shines through—weak at first, like the subtle smell of spring you can taste before you can see. You reach your hand up to see if it’s real. Light glows through your fingers. There it is, out of the abyss, gleaning in on the horizon: hope, healing, a way forward.They walked the tightrope between art and science. They believed. And it was beautiful. It was a miracle.***I feel lucky to have been able to glimpse this story and her life. What a amazing gift to share with everyone. Also, having heard of Rivs and remembering when this was happening in really time, there is something amazing in hearing of this time from this perspective. ...more",Notes are private!,0,1,1,"Jul 08, 2023","Jul 11, 2023","Jul 08, 2023",,Hardcover,view (with text),/book/show/62365899-everything-all-at-once
