,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Angela's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Silver Flames        (A Court of Thorns and Roses, #4)","Maas, Sarah J.*",,,B08CHNCDN5,757        pp,4.47,"1,084,068","Feb 16, 2021","Feb 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024",not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/54479197-a-court-of-silver-flames
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal Women: Nine Hundred Years of Making History,"Gregory, Philippa*",,,B0BPSYH91Z,687        pp,4.12,738,"Oct 26, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Kindle Edition,view,/book/show/124938653-normal-women
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ayurveda for Women: The Power of Food as Medicine with Recipes for Health and Wellness,"Glaser, Emily L",059343613X,9780593436134,B09JYL9V64,197        pp,3.86,97,unknown,"Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Feb 2024,not set,"Feb 01, 2024",,Kindle Edition,view,/book/show/60889591-ayurveda-for-women
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three James Herriot Classics: All Creatures Great and Small / All Things Bright and Beautiful / All Things Wise and Wonderful,"Herriot, James",,,B0060QM0CY,499        pp,4.78,"3,410",1980,"Nov 15, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 30, 2024",not set,"Jan 30, 2024",,Kindle Edition,view,/book/show/36512623-three-james-herriot-classics
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mending Life: A Handbook for Repairing Clothes and Hearts,"Montenegro, Nina",1632172534,9781632172532,B07T2VR15T,223        pp,4.47,645,"Mar 10, 2020","May 19, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 25, 2024",not set,"Jan 25, 2024",,Kindle Edition,view,/book/show/48662750-mending-life
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mending Matters: Stitch, Patch, and Repair Your Favorite Denim & More","Rodabaugh, Katrina*",,,B07BFBJVRS,228        pp,3.94,"1,186",unknown,"Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 25, 2024",not set,"Jan 25, 2024",,Kindle Edition,view,/book/show/40134045-mending-matters
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Big Bites: Wholesome, Comforting Recipes That Are Big on Flavor, Nourishment, and Fun: A Cookbook","Ashmore, Kathleen",0593580168,9780593580165,B0C3C6JB15,263        pp,4.36,11,unknown,"Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 22, 2024",not set,"Jan 22, 2024",,Kindle Edition,view,/book/show/139401967-big-bites
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar,"Inchauspe, Jessie",,,B098442BG3,295        pp,4.45,"25,213","Jan 10, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 22, 2024",not set,"Jan 22, 2024",,Kindle Edition,view,/book/show/59761779-glucose-revolution
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Wings and Ruin        (A Court of Thorns and Roses, #3)","Maas, Sarah J.*",,,B01LOWN78Y,719        pp,4.48,"1,537,796","May 02, 2017",Feb 2021,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 03, 2024","Jan 20, 2024","Jan 03, 2024",,Kindle Edition,view,/book/show/57060202-a-court-of-wings-and-ruin
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Running Grave        (Cormoran Strike #7),"Galbraith, Robert",0316572136,,B0C3CKHR3F,960        pp,4.62,"65,724","Sep 26, 2023","Sep 26, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 26, 2023","Jan 03, 2024","Dec 26, 2023",,Kindle Edition,view,/book/show/139426587-the-running-grave
