,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bel's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Praia dos Inúteis,"Nogués, Alex",841744033X,9788417440336,841744033X,88        pp,4.49,243,unknown,May 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/56321710-a-praia-dos-in-teis
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O cão da morte,"Christie, Agatha",6555114703,9786555114706,6555114703,272        pp,3.47,"7,155",Oct 1933,"Feb 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/79703228-o-c-o-da-morte
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As Mulheres do Nazismo,"Lower, Wendy",8532528996,9788532528995,8532528996,288        pp,3.57,"5,376","Oct 08, 2013","May 16, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Paperback,view,/book/show/22029882-as-mulheres-do-nazismo
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As Bruxas da Noite: A História não Contada do Regimento Aéreo Feminino Russo Durante a Segunda Guerra Mundial,"Armeni, Ritanna",8555031125,9788555031120,B082BKKWZ4,248        pp,4.20,599,"Feb 08, 2018","Dec 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Kindle Edition,view,/book/show/49294044-as-bruxas-da-noite
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heroínas Desta História: mulheres em busca de justiça por familiares mortos pela ditadura,"Borges, Carla",,9788551306222,,400        pp,3.86,7,Mar 2020,Mar 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Paperback,view,/book/show/51233322-hero-nas-desta-hist-ria
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Carteiro e o Poeta,"Skármeta, Antonio",8501046019,9788501046017,8501046019,127        pp,3.65,"17,300",1985,1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/6712062-o-carteiro-e-o-poeta
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Zone of Interest,"Amis, Martin",0676977847,9780676977844,0676977847,306        pp,3.71,"6,792","Sep 30, 2014","Jul 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/22939472-the-zone-of-interest
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If You'll Have Me,Eunnie,0593403223,9780593403228,0593403223,336        pp,4.45,"2,260","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/83817463-if-you-ll-have-me
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You'll Come Back to Yourself,"Angemeer, Michaela*",1775272710,9781775272717,1775272710,139        pp,3.87,"8,872","Aug 18, 2019","Aug 18, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,22,1,"Mar 10, 2024","Mar 10, 2024","Mar 11, 2024",,Paperback,view,/book/show/52259365-you-ll-come-back-to-yourself
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vemo-nos em Agosto,"García Márquez, Gabriel",9722081012,9789722081016,9722081012,116        pp,3.78,"7,309","Mar 06, 2024","Mar 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/208877274-vemo-nos-em-agosto
