,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,John's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saltblood,"Tores, Francesca De",1526661330,9781526661333,,368        pp,4.28,58,"Apr 25, 2024","Apr 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/199689207-saltblood
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Liar        (Eddie Flynn, #3)","Cavanagh, Steve*",,,B01JM9PS56,337        pp,4.33,"10,337","May 18, 2017","Nov 16, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Imagine if, on a steamy ,rain-soaked night in New Orleans, Harvey Specter and Jack Reacher met and fell in love ❤️. Out of that blessed union emerges Imagine if, on a steamy ,rain-soaked night in New Orleans, Harvey Specter and Jack Reacher met and fell in love ❤️. Out of that blessed union emerges a fully formed Eddie Flynn, ready to fight injustice with either his razor-sharp legal brain or his fists of righteous fury !In The Liar, he certainly needs both of those in yet another well plotted and over the top legal thriller. Very good entertainment. 3.75 ...more",Notes are private!,0,15,1,"Apr 05, 2024","Apr 09, 2024","Apr 05, 2024",,Mass Market Paperback,view (with text),/book/show/34080217-the-liar
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Place Called Hope: An utterly compelling, evocative small-town crime thriller","Greene, Morgan*",1804366706,9781804366707,B0CZ3L2MZQ,0        pp,0.00,0,unknown,"Sep 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Kindle Edition,view,/book/show/210481620-a-place-called-hope
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"King's Dragon        (Crown of Stars, #1)","Elliott, Kate*",1857236092,9781857236095,B0069X090I,591        pp,3.81,"9,305","Feb 01, 1997",1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/439653.King_s_Dragon
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The One Kingdom        (The Swans' War, Book 1)","Russell, Sean",1841490881,9781841490885,1841490881,714        pp,3.72,"1,804",2001,"Mar 07, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/364470.The_One_Kingdom
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Transformation        (Rai-Kirah, #1)","Berg, Carol*",184149044X,9781841490441,184149044X,448        pp,4.00,"7,231","Aug 01, 2000","Aug 23, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/437783.Transformation
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Knight's Dawn        (Red Pavillions, #1)","Hunter, Kim",1841490903,9781841490908,1841490903,384        pp,3.55,121,"Sep 12, 2013","Jan 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/119314.Knight_s_Dawn
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Savage Ridge,"Greene, Morgan*",1804367346,9781804367346,B0CJTRS68V,368        pp,4.08,102,"Mar 21, 2024","Mar 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Kindle Edition,view,/book/show/199222683-savage-ridge
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Edge of the Grave        (Jimmy Dreghorn #1),"Morrison, Robbie",152905401X,9781529054019,152905401X,416        pp,4.21,"1,402","Mar 04, 2021","Mar 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Kindle Edition,view,/book/show/56317981-edge-of-the-grave
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cast a Cold Eye        (Jimmy Dreghorn #2),"Morrison, Robbie",1529054095,9781529054095,B0BHT6KDFG,452        pp,4.43,247,unknown,"Apr 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Kindle Edition,view,/book/show/63885283-cast-a-cold-eye
