,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Misty's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kinfolk,"Dietrich, Sean",1400235634,9781400235636,1400235634,400        pp,4.52,"1,058",unknown,"Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Paperback,view,/book/show/123266558-kinfolk
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hannah Coulter,"Berry, Wendell",1593760787,9781593760786,1593760787,190        pp,4.38,"17,143",2004,"Sep 30, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Paperback,view,/book/show/146198.Hannah_Coulter
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,606","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/61771675-hello-beautiful
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Berry Pickers,"Peters, Amanda*",1646221958,9781646221950,1646221958,307        pp,4.18,"49,148","Apr 04, 2023","Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 29, 2024","Mar 30, 2024","Mar 29, 2024",,Hardcover,view,/book/show/123036004-the-berry-pickers
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Assistant to the Villain        (Assistant to the Villain, #1)","Maehrer, Hannah Nicole*",1649375808,9781649375803,1649375808,342        pp,3.90,"90,335","Aug 29, 2023","Aug 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024","Mar 29, 2024","Mar 29, 2024",,Paperback,view,/book/show/123257687-assistant-to-the-villain
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daniel: God's Pattern for the Future,"Swindoll, Charles R.*",1579720064,9781579720063,1579720064,162        pp,4.00,25,"May 01, 1986","Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024",not set,"Mar 23, 2024",,Paperback,view,/book/show/2976297-daniel
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Daniel, Man of God: Being a Man of Character in a Babylon World","Moody, Dwight L.",1622455851,,B07F8HNBF9,103        pp,4.49,632,"May 01, 2003","Sep 01, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this tiny book by Dwight L. Moody, a preacher during the 1800s.I’m intrigued by Daniel. He was uprooted from his home, country, and religionI enjoyed this tiny book by Dwight L. Moody, a preacher during the 1800s.I’m intrigued by Daniel. He was uprooted from his home, country, and religion as a young boy and yet he is so grounded in his faith, that even when immersed in a life of idol worship, he is still solely devoted to the one true God. This book would be a great one to go through with your kids. It’s a book to be read with your Bible open so you can consult back and forth.*this book doesn’t include anything about the prophecies of Daniel in the last chapters.QUOTES FROM THE BOOK“And God will exalt us also when the right time comes. We don’t need to try to promote ourselves; we don’t need to struggle for position. Let God put us in our true places. It is better for a man to be right with God, even if he holds no position down here. Then he can look up and know that God is pleased with him. That is enough.”“(Daniel 2:28) Daniel took his place as a nobody; he himself was nothing. He did not wish the king to think highly of him. That is the very highest type of devotion – when a man hides himself out of the way, and seeks to exalt his God and lift up his redeemer, not himself.”“Remember, no man can be true to God and live for Him without at sometime or other being unpopular in this world. Those men who try to live for both worlds fail miserably, for at some time or other the collision is sure to come.”“Aren’t there some of us who have so little backbone that we would have counseled these three to just bow down a little, so that no one would notice – to merely bow down, but not to worship?”“He would rather be in the lions’ den with God than out of it without Him.”...more",Notes are private!,0,4,1,"Mar 14, 2024","Mar 21, 2024","Mar 14, 2024",,Kindle Edition,view (with text),/book/show/41555621-daniel-man-of-god
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Babylonians,"Leick, Gwendolyn",0415253152,9780415253154,0415253152,188        pp,3.58,77,"Sep 12, 2002","Nov 17, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 14, 2024","Mar 14, 2024","Mar 14, 2024",,Paperback,view,/book/show/2197166.The_Babylonians
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pocket Timeline of Ancient Mesopotamia,"Wiltshire, Katharine",0195301331,9780195301335,0195301331,32        pp,3.17,6,"Jan 12, 2005","Jan 12, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 13, 2024","Mar 13, 2024","Mar 13, 2024",,Hardcover,view,/book/show/791851.The_Pocket_Timeline_of_Ancient_Mesopotamia
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ancient Mesopotamia: The Sumerians, Babylonians, And Assyrians","Schomp, Virginia",0531167410,9780531167410,0531167410,112        pp,3.47,34,"Jan 01, 1991","Jan 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very basic book about Ancient Mesopotamia. Gives you a very broad overview.,Notes are private!,0,0,1,"Mar 13, 2024","Mar 13, 2024","Mar 13, 2024",,Paperback,view (with text),/book/show/979141.Ancient_Mesopotamia
