,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,James's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carpenter's Gothic,"Gaddis, William",0670697931,9780670697939,0670697931,262        pp,3.83,"2,025","Jul 22, 1985","Jul 22, 1985",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Rereading.,Notes are private!,0,0,2,"Jul 20, 2019not set","Jul 26, 2019not set","Apr 01, 2024",,Hardcover,view (with text),/book/show/991901.Carpenter_s_Gothic
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Recognitions,"Gaddis, William",0151759715,9780151759712,0151759715,956        pp,4.20,"5,682",1955,"Jun 01, 1955",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A reread. Read many years ago, I've read much criticism since. Now it seems time to read it again along with a brief biography of Gaddis.In that briefA reread. Read many years ago, I've read much criticism since. Now it seems time to read it again along with a brief biography of Gaddis.In that brief biography, Joseph Tabbi commented that The Recognitons was a 2d The Waste Land. And about the same time I read the William Gass evaluation, ""The Recognitions was a thunderclap. It was a dull decade, the fifties, but here was a real sound."" Well, I've finished again, and I can still hear the rumble of that thunder like one of those heavy claps during a summer thunderstorm that persist in the distance after it's shaken the walls of your house. There's hardly anything comparable to The Recognitions today, so we can only imagine what astonishment it struck into serious readers who took it up in 1955. I was only 13 at the time, wasn't reading seriously yet and didn't hear such literary thunder until I heard Eliot's 4 years later. We know Eliot's thunder as the promising voice of God, and one of the themes of The Recognitions is a movement toward salvation through a return to a more genuine art and religion. ""...it seems the right way to be devotional, to worship at these elaborate altars of modernism."" I don't remember the source of this marginalia in my copy, or even whether or not it's a quote, but I'd continue the idea by saying that Eliot and Gaddis are a couple of my more important saints....more",Notes are private!,0,0,2,"Jan 10, 2019not set","Mar 17, 2019not set","Mar 31, 2024",,Hardcover,view (with text),/book/show/1310518.The_Recognitions
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silentiary,"Di Benedetto, Antonio",1681375621,9781681375625,1681375621,176        pp,3.87,664,"Jan 30, 1964","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2022",,Paperback,view,/book/show/57496542-the-silentiary
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,South to America: A Journey Below the Mason Dixon to Understand the Soul of a Nation,"Perry, Imani",0062977407,9780062977403,0062977407,410        pp,3.97,"6,414","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 16, 2022",not set,"Jan 27, 2022",,Hardcover,view,/book/show/55276620-south-to-america
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Fevered Days: Ten Pivotal Moments in the Making of Emily Dickinson,"Ackmann, Martha",0393609308,9780393609301,0393609308,304        pp,4.10,725,"Feb 25, 2020","Feb 25, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There are many books about Emily Dickinson: biographies, collections of her poetry, collections of poetry inspired by her, novels about her, critical There are many books about Emily Dickinson: biographies, collections of her poetry, collections of poetry inspired by her, novels about her, critical appraisals of her work. Most of them are comprehensive, all-inclusive, especially the biographies. Perhaps some of the best, though, are those which shine a light on a few elements of her life or work which represent what's best about her. When I read Dickinson's poetry these fevered days I read Helen Vendler's splendid volume which pulls apart and analyzes only 50 of her most representative poems. Martha Ackmann, who's a Dickinson scholar teaching at Mount Holyoke College, has written one of the better biographies, one that explains Dickinson's life and oeuvre very well through the microscope of only 10 widely-scattered days during her 56 years of life. They're significant days, to be sure, but Achmann has chosen so well and fleshed out so carefully that the Dickinson which comes alive for us is vibrant and authentic and human and likable. Ackmann has decided these are 10 days which define Dickinson. What makes them distinctive in forming the poetess that's come down to us today is that Emily was different at the end of them than she was at the beginning. Some of the moments are well-known, like the evening while attending Mount Holyoke Female Seminary she decided to not profess her faith in Christ. Another is the day she's forced to admit she needs treatment for her eye ailment. Other days provide less sharply-defined borders for us to see: the 1st publication of one of her poems, or the day she realizes she wants to be distinguished as a person. Truthfully, these are not so much moments in her life as periods. Her impaired vision, for instance, was iritis, and the treatment involved staying in Cambridge for several months of 1864 and coincided with an intense correspondence with Thomas Wentworth Higginson, an important literary mentor, whose influence is another pivotal moment.There are some surprises. The Dickinson Ackmann sees is perhaps less eccentric and reclusive than she's portrayed elsewhere. The story's here about her talking to visitors from the upstairs landing while remaining unseen. And there's the woman who eventually dresses only in white dimity. But if she stays at home she's also a woman who shows herself more open to those who come to see her, especially if they want to discuss writing. She even falls in love. In telling us the story of how this day or another 10 years later shaped her, Ackmann has to describe how that day was typically lived and organized in the New England society in which Dickinson lived. We learn quite a lot about Amherst itself in the mid-19th century as well as about those who lived there. Incidentally, the book includes a fine collection of contemporary photos, most of which I'd not seen before. Instead of the fragmented account you might expect from breaking Dickinson's life into 10 distinct parts, the book manages to give us a generous and detailed portrayal of her community along with her life and work. All of it makes one of the loveliest and most helpful books about Dickinson I know....more",Notes are private!,0,10,1,"Jan 16, 2022","Jan 22, 2022","Jan 16, 2022",,Hardcover,view (with text),/book/show/45894121-these-fevered-days
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Transcendentalists and Their World,"Gross, Robert A.",0395279321,9780395279328,0374279322,836        pp,3.95,155,unknown,"Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2021",,Hardcover,view,/book/show/31450530-the-transcendentalists-and-their-world
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tenderness,"MacLeod, Alison*",0735233780,9780735233782,0735233780,616        pp,3.88,487,"Sep 14, 2021","Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2022",not set,"Dec 14, 2021",,Paperback,view,/book/show/56702891-tenderness
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Emigrants        (New Directions Paperbook),"Sebald, W.G.",081122614X,9780811226141,081122614X,240        pp,4.17,"10,105",1992,"Nov 08, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Emigrants is a famous book. It's considered at least a masterpiece, and some think it Sebald's masterpiece. I've just now gotten around to readingThe Emigrants is a famous book. It's considered at least a masterpiece, and some think it Sebald's masterpiece. I've just now gotten around to reading it. I've admired Seblald for years. I like very much his somber, plain-spoken prose steering subtle narratives which drift like meditation. The book itself is made up of 4 linked novellas about Germans who left for the UK or America. Their connection is that fact as well as the Holocaust looming in the background of each character, touching them all in profound ways. The reserved, reflective telling of personal and general history serves to stitch the 4 sad biographies together and to the narrator's. You can almost hear them click into their tight bond. And this, I think, prevents their expanding outward to the unifying affirmation I was expecting. In Sebald's hands the loss of one's homeland discourages action and restrains emotion. We are helpless in the hands of events powerfully sweeping into the domain of history....more",Notes are private!,0,8,1,"Dec 09, 2021","Dec 13, 2021","Dec 09, 2021",,Paperback,view (with text),/book/show/29082609-the-emigrants
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Story of a Brief Marriage,"Arudpragasam, Anuk*",1250075270,9781250075277,1250075270,193        pp,3.81,"2,838","Sep 06, 2016","Sep 19, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2021",,Paperback,view,/book/show/32768508-story-of-a-brief-marriage
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Loren Eiseley: Collected Essays on Evolution, Nature, and the Cosmos: A Library of America Boxed Set","Eiseley, Loren",1598535056,9781598535051,1598535056,"1,066        pp",4.69,26,unknown,"Nov 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I've completed the 1st book of the set, the collection entitled The Immense Journey.Eiseley was an anthropologist primarily concerned with evolution aI've completed the 1st book of the set, the collection entitled The Immense Journey.Eiseley was an anthropologist primarily concerned with evolution and the natural world. Though I recognized the name, I'd not read him until introduced to his work through his essay ""One Night's Dying"" included in an anthology published by Phillip Lopate. I was impressed with his comments on deep cosmic time and evolution and our place in them. And I was impressed with his stylish prose. This collection of essays doesn't disappoint. He proved to be a more interesting writer than I'd hoped. Concerned as he is with all of nature from the fields adjacent to his house to the expanding universe, he's able to make astounding leaps in thought in a few sentences. He writes about frogs' eyes protruding from ponds to watch the skies and moves to our probing the night skies with telescopes. Grass seed pods clinging to his pants and transported from field to field reminds him of the theory of earth seeded by microscopic spores carried by falling meteorites. Sometimes he writes of the violent feeding of animal on animal with the same powerful lyricism as Ted Hughes. There are many rewards in the book, but I felt blessed to be reading the essay ""The Judgment of the Birds.""The 2d book, The Firmament of Time, is essentially a history of evolutionary thought, of how man progressed inn his understanding of the natural world, how we learned to expand time from our near-current age to the billions preceding us. He writes metaphorically about how science feeds the imagination. And he concludes wonderfully by explaining how man has transcended what we understand as natural. I found interesting his descriptions of how the idea of evolution predated Darwin and advanced in small increments and clues until he provided a new way to see the world from the angle of natural selection. I had previously been under the impression Wallace and Darwin had discovered the process by themselves....more",Notes are private!,0,2,1,"Dec 07, 2021",not set,"Nov 26, 2021",,Hardcover,view (with text),/book/show/29207247-loren-eiseley
