,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Frank's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,From a Taller Tower: The Rise of the American Mass Shooter,"McGraw, Seamus",147731718X,9781477317181,147731718X,256        pp,3.81,236,unknown,"Apr 20, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 07, 2021",,Hardcover,view,/book/show/55841489-from-a-taller-tower
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Thousand Moons        (Days Without End #2),"Barry, Sebastian",0735223106,9780735223103,0735223106,272        pp,3.90,"5,847","Mar 19, 2020","Apr 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2020",,Hardcover,view,/book/show/52255586-a-thousand-moons
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apeirogon,"McCann, Colum*",1400069602,9781400069606,1400069602,463        pp,4.25,"21,707","Feb 25, 2020","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2020",,Hardcover,view,/book/show/50185600-apeirogon
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Men in Granny Panties: A Love Story,"McGraw, Seamus",,,B0079N4H5K,278        pp,4.33,6,"Feb 14, 2012","Feb 14, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very funny and well constructed, with an unexpected suspenseful climax. I was moving to the edge of my chair even as I was laughing, a rare combinatioVery funny and well constructed, with an unexpected suspenseful climax. I was moving to the edge of my chair even as I was laughing, a rare combination. I'll never look at a Shriner's clown car the same way. ...more",Notes are private!,0,2,1,not set,not set,"Apr 13, 2014",,Kindle Edition,view (with text),/book/show/21258659-men-in-granny-panties
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before She Met Me,"Barnes, Julian",0330300059,9780330300056,0330300059,176        pp,3.29,"3,505","Apr 15, 1982","Jan 01, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not particularly satisfying. The protagonist's obsession with his wife's former career was beyond bizarre. I kept waiting for the penny to drop, and dNot particularly satisfying. The protagonist's obsession with his wife's former career was beyond bizarre. I kept waiting for the penny to drop, and did not expect the ending at all. ...more",Notes are private!,0,0,1,"Sep 29, 2013","Apr 13, 2014","Sep 29, 2013",,Paperback,view (with text),/book/show/110973.Before_She_Met_Me
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Metroland,"Barnes, Julian",0679736085,9780679736080,0679736085,176        pp,3.64,"3,660","Mar 01, 1980","Oct 27, 1992",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this first novel by Julian Barnes. I don't know if I would have when it was first published, because I was probably closer to the ""Paris 196I enjoyed this first novel by Julian Barnes. I don't know if I would have when it was first published, because I was probably closer to the ""Paris 1968"" Christopher than the ""Metroland 1977"" version. Now I'm well beyond both....more",Notes are private!,0,0,1,"Sep 15, 2013","Sep 21, 2013","Sep 29, 2013",,Paperback,view (with text),/book/show/110945.Metroland
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,TransAtlantic,"McCann, Colum*",1408841266,9781408841266,1408841266,298        pp,3.82,"26,207","Jun 04, 2013","May 23, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read the first chapter of TransAtlantic in the New Yorker, and it stood perfectly well as a self-contained short story. In fact, each of the first tI read the first chapter of TransAtlantic in the New Yorker, and it stood perfectly well as a self-contained short story. In fact, each of the first three chapters—about Alcock and Brown's first flight in 1919 from Newfoundland to Clifden, Frederick Douglass' lecture tour in a Famine-ravaged Ireland of the 1840s, and George Mitchell's heroic efforts in shepherding the various parties to the signing table on Good Friday 1998—could stand alone. It wasn't until well into the second hundred pages that the penny dropped and I realised what a magnificent, sweeping tale was actually unfolding from the tenuously connected parts.McCann amazes: the magic of Let the Great World Spin was not a fluke. This is my first ""Five Star"" book of 2013....more",Notes are private!,0,2,1,"Jul 06, 2013","Aug 11, 2013","Aug 15, 2013",,Paperback,view (with text),/book/show/18160252-transatlantic
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Holy Orders        (Quirke, #6)","Black, Benjamin",1427231672,9781427231673,1427231672,10        pp,3.75,"2,338",2013,"Aug 20, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A cliff-hanger! I'm not pleased with that, Mr Banville Black. How very odd: Good Reads only seems to have the US Editions available to chose from, nonA cliff-hanger! I'm not pleased with that, Mr Banville Black. How very odd: Good Reads only seems to have the US Editions available to chose from, none of which are published yet. I bought this in paperback in Dublin last month. Looks like the site is going downhill already....more",Notes are private!,0,0,1,"Jun 29, 2013","Jun 30, 2013","Jun 29, 2013",,Audio CD,view (with text),/book/show/16059610-holy-orders
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nine Stories,"Salinger, J.D.",0553205129,9780553205121,0553205129,198        pp,4.18,"147,450","Apr 06, 1953",1968,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Only because a friend recently finished this for the first time, I thought I'd add it to my list. I read it my freshman year in high school, almost foOnly because a friend recently finished this for the first time, I thought I'd add it to my list. I read it my freshman year in high school, almost forty-three years ago. But hell, the ink was practically dry then, the last story—""Teddy""—having been published in the New Yorker in January, 1953, a mere seventeen years earlier. In the intervening years, I've read some of the stories again and again.The one that sticks out particularly—the one for which my appreciation has grown as I've aged—is ""For Esmé—with Love and Squalor"". And I'm surprised and pleased that outside of the States, the title of the collection is generally For Esmé—with Love and Squalor, and Other Stories. Maybe it's time for a reread—I have a copy somewhere at home....more",Notes are private!,0,0,1,not set,Nov 1970,"Apr 24, 2013",,Paperback,view (with text),/book/show/1052540.Nine_Stories
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Obscene Bird of Night,"Donoso, José",1567920462,9781567920468,1567920462,438        pp,4.18,"3,106",1970,"Jun 30, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2013",,Paperback,view,/book/show/382975.The_Obscene_Bird_of_Night
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of the World in 10½  Chapters,"Barnes, Julian",0679731377,9780679731375,0679731377,320        pp,3.88,"15,390","Oct 07, 1989","Nov 27, 1990",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The more I read of Julian Barnes' work, the more I like.The more I read of Julian Barnes' work, the more I like....more",Notes are private!,0,0,1,"Apr 02, 2013","Apr 12, 2013","Apr 09, 2013",,Paperback,view (with text),/book/show/43980.A_History_of_the_World_in_10_Chapters
