,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Christine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Apartment,"Foley, Lucy",0063003058,9780063003057,0063003058,360        pp,3.67,"516,273","Feb 22, 2022","Feb 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you read my last , the book I started to read was so bad. So when I landed at my layover in Vegas I bought this book to get me through the reIf you read my last , the book I started to read was so bad. So when I landed at my layover in Vegas I bought this book to get me through the rest of the flight to Florida.Never heard of Foley or this book. I don't typically read whodunnits. However, compared to the book that I had to stop reading because the writing was so bad - this was okay.It was a super quick and easy read. The premise was interesting. However, the end got a little silly with twists that just seemed unrealistic. And I noticed a discrepancy in something the main character, ""Jess"" was doing that didn't make sense in the ending scene. So the story lost some credibility for me based on that, and other ""reveals"" at the end - that I can't reveal here! All a bit convoluted and ridiculous at the end.I suppose if this is your genre - or if you're a fan of Ms. Foley, you'd enjoy it. For me, it served the purpose of getting me to Florida, then back home to Boise - a distraction from hours of flying! That's about it. ...more",Notes are private!,2,4,1,"Mar 16, 2024","Mar 23, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/58468990-the-paris-apartment
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Things We Never Got Over        (Knockemout, #1)","Score, Lucy*",1945631848,9781945631849,B09PNM8FFN,572        pp,4.17,"760,506","Jan 12, 2022","Jan 13, 2022",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Brutal. I stopped at page 32 - out of 572 pages. Someone at work suggested I read it. I took it on the plane from Boise to Ft. Lauderdale. It was so bBrutal. I stopped at page 32 - out of 572 pages. Someone at work suggested I read it. I took it on the plane from Boise to Ft. Lauderdale. It was so bad that I had to shut the book before we even landed at my layover in Vegas. The dialogue was so poorly written. The man and woman were in their 30s I guess? But sounded like teens. The author, this Lucy Score, wrote in such an awkward, amateurish manner, I seriously couldn't go on. In fact, people may say, ""but you didn't even finish"". This was such bad writing that I knew that going on would not improve the situation. Just - oh. my. god. - can't even believe Ms. Score found someone to publish it. Sad....more",Notes are private!,2,4,1,"Mar 16, 2024","Mar 16, 2024","Mar 24, 2024",,Kindle Edition,view (with text),/book/show/60060431-things-we-never-got-over
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Troublemakers: Lessons in Freedom from Young Children at School,"Shalaby, Carla",1620972360,9781620972366,1620972360,240        pp,4.26,"1,969",unknown,"Mar 07, 2017",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This will be short. Our principal asked us to read this in a book study. I did it because I needed the credit. Absolutely horrible.All I will say is iThis will be short. Our principal asked us to read this in a book study. I did it because I needed the credit. Absolutely horrible.All I will say is if you are a new teacher, please, please, do not think that anything in this book is a way to allow students to act. The book is reckless and irresponsible. The author admits she has no evidence or research, that it's all anecdotal. The author looks young and it was hard for me to find out hard details about her like - how long was she actually an elementary teacher? Honestly, she spoke like a true ""district person"" - having no idea what it really is to teach and to teach to a large group. The teachers in my book study were more worried that our principal would actually think this book had valuable information than concerned about how bad the book was. But we didn't dare speak up - well, only a few brave ones! Hope my principal isn't on Goodreads! ...more",Notes are private!,3,3,1,"Jan 03, 2024","Jan 21, 2024","Jan 22, 2024",,Hardcover,view (with text),/book/show/29502429-troublemakers
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Buccaneers,"Wharton, Edith",,,,406        pp,3.88,"7,065",1938,"Oct 01, 1994",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wharton wrote this when she was 75 and died in 1937. It was published in 1938 in its ""unfinished"" state. Then someone named Marion Mainwaring ""finisheWharton wrote this when she was 75 and died in 1937. It was published in 1938 in its ""unfinished"" state. Then someone named Marion Mainwaring ""finished"" it in 1993. Some folks seemed okay with the situation. Other folks like John Updike called it a ""bastardization"". I guess I fall in the middle somewhere.It wasn't my favorite Wharton book. Too many characters and all that female silliness about debutants, and arranging wealthy marriages in the 1870s-1880s. Americans vs. the Brits, etc. I honestly liked it more as a case study of Edith Wharton herself. It felt very autobiographical since this was the time period where she came of age among the elite in New York society. I liked the education I got on how the royals perceived the Americans at that time, and maybe still today.The beginning dragged a bit and I was never really brought into the drama so it was hard to pick up some days. However, I heard there was a movie and I think a recent TV series made. I'd check it out just for kicks. ...more",Notes are private!,2,5,1,Dec 2023,"Dec 30, 2023","Dec 30, 2023",,Paperback,view (with text),/book/show/856190.The_Buccaneers
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Washington Square,"James, Henry",0451528719,9780451528711,0451528719,240        pp,3.70,"23,369","Dec 01, 1880","Apr 06, 2004",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was describing this story to my husband in the middle of reading and he said, ""oh, a chick lit story?"" Well, hmmm, I don't know if they'd called it I was describing this story to my husband in the middle of reading and he said, ""oh, a chick lit story?"" Well, hmmm, I don't know if they'd called it ""chick lit"" in 1880, the year it was published, but I'll say okay.I was expecting so much more. I had heard a lot about Henry James in my college literary classes. And this novel came out 4 years after my favorite author (Mark Twain) published Tom Sawyer and 4 years before Huck Finn. And no, I didn't expect James to be Twain, but I expected him to be GOOD.This was a silly, boring, repetitive tale. The title is based on Washington Square in New York City, but I barely felt the presence of a setting! Some of the characters were well-described physically and through their dialogue, but others I never knew. And the worst part was the second-person narration or what I'm seeing called now: ""authorial intrusion"". Ugh! I don't know if Henry James used this technique in ALL of his novels, but it was so distracting in this one. Authors, PLEASE don't speak to me while telling the story. Just, please, don't. Once again, I'll end by saying - thank god it was short....more",Notes are private!,1,5,1,"Nov 13, 2023","Nov 18, 2023","Nov 18, 2023",,Mass Market Paperback,view (with text),/book/show/133954.Washington_Square
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Their Eyes Were Watching God,"Hurston, Zora Neale",0060931418,9780060931414,0060931418,219        pp,3.98,"347,175",1937,"Dec 01, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Finally! Thank god! An ACTUAL STORY! An honest-to-goodness STORY! I'm coming off of the last three novels I read and none of them was plot-based or toFinally! Thank god! An ACTUAL STORY! An honest-to-goodness STORY! I'm coming off of the last three novels I read and none of them was plot-based or told much of any kind of story.This wonderful, slim novel had a true beginning, middle, and end. The setting was well described and intertwined with all of the characters and the storyline. It just all worked. It was so nice to have a book I wanted to pick up and didn't want to put down.I'm from Florida and so was Mrs. Hurston! After reading the forward and the literary analysis at the end, I'd love to find a good biography of Hurston. I also understand their was a movie made of this. I may check it out.I'll remember these characters for a long time....more",Notes are private!,2,4,1,"Nov 02, 2023","Nov 06, 2023","Nov 06, 2023",,Paperback,view (with text),/book/show/178805.Their_Eyes_Were_Watching_God
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Dalloway,"Woolf, Virginia",0151009988,9780151009985,0151009988,194        pp,3.79,"306,461","May 14, 1925","Oct 28, 2002",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What happened? I loved Woolf's nonfiction, A Room of One's Own, but this was just awful! So boring! So weirdly frenetic and boring at the same time!ThWhat happened? I loved Woolf's nonfiction, A Room of One's Own, but this was just awful! So boring! So weirdly frenetic and boring at the same time!The whole stream of consciousness set up didn't work for me. And it seems like I keep selecting novels with NO PLOT. I get that this was that post WWI modernist time, 1925, where everyone was depressed and disillusioned, but God, I don't see why this has been considered such an important book! Is it just that it was so ""unique"" to write about one person's inner thoughts in one day? I was looking for that same wit I loved in her nonfiction (and yes, when I could actually follow some of it, there were moments) but overall, I was not interested in what Mrs. Dalloway was thinking. Bleah!Surely someone has made the connection to Woolf's mental illness and the semi-autobiographical nature of the character, as well, right? Or maybe I'm off there. Too confusing and I don't care....more",Notes are private!,2,9,2,"Oct 28, 2023not set",Nov 2023not set,"Nov 01, 2023",,Hardcover,view (with text),/book/show/14942.Mrs_Dalloway
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Chatterley's Lover,"Lawrence, D.H.",1593082398,9781593082390,1593082398,345        pp,3.50,"125,615",1928,"Apr 25, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read Lawrence's Sons and Lovers several years ago. I thought Lady Chatterly was a much better and more interesting story. However, I'm still not surI read Lawrence's Sons and Lovers several years ago. I thought Lady Chatterly was a much better and more interesting story. However, I'm still not sure I'm a D.H. Lawrence convert.Yes, this time when they said ""obscene"", it was - even by modern standards. And that was fine. I just kept wishing it was more of a romantic relationship instead of the Mellors character talking about her ""cunt"" and ""fucking"", etc. Eventually, it DID turn into romance, but it took at least the first 100 pages to get there. Maybe more. And again, Lawrence had so much extra detail about the coal miners, the colliers, and all that union vs. management talk. Lots of long speeches by the main male character, ""Clifford"" and Clifford's friends. Ugh, that part was so boring. Lawrence's father was a coal miner/worker and I guess this lifestyle made a huge imprint on Lawrence. The book was written in 1928, during that whole, weird post WWI time when so many young writers were debating the meaning of life and living and being human. Ugh, too much of these long, philosophical conversations between characters that were really Lawrence positing his own reflections. Again, super boring and unnecessary to the main story. Perhaps I'm being too generous with 4 stars, but I felt like the low GR rating of 3.4 was a little shabby given that this book is so well-known and well-read. And Lawrence, in his short life, really worked hard and wrote like crazy: poems, novellas, short stories, plays, essays, and novels. In both of the novels I've read I found myself continuing to say, ""there's something here, I'm just not sure what it is.""...more",Notes are private!,0,5,1,"Oct 19, 2023","Oct 30, 2023","Oct 30, 2023",,Paperback,view (with text),/book/show/414615.Lady_Chatterley_s_Lover
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Call Me Crazy: A Memoir,"Heche, Anne",0743424417,9780743424417,0743424417,251        pp,3.58,"1,119","Sep 01, 2001","Mar 04, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The memoir. Remember - this genre gets a different treatment. So, I'll start with the writing. Amateur hour. It reminded me of my own, unrefined, writThe memoir. Remember - this genre gets a different treatment. So, I'll start with the writing. Amateur hour. It reminded me of my own, unrefined, write-as-you're-speaking text. About 9th grade level. But remember...we're talking memoir here. People who write their memoirs can't write, unless they actually ARE a writer. So what do you expect? I expected basic, and got basic.Now content. It was a campy, Hollywood, movie-star tell-all. With lots of sexual abuse and name dropping. And if you like that kind of thing - this is your book! This was a recommendation, fast read - I read it just over this weekend. Heche drew me in at first, and I was captured by the tales of ""forgotten"" abuse, living with a closeted gay father and the tragic life this family of six. But then I got a little skeptical toward the end. Especially after reading some of Heche's bio on Wikipedia. I guess others in the family didn't agree with Heche. And even Heche admitted she really did fall off the deep-end in 2000. And now of course, we know of her recent, tragic car accident. Heche was only 53, and after reading her story, it makes me question more about the car accident. All in all, this is your typical memoir. You walk away with more questions than answers. And there are lots of tawdry details that may or may not be true. ...more",Notes are private!,3,4,1,"Oct 06, 2023","Oct 08, 2023","Oct 08, 2023",,Paperback,view (with text),/book/show/568399.Call_Me_Crazy
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gilead        (Gilead, #1)","Robinson, Marilynne",031242440X,9780312424404,031242440X,247        pp,3.85,"110,304","Oct 28, 2004","Jan 10, 2006",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pulitzer Prize - 2005. Good Lord I hated this book! And I'm so surprised because I LOVED the book Ms. Robinson wrote about 20 years prior to this callPulitzer Prize - 2005. Good Lord I hated this book! And I'm so surprised because I LOVED the book Ms. Robinson wrote about 20 years prior to this called Housekeeping. What the hell?Folks, I need stories, okay? Maybe I'm irritated because I've run into this for several books lately, but I want a plot. Sorry if that's asking too much. So I guess that's the main reason this didn't work for me.Also, my own problem here, but I'm not keen on the epistolary novel strategy. I always say I need my fiction to be real, and when it's delivered in letter form, it feels even faker than fiction. This was so contrived. As one of my GR friends said about this book, ""writing just to hear yourself write"". I don't know - there are so many people these days spouting off, pontificating, and instructing others how to live, I just couldn't handle it. Moments of Henry David Thoreau started coming back to me and pissing me off. I still have PTSD from Walden Pond. Marilyn Robinson is soon to be 80. She's from northern Idaho. I know my silly  here won't hurt her phenomenal success, as she's laughing all the way to the bank. And I think she's a great writer, as many people do. But this book? Bleah! ...more",Notes are private!,1,2,1,"Sep 29, 2023","Oct 05, 2023","Oct 05, 2023",,Paperback,view (with text),/book/show/68210.Gilead
