,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kristine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eddie Winston Is Looking for Love,"Cronin, Marianne*",0063383519,9780063383517,0063383519,304        pp,4.33,3,"Sep 10, 2024","Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/203680931-eddie-winston-is-looking-for-love
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Look Again,"Scottoline, Lisa*",1250906490,9781250906496,1250906490,416        pp,3.88,"46,830","Jan 01, 2009","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Mass Market Paperback,view,/book/show/65213340-look-again
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Homewreckers,"Andrews, Mary Kay*",1250341825,9781250341822,1250341825,512        pp,3.86,"43,031","May 03, 2022","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Mass Market Paperback,view,/book/show/195790871-the-homewreckers
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doppelganger: A Trip into the Mirror World,"Klein, Naomi",0374610320,9780374610326,0374610320,416        pp,4.26,"10,462","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/138505710-doppelganger
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Men,"Cohen, Julie Mae",1419772333,9781419772337,1419772333,320        pp,3.84,"1,602","May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/195660460-bad-men
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Hunt,"Cole, Audrey J.*",1737360799,9781737360797,1737360799,312        pp,4.60,10,unknown,"Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/206777455-the-last-hunt
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Will Ruin You,"Barclay, Linwood*",0063276313,9780063276314,0063276313,352        pp,4.21,28,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/198123559-i-will-ruin-you
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Goddesses of Kitchen Avenue,"O'Neal, Barbara*",1662521332,9781662521331,B0CRX421NH,363        pp,3.95,"2,123","Feb 03, 2004","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/205099823-the-goddesses-of-kitchen-avenue
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Framed: Astonishing True Stories of Wrongful Convictions,"Grisham, John*",0385550448,9780385550444,0385550448,352        pp,5.00,2,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/209786389-framed
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Boat to Tangier,"Barry, Kevin",1101911344,9781101911341,1101911344,272        pp,3.62,"18,897","Jun 20, 2019","Jul 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/53462705-night-boat-to-tangier
