,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,tonia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Onion in My Pocket: My Life with Vegetables,"Madison, Deborah",0525656014,9780525656012,0525656014,320        pp,3.81,517,"May 05, 2020","May 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/50912283-an-onion-in-my-pocket
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Landlines,Raynor Winn*,0241484561,9780241484562,0241484561,288        pp,4.35,"6,318","Sep 15, 2022","Sep 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(all books get 5 stars). There's some repetition and an occasional stumble in here, but Winn's a beautiful nature writer and this third installment in(all books get 5 stars). There's some repetition and an occasional stumble in here, but Winn's a beautiful nature writer and this third installment in the story of she and Moth beating the odds by walking a 1000 miles is really special. I find all her books inspiring....more",Notes are private!,0,0,1,not set,"Apr 05, 2024","Apr 05, 2024",,Hardcover,view (with text),/book/show/59831617-landlines
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Couple in 5B,"Unger, Lisa*",,,B0C798PQC5,unknown,3.68,"9,888","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Apr 2024,"Apr 01, 2024",,Audible Audio,view,/book/show/199281868-the-new-couple-in-5b
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,374","Nov 05, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books get 5 stars) Keegan's stories are sharply cut jewels. The compassion in this one shines.(all books get 5 stars) Keegan's stories are sharply cut jewels. The compassion in this one shines....more,Notes are private!,0,1,1,not set,"Mar 28, 2024","Mar 28, 2024",,Hardcover,view (with text),/book/show/58662236-small-things-like-these
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunter        (Cal Hooper #2),"French, Tana*",0593493435,9780593493434,0593493435,480        pp,4.22,"10,604","Mar 05, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(All books get 5 stars). It’s nice to return to Cal Hooper and Trey Reddy. It’s a bit of a slow start, but the exploration of small town Irish culture(All books get 5 stars). It’s nice to return to Cal Hooper and Trey Reddy. It’s a bit of a slow start, but the exploration of small town Irish culture is riveting....more",Notes are private!,0,0,1,not set,"Mar 27, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/174156145-the-hunter
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moon of the Crusted Snow        (Moon, #1)","Rice, Waubgeshig*",1770414002,9781770414006,1770414002,213        pp,3.86,"26,692","Oct 02, 2018","Oct 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/39082248-moon-of-the-crusted-snow
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night of the Grizzlies,"Olsen, Jack",0943972485,9780943972480,0943972485,221        pp,4.19,"2,214",1969,"Jan 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/1357414.Night_of_the_Grizzlies
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tiger: A True Story of Vengeance and Survival,"Vaillant, John",0307268934,9780307268938,0307268934,329        pp,4.07,"15,637","Aug 24, 2010","Aug 24, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/7624594-the-tiger
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Braided Creek: A Conversation in Poetry: Expanded Anniversary Edition,"Kooser, Ted",1619322889,9781619322882,B0CDQPDVSK,108        pp,4.73,15,unknown,"Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/195712114-braided-creek
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Culture of Conspiracy: Apocalyptic Visions in Contemporary America (Comparative Studies in Religion and Society) 2nd edition by Barkun, Michæl (2013) Paperback",", unknown",,,B01182CYXO,0        pp,4.50,2,unknown,unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(All books get 5 stars). Fascinating book. It was written in the early 2000s, but all the conspiracies we see today are just variations of the old one(All books get 5 stars). Fascinating book. It was written in the early 2000s, but all the conspiracies we see today are just variations of the old ones, so the book remains timely. If you are interested in why evangelicals are so ripe for conspiracy thinking, or why there’s so much interest in UFOs again, or why politics is so impossible to entangle from conspiracy suspicions, this is a helpful overview. Barkun explains how millennialism, stigmatized knowledge, suspicion of authority and paranoid thinking get braided together and regurgitated into ever more complicated forms with the help of the Internet. ...more",Notes are private!,0,0,1,"Mar 12, 2024","Mar 31, 2024","Mar 12, 2024",,Paperback,view (with text),/book/show/125585942-a-culture-of-conspiracy
