,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kerilynne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Here One Moment,"Moriarty, Liane*",0593798600,9780593798607,0593798600,480        pp,4.00,4,unknown,"Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/208516656-here-one-moment
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eight Hundred Grapes,"Dave, Laura*",1476789282,9781476789286,1476789282,288        pp,3.64,"54,429","Jun 02, 2015","May 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/25814310-eight-hundred-grapes
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blacktop Wasteland,"Cosby, S.A.*",,,,285        pp,4.08,"39,806","Jul 14, 2020","Jul 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/51182571-blacktop-wasteland
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Appeal        (The Appeal, #1)","Hallett, Janice",1788165292,9781788165297,1788165292,432        pp,3.86,"57,024","Jan 14, 2021","Jan 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/54621096-the-appeal
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Feeding Ghosts: A Graphic Memoir,"Hulls, Tessa*",0374601658,9780374601652,0374601658,400        pp,4.46,109,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/127282542-feeding-ghosts
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nature of Fragile Things,"Meissner, Susan*",0451492188,9780451492180,0451492188,367        pp,4.26,"63,497","Feb 02, 2021","Feb 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/53398512-the-nature-of-fragile-things
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Somewhere Beyond the Sea        (The House in the Cerulean Sea, #2)","Klune, T.J.*",125088120X,9781250881205,125088120X,416        pp,4.27,436,"Sep 10, 2024","Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/199347538-somewhere-beyond-the-sea
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After I Do,"Reid, Taylor Jenkins*",,,,334        pp,3.95,"203,093","Jul 01, 2014","Jul 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/18775359-after-i-do
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One True Loves,"Reid, Taylor Jenkins*",,,B0176M3XWQ,352        pp,4.05,"490,543","Jun 07, 2016","Jun 07, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Kindle Edition,view,/book/show/27189194-one-true-loves
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Butterfly Cage,"Zemach, Rachel*",,,B0C3KVH3QX,435        pp,4.92,53,unknown,"Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Kindle Edition,view,/book/show/141306468-the-butterfly-cage
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Most Fun We Ever Had,"Lombardo, Claire*",,,,640        pp,3.95,"79,042","Jun 25, 2019","Apr 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/51540478-the-most-fun-we-ever-had
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Darling Girl,"McMahon, Jennifer*",166801906X,9781668019061,166801906X,320        pp,3.76,"12,650","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/101145269-my-darling-girl
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Resilient Silence: A Deaf-Experience Suspense Novel,"Quint, Peter M.*",1646450957,9781646450954,1646450957,298        pp,4.32,19,unknown,"Feb 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/56391837-resilient-silence
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Same Bright Stars,"Joella, Ethan*",1668024608,9781668024607,1668024608,304        pp,4.56,111,"Jul 02, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/199797895-the-same-bright-stars
