,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Canadian Jen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cemetery of Untold Stories,"Alvarez, Julia*",1643753843,9781643753843,1643753843,256        pp,3.85,412,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/195820829-the-cemetery-of-untold-stories
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If Something Happens to Me,"Finlay, Alex*",1250863791,9781250863799,1250863791,336        pp,4.25,833,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/195790670-if-something-happens-to-me
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Happened to Nina?,"McTiernan, Dervla*",,,B0C6Y2C7RD,328        pp,4.22,"3,655","Mar 05, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 27, 2024",,Kindle Edition,view,/book/show/171793386-what-happened-to-nina
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jaded,"Lee, Ela*",1668010992,9781668010990,1668010992,384        pp,4.29,915,"Feb 08, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/176442986-jaded
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whale Fall,"O'Connor, Elizabeth",0593700910,9780593700914,0593700910,224        pp,4.12,200,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/195888522-whale-fall
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,036","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/173754979-james
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Divide,"Henríquez, Cristina*",0063291320,9780063291324,0063291320,321        pp,3.76,"3,420","Mar 05, 2024","Mar 05, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love stories that take me to foreign countries where I’m able to become immersed in different cultures.Panama is one such country.The history of theI love stories that take me to foreign countries where I’m able to become immersed in different cultures.Panama is one such country.The history of the canal is fascinating. How America stormed in and offered Columbia $$ to give Panama its independence. It wasn’t a selfless gesture, however, America wanted a canal for their own economic needs.This is a story of those who came to help build, resist the build and those to reclaim what was rightfully theirs. There are those who travelled from across the country and from across the sea.As much as I loved the intent of this story and the characters, it fell short for me. Henriquez created such marvellous characters yet, she failed on developing any of them through. We have a young Ada who travelled from Barbados to get a job to pay for her sister’s surgery; Omar who was looking more from his life, takes a job working in the canal that mutes his father speechless as he is shamed by it; Valentina ready to lead the town to protest the dam required for the canal; and so many other fascinating characters.The story did merge beautifully yet I was still left wanting: More of some characters, less of others; more of the impacts of the canal.Overall a solid 4⭐️...more",Notes are private!,55,78,1,"Apr 02, 2024","Apr 08, 2024","Mar 14, 2024",,Hardcover,view (with text),/book/show/181110028-the-great-divide
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Memory of Lavender and Sage,"Runyan, Aimie K.*",1400237254,9781400237258,1400237254,368        pp,4.26,492,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/180352013-the-memory-of-lavender-and-sage
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forgotten on Sunday,"Perrin, Valérie",1787704785,9781787704787,B0BS24S6J8,256        pp,4.24,"11,309","Apr 29, 2015","Jul 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/128747019-forgotten-on-sunday
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Underground Library,"Ryan, Jennifer*",0593500385,9780593500385,0593500385,368        pp,4.22,"1,481","Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/177185877-the-underground-library
