,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Edan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Time's Mouth,"Lepucki, Edan*",164009573X,9781640095731,B0BT92RGKQ,400        pp,3.86,"1,333","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I wrote this book!,Notes are private!,8,190,0,not set,not set,"Dec 20, 2022",,Kindle Edition,view (with text),/book/show/58956757-time-s-mouth
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mothers Before: Stories and Portraits of Our Mothers as We Never Saw Them,"Lepucki, Edan*",1419742949,9781419742941,1419742949,176        pp,4.34,98,"Apr 07, 2020","Apr 07, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Magnificent!,Notes are private!,0,18,1,not set,not set,"Dec 14, 2019",,Hardcover,view (with text),/book/show/50158601-mothers-before
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witch Elm,"French, Tana*",0735224633,9780735224636,,528        pp,3.57,"99,160","Oct 09, 2018","Oct 09, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 04, 2018",,ebook,view,/book/show/39720991-the-witch-elm
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stephen Florida,"Habash, Gabe",1566894646,9781566894647,1566894646,287        pp,3.82,"2,818","Jun 13, 2017","Jun 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 11, 2016",,Hardcover,view,/book/show/31945100-stephen-florida
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Losing It,"Rathbone, Emma",1594634777,9781594634772,1594634777,272        pp,2.50,"3,213","Jul 19, 2016","Jul 19, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I ed this one for the SF Chronicle and really enjoyed it. You can read my  here:http://www.sfgate.com/books/article/L...I've mostly stoppeI ed this one for the SF Chronicle and really enjoyed it. You can read my  here:http://www.sfgate.com/books/article/L...I've mostly stopped rating books but I saw that this one has a low average rating and I felt I needed to correct those stats! Some readers find the narrator unlikable. Sure, she does some thoughtless, selfish stuff, but she is a nuanced and believable character. And she's really funny. I, for one, adored her!...more",Notes are private!,0,21,1,not set,not set,"Aug 21, 2016",,Hardcover,view (with text),/book/show/27774757-losing-it
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cruel Beautiful World,"Leavitt, Caroline*",1616203633,9781616203634,1616203633,357        pp,3.82,"3,818","Sep 19, 2016","Oct 04, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 18, 2016",,Hardcover,view,/book/show/28110866-cruel-beautiful-world
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woman No. 17,"Lepucki, Edan*",1101904259,9781101904251,1101904259,307        pp,3.32,"7,443","May 09, 2017","May 09, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Thoroughly brilliant! Sui generis!,Notes are private!,0,45,1,not set,not set,"Aug 18, 2016",,Hardcover,view (with text),/book/show/31626660-woman-no-17
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Marlena,"Buntin, Julie*",1627797645,9781627797641,1627797645,274        pp,3.69,"14,690","Apr 04, 2017","Apr 04, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 19, 2016",,Hardcover,view,/book/show/30199414-marlena
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leaving Lucy Pear,"Solomon, Anna*",1594632650,9781594632655,1594632650,336        pp,3.39,"2,744","Jul 26, 2016","Jul 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was totally swept up in this novel about prohibition-era New England. The first scene is a real nail-biter, and I was impressed by how quickly movedI was totally swept up in this novel about prohibition-era New England. The first scene is a real nail-biter, and I was impressed by how quickly moved I was by the characters and their plight. I LOVED the sweeping narrative style and the way Solomon so deftly moved from one character to another. There's a lot of good thematic stuff here about motherhood, mental illness, poverty--and it's also a compelling story with a juicy plot. (Side note: the disturbing image of a little girl getting secretly pinched by her (not actual) father won't leave me anytime soon.)...more",Notes are private!,0,7,1,not set,not set,"Jun 11, 2016",,Hardcover,view (with text),/book/show/27774756-leaving-lucy-pear
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rich and Pretty,"Alam, Rumaan*",0062429930,9780062429933,0062429930,304        pp,2.77,"10,785","Jun 07, 2016","Jun 07, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I blurbed this book!“Engrossing, funny, and wise, Rich and Pretty by Rumaan Alam is the story of two young women growing up and growing out of their pI blurbed this book!“Engrossing, funny, and wise, Rich and Pretty by Rumaan Alam is the story of two young women growing up and growing out of their past selves, even as that past still, profoundly, matters. Its cleverness is surpassed only by its compassion. A marvelous debut.” (Edan Lepucki, author of California)Read my interview with Rumaan here:http://www.themillions.com/2016/06/ne......more",Notes are private!,0,13,1,not set,not set,"Jun 11, 2016",,Hardcover,view (with text),/book/show/26890725-rich-and-pretty
