,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Miss's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Century of War: Anglo-American Oil Politics and the New World Order,"Engdahl, F. William",074532309X,9780745323091,074532309X,312        pp,4.18,429,1992,"Oct 06, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Paperback,view,/book/show/825402.A_Century_of_War
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rat i mir,"Tolstoy, Leo",,,,unknown,4.16,"328,087",1868,1972,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,,view,/book/show/18664185-rat-i-mir
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Winners        (Beartown, #3)","Backman, Fredrik*",,,B09R2J1DXF,671        pp,4.46,"110,904",2022,"Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Kindle Edition,view,/book/show/60318890-the-winners
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",1982121602,9781982121600,1982121602,336        pp,4.18,"633,802","Apr 25, 2019","Sep 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,not set,"Jan 01, 2024",,Paperback,view,/book/show/53799686-anxious-people
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Grandmother Asked Me to Tell You She's Sorry,"Backman, Fredrik*",1501115065,9781501115066,1501115065,372        pp,4.08,"244,485","Sep 04, 2013","Jun 16, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/23604559-my-grandmother-asked-me-to-tell-you-she-s-sorry
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Okus - Moj život kroz hranu,"Tucci, Stanley",,9789538357145,,356        pp,4.21,"75,255","Oct 05, 2021",2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Paperback,view,/book/show/201271747-okus---moj-ivot-kroz-hranu
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mountains of Mourning        (Vorkosigan Saga, #5.1)","Bujold, Lois McMaster*",,,B004O4C13W,83        pp,4.28,"8,391",May 1989,Mar 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 29, 2023",not set,"Dec 29, 2023",,Kindle Edition,view,/book/show/29739795-the-mountains-of-mourning
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brave New World / Brave New World Revisited,"Huxley, Aldous",0060776099,9780060776091,0060776099,340        pp,4.16,"165,136",1958,"Jul 05, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 28, 2023",,Paperback,view,/book/show/5479.Brave_New_World_Brave_New_World_Revisited
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Adventures of Huckleberry Finn,"Twain, Mark",0142437174,9780142437179,0142437174,327        pp,3.83,"1,265,510","Feb 18, 1884","Dec 31, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 28, 2023",,Paperback,view,/book/show/2956.The_Adventures_of_Huckleberry_Finn
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lord of the Rings,"Tolkien, J.R.R.",,,,"1,216        pp",4.53,"676,149",1954,"Oct 12, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 28, 2023",,Paperback,view,/book/show/33.The_Lord_of_the_Rings
