,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Liza's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,צל של מלאך,"Geffen, Adiva*",9655178013,9789655178012,9655178013,285        pp,3.73,15,"Jan 01, 2010","Jan 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"הספר חמוד, חביב לפרקים, אבל לא יכולה לומר שאהבתי את פתרון החידון הבלשי שהיה בו במיוחד. דקלה, דוקי, עובדת במשרד חקירות פרטי אצל סימונה, סמי. היא פוגשת הספר חמוד, חביב לפרקים, אבל לא יכולה לומר שאהבתי את פתרון החידון הבלשי שהיה בו במיוחד. דקלה, דוקי, עובדת במשרד חקירות פרטי אצל סימונה, סמי. היא פוגשת במקרה את אהוב ילדותה ונעוריה יעוד (ככה קוראים לו, נשבעת) שכולם קוראים לו אנג׳ל עכשיו. אבל בעצם הוא לא אמור להיות בארץ, וכולם איבדו קשר איתו, כי כנראה ירד בכוונה למחתרת. מה קרה לייעוד? ולמה אימו שכל כך מתגעגעת אליו כל כך חוששת מאביו. ולמה בריונים מקיפים את כולם.הדבר העיקרי שהפריע לי היה שבהמון מקומות הסופרת בוחרת בלשון לגלוג מוזרה ומיותרת. אני מניחה שהמטרה היא להיות מצחיקה, ויש סיכוי שזה אפילו עובד לה לרוב קהל הקוראים. אני לעומת זאת לא התרשמתי במיוחד מהבחירה.כמו כן, לא התלהבתי מהפתרון שנגלה בסוף. לא כזה שכיף לנסות להבין מה קרה. קל מדי.סביר, לא משהו לזכור לאורך זמן. 3 כוכבים כמעט.Merged :הספר חמוד, חביב לפרקים, אבל לא יכולה לומר שאהבתי את פתרון החידון הבלשי שהיה בו במיוחד. דקלה, דוקי, עובדת במשרד חקירות פרטי אצל סימונה, סמי. היא פוגשת במקרה את אהוב ילדותה ונעוריה יעוד (ככה קוראים לו, נשבעת) שכולם קוראים לו אנג׳ל עכשיו. אבל בעצם הוא לא אמור להיות בארץ, וכולם איבדו קשר איתו, כי כנראה ירד בכוונה למחתרת. מה קרה לייעוד? ולמה אימו שכל כך מתגעגעת אליו כל כך חוששת מאביו. ולמה בריונים מקיפים את כולם.הדבר העיקרי שהפריע לי היה שבהמון מקומות הסופרת בוחרת בלשון לגלוג מוזרה ומיותרת. אני מניחה שהמטרה היא להיות מצחיקה, ויש סיכוי שזה אפילו עובד לה לרוב קהל הקוראים. אני לעומת זאת לא התרשמתי במיוחד מהבחירה.כמו כן, לא התלהבתי מהפתרון שנגלה בסוף. לא כזה שכיף לנסות להבין מה קרה. קל מדי.סביר, לא משהו לזכור לאורך זמן. 3 כוכבים כמעט....more",Notes are private!,0,0,2,Nov 2019not set,Nov 2019not set,"Jul 21, 2023",,Paperback,view (with text),/book/show/107716270
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truly Madly Guilty,"Moriarty, Liane*",,,B015MR0UJG,517        pp,3.59,"294,064","Jul 26, 2016","Jul 26, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love Liane Moriarty, and her writing style. She is a genius when it comes to people, expressing their inner feelings and thoughts, their dilemmas anI love Liane Moriarty, and her writing style. She is a genius when it comes to people, expressing their inner feelings and thoughts, their dilemmas and morality. And maybe especially their complex relationships and friendships. She is true to the Gore Vidal citation: ""Every time a friend succeeds, I die a little"".In this book, like her other books, there are three couples, their lives intertwined around an incident. She used her common recipe, alas, she did not add enough of her spices with the recipe this time. That made the book much weaker than the unforgettable Big Little Lies or the wonderful Big Little Lies (even though much much better than Three Wishes).The book drags for the most part (over 200 hundred pages before you found out ""what the hack happened in this barbecue"", the mystery is not as awesome and compelling. There is still the stringing wonderful unique sense of humor. There are still the great observations about human behavior, envy, love and the conflict between them. But it is not enough, not enough to make it a good book.Since this book also includes the topic of hoarding, I am proud to say that I did say in the past I said that The House We Grew Up In sounds like a Liane Moriarty (see my ). Whereas, Lisa Jewell did a much better work describing the hoarding, her book altogether is not great. (view spoiler)[because of too much incest, way too much. (hide spoiler)] Still, Liane Moriarty is a much more talented writer and story teller.With all the sadness, I give it 3 stars and feel ultra generous, and it is mostly because I do love Moriarty. I guess I would give it less without her high credit history. If you don't know her, read Big Little Lies. If you become addicted to her (easily done), come back to this one much later....more",Notes are private!,0,1,1,not set,not set,"Mar 20, 2023",,Kindle Edition,view (with text),/book/show/27831371-truly-madly-guilty
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,הכנה נחמה,"Shalev, Meir",9651306793,9789651306792,9651306793,24        pp,4.56,54,"Jan 01, 1990",1990,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 14, 2023",,Hardcover,view,/book/show/45893740
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"הרפתקאות דוד אריה בג'ונגל הסיבירי        (הרפתקאות דוד אריה, #2)","Levi, Yannets",9655174832,9789655174830,9655174832,85        pp,4.60,42,"Jan 01, 2009",2009,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,not setnot set,"Feb 01, 2023",,Hardcover,view,/book/show/46123747
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"הרפתקאות דוד אריה ביערות הסהרה        (הרפתקאות דוד אריה, #5)","Levi, Yannets",9655523012,9789655523010,9655523012,87        pp,4.39,31,"Jan 01, 2012",2012,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,not setnot set,"Feb 01, 2023",,Hardcover,view,/book/show/46123748
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"הרפתקאות דוד אריה במדבר השווייצרי        (הרפתקאות דוד אריה, #3)","Levi, Yannets",9655177300,9789655177305,9655177300,79        pp,4.62,37,"Jan 01, 2010",2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 28, 2023",,Hardcover,view,/book/show/40692815
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stolen Innocence,"Wall, Elissa",0061628018,9780061628016,0061628018,438        pp,3.94,"30,096","May 13, 2008","May 13, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2022",,Hardcover,view,/book/show/2659997-stolen-innocence
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'd Give Anything,"Santos, Marisa de los*",0062844512,9780062844514,,272        pp,3.77,"5,392","May 12, 2020","May 12, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is quite the young adult story. It's a story about Zinny, now a woman with a dream life, and has a complicated backstory. Zinny is her name from This is quite the young adult story. It's a story about Zinny, now a woman with a dream life, and has a complicated backstory. Zinny is her name from her youth and the story is intertwining between present and past. The story starts when one morning a man tells her that her husband had just been fired. It is weird because he's the most dependable and bidding man. But we find out that it seems that her husband was obsessed over a teenager that interned in his company and got fired. This is a big driver figuring out the truth.Ginny is a married women a mother to Avery who is 16. She's married to a boring guy named Harris and it's completely changed from the time that she herself was young woman. The story tells also her her past story with her group of friends which him she's not talking to anymore and her brother who's also detached from her for the most part.The reader learns what happened to the friends and their relationship and why Ginny is so overprotective of her daughter and even why she married this boring men which she never loved.There are too many coincidences in this story, and especially things that the investigation did not find in the past are found very easily by the group of friends. There is too much of a good ending.It is written pretty well but with all of those coincidences it can get more than three stars....more",Notes are private!,0,7,1,"Jul 20, 2020","Aug 06, 2020","Jul 20, 2020",,ebook,view (with text),/book/show/43801245-i-d-give-anything
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Books by Bill Bryson: A Short History of Nearly Everything, the Life and Times of the Thunderbolt Kid, a Walk in the Woods","Bryson, Bill",1156943132,9781156943137,1156943132,42        pp,4.32,201,"May 26, 2010","May 26, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 19, 2020",,Paperback,view,/book/show/8421291-books-by-bill-bryson
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Longings,"Kidd, Sue Monk*",052542976X,9780525429760,052542976X,416        pp,4.24,"123,656","Apr 21, 2020","Apr 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 11, 2020",not set,"Apr 23, 2020",,Hardcover,view,/book/show/52698452-the-book-of-longings
