,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,switterbug (Betsey)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Coming Bad Days,"Bernstein, Sarah",1911547909,9781911547907,1911547909,265        pp,3.48,315,"Apr 22, 2021","Apr 22, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Paperback,view,/book/show/56786205-the-coming-bad-days
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Gulliver,"Martin, Valerie*",0385549954,9780385549950,0385549954,304        pp,3.56,158,"Feb 20, 2024","Feb 20, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2.5I accuse the artistic design of the cover for my purchase—it thoroughly arrested me. It doesn't square with it being so genre-like. Valerie Martin 2.5I accuse the artistic design of the cover for my purchase—it thoroughly arrested me. It doesn't square with it being so genre-like. Valerie Martin is a seasoned author, but if this is the direction her writing has taken, I'm not impressed. The 1954 brothel setting was unconvincing; it was more like a salon or fancy boardinghouse. All the grubby facts of the trade were glossed over or tidied up. The narrator and madam, Lila Gulliver, was stylish, polished, dignified, and vulnerable in all the winsome ways of a manor matriarch. The main story follows the beautiful, blind prostitute, Carità. Her appeal has a central-casting quality with PG ratings. Too much is scrubbed. Caritá was practically noble, with her aristocratic grace and patrician demeanor. Blindness barely impaired her; she could confidently do most tasks better than the unimpaired and sighted.Lila Gulliver’s ladies are fetching and charming, intelligent and assured. They banter about economic theory and political philosophy (one of the prostitutes is a college student). Caritá, a facile, fast learner, is rarely caught off-guard and uses words such as “piratical.” Carità meets Ian Drohan, a college student and scion of an obscenely wealthy family. Chemistry and pheromones ensue, and the pair become star-crossed lovers. Shit happens, and the scion is now a fugitive, yet he’s fixated with rescuing Carità from the secure and family-like brothel, even as dangerous mobsters are after him. If the author meant it as an irony, it was too on the nose. The plot plodded with a pace and style I’d associate with a debut novelist, not a veteran author. Martin justified, telegraphed, and explained each scene, rather than trusting the reader to imbue the facts with meaning. Moreover, Lila embarks on a rapid romance that was stuffed with coincidence, flimsy and far-fetched, with nothing new to add to the catch-all Cinderella story. The air is soft-focus and aromatic, performative and predictable, and too enlightened for 1954. I appreciate the author’s imagination--creating a fictitious island in an unidentified country or region where prostitution is legal. But her story was rather feigned and incredulous, failing to authentically illustrate the working classes of the time period. What is missing are layered, unlikable characters. Villains were too-obvious caricatures or straws, with overtones of YA crossover. It could have been more inspired if Martin had taken some risks or mined some new territory, or at least gave a sheen to tired tropes. It had potential in the opening pages but soon enough fell into cliché.The oldest profession in this tale has only positive direct effect on an individual or group engaged in it? Just seems dishonest, sit-com-y without the laughs. Too pat, when the working girl with previously zero resources now has more resources than the cultivated and wealthy patron. I had different expectations, less Disney and more Indie. It was hokey but entertaining--warm-hearted and sweet, pure escapism, an idealistic tale of indomitable valor, the women of little means unimpeded by their oppression....more",Notes are private!,4,16,1,"Apr 06, 2024","Apr 08, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/157981733-mrs-gulliver
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.60,20,unknown,"Aug 13, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Strout universe is tight-knit yet vast in emotional wealth. Elizabeth S continues to mesmerize us with the stories of ordinary people--told in a dThe Strout universe is tight-knit yet vast in emotional wealth. Elizabeth S continues to mesmerize us with the stories of ordinary people--told in a deceptively straightforward voice, rich with irony and insights. In Tell Me Everything, two of Strout’s most delightful and ongoing protagonists---Olive Kitteridge and Lucy Barton---finally get up close and personal in Crosby, Maine. (Some folks blame Lucy for the skyrocketing price of housing---she is a successful writer that moved here during the pandemic). You won’t be let down with their meet-and-greet, either. There’s invariably a buffet of body language going on in Strout-world. Olive invites Lucy to come hear a story, true stories that need telling about unrecorded lives.  By now, Olive is ninety years old and Lucy is in her sixties. Lucy visits Olive in a retirement home where Olive now resides; I remember Lucy’s zippered boots and the way she blushes. Olive asks her about Bob, and Lucy tends to get cagey in response. And then Olive shares a story about family. In later meet-ups, there’s typically a segue, sort of like, “How’s Bob?”—legnthy pause, a smile, and then onto the astonishing stories of people you will feel like you know.I thought it was going to be a Lucy/Olive narrative, but it shifts. We still get Strout-filled awkward moments and desperately minor conflicts between those in the ensemble cast. But this is a Bob Burgess book most of all. Lucy experiences some personal Bob drama, but, alas, he is pulled in many directions at once.Bob Burgess is a semi-retired attorney who has also been in previous Strout novels, especially, of course, The Burgess Boys. It’s fine if you have never met him before, because ES will round him out and pull you into the Burgess weeds, not the least of which is a tragedy he shares with his brother. Married to Margaret, a Unitarian minister, he’s a little in love with Lucy. We know he doesn’t seem the cheating kind. Does the heart want what the heart wants? Bob doesn’t think he deserves to be the hero in his life—or even the main character. In Tell Me Everything, he unwittingly, humbly, generously, even reluctantly, gets to be both. Newbies to Strout can start with any of her sparkling books. If you read out of order, you’ll see some spoilers, but it doesn’t hurt too much. That’s not a huge downside. You’ll be immersed in every novel in any order. An elegant and gently spicy writer, she creates characters who breathe on the page. They can be crabby, too. Strout pens crabby, exposed characters better than anyone!Most of the drama in TME is quiet, restless, and inward. Small things lead to big consequences. A haircut causes a surprising riptide of emotions, an unforeseen disturbance that illustrates Strout’s genius in upending routine events. Angst—both existential and specific—haunts her sympathetic cast; unresolved issues can weave and wind and bend their mettle into melancholy. Bob is a sin-eater, says Lucy. He is drawn to people who are stuck in their transgressions. Tall and schlumpy-shaped, Bob has room in his body and soul to absorb the sins of others. He takes on a monkish criminal defendant accused of killing his mother; his ex-wife wrestles with alcohol, and his brother is a hot mess of grief. Bob is needed all over the place, but he struggles to connect with his wife.Whether you are new or familiar to the Strout-verse, you’ll be hooked from the opening pages. I thank Random House for sending me an ARC to . The pleasure was all mine....more",Notes are private!,29,56,1,"Mar 29, 2024","Apr 06, 2024","Mar 29, 2024",,Hardcover,view (with text),/book/show/204811915-tell-me-everything
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Winter I Get Up at Night: A Novel,"Urquhart, Jane",0771098316,9780771098314,B0CF4NKWC4,0        pp,4.50,2,unknown,"Aug 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Kindle Edition,view,/book/show/195960487-in-winter-i-get-up-at-night
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Telephone,"Everett, Percival",1644450224,9781644450222,1644450224,216        pp,3.97,"3,468",unknown,"May 05, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This story of grief and hopeful redemption was a 2020 Pulitzer Prize finalist. Well-deserved!Everett is an angular writer, coming in sharp from all siThis story of grief and hopeful redemption was a 2020 Pulitzer Prize finalist. Well-deserved!Everett is an angular writer, coming in sharp from all sides, but also circumspect, by not revealing all the underlying significance. Zack Wells, tenured professor and geologist/paleobiologist, is happiest playing chess with his bright, beautiful 12-year-old daughter, Sarah. Similarly, he is content contemplating an inaccessible cave in the Grand Canyon called “Naught’s Cave.” Hence, the implication of nothingness in his life. It's the old beat-up paradox that nothing is everything.Zach and his wife, Meg, are about to find out some bad news that will cause prolonged torment and a forlorn future. Dr Wells cannot prevent the inevitable tragedy about to befall his family, so he turns to a cryptic message found in a jacket he bought online. Someone is asking for help. Can Zach save a stranger in trouble?“…I had this palpable swath of melancholy that ran through me that I simply could not shake.” That’s a poignant thread that runs through this multilayered story, as is the potential for Zach’s melancholia to transcend---and, maybe not save him, but at least give him a purpose amid the worst horror of his life. (I know that the cover blurb and most s give away the forthcoming tragedy, but I urge readers to discover that for themselves.) While Zach's heart is shattering to pieces, he has an opportunity to be a salvation for people he has only learned about from a distance. If you've read Bolaño's 2666,  you'll apprehend the despairing situation in Ciudad Juárez.Telephone combines family drama, comedy, tragedy, mystery, thriller, and adventure. Everett doesn't exactly answers all our questions; rather, he largely leaves interpretation up to the reader. There are three versions/variations of this book. THREE! Zach has three versions of his life in front of him. And if we got three readers together who each read a different rendition, oh, what a curious event that would be!If you want to know which version you have, you can look below the ISBN number to see if it is A, B, or C. Or look at the gorgeous cover at the minor variations of the illustrated compasses (but you would need to see the three different covers online). There are also three dedications. A is ""For Henry and Miles."" B is ""For Miles and Henry."" C is just ""my sons."" (Mine is the B version.)The eponymous title is from the well-known game. You whisper a message around a circle of people and then have a laugh over how much the final message was distorted from the original. Why would Everett do this?I'll close on some thoughtful words by the author himself: “I’m interested not in the authority of the artist, but the authority of the reader.”...more",Notes are private!,10,46,1,"Mar 25, 2024","Mar 28, 2024","Mar 27, 2024",,Paperback,view (with text),/book/show/51541232-telephone
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,242","Mar 19, 2024","Mar 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Percival Everett reimagines—no, inverts-- the classic saga of The Adventures of Huckleberry Finn  that resides in every American’s consciousness. HuckPercival Everett reimagines—no, inverts-- the classic saga of The Adventures of Huckleberry Finn  that resides in every American’s consciousness. Huck Finn and enslaved Jim’s adventures have been in print for 140 years. If you didn’t read it in American schools, you’ve likely still been affected by its content. Everett reappropriates that story, turns it upside down and inside out, and leans formidably forward by making this a story and POV of Jim, with Huck at his side. I am in awe and in thorough admiration of Percival Everett’s skills and fierce talent. My personal favorites, The Trees  (shortlisted for Booker in 2022), and Telephone  (a finalist for the Pulitzer in 2021) combine laconic protagonists, subversive wit, and tragic events. In James, he has made Twain’s classic his own historical fiction, and I applaud it as the contemporary bookend of Clemen's saga. He improves upon it by giving Jim agency. I predict that they will be teaching both books side by side in the coming years.“White folks expect us to sound a certain way and it can only help if we don’t disappoint them…The only ones who suffer when they are made to feel inferior is us.” This is Jim, teaching his daughter and other enslaved children a lesson in coded speech. Although they speak eloquently amongst themselves, they communicate submissively to white people in a ""slave dialect,"" which enhances their survival in a world where they are nothing but chattel. It also illuminates their resourceful intelligence as they hide (linguistically) in broad daylight from their ignorant “massas.”Additionally, the enslaved people pretend that God and Jesus are primary in their lives, when in actuality, as Jim states, regarding white folks, “religion is just a controlling tool they employ and adhere to when convenient.” How cynical it was that early American Christian identity was predicated on a proslavery theology. As in Twain’s original, Jim and Huck run off together from Hannibal, Missouri and ride the Mississippi River, beginning in a raft. The main plotline of the original text is captured, but comically and dramatically turned on its head. Jim leads a double life—one that he owns, and one that meets white people’s expectations. In fact, there are those that are more threatened by a Black man with eloquence than they are by a Black man with a pistol. Intelligence is Jim’s stunning subterfuge. He has a rich interior life, and in dreams, he debates slavery and philosophy with the likes of Voltaire, Rousseau, and John Locke. As an autodidact who enriched himself in Judge Thatcher’s library, Jim spends stealth nights in there poring over the judge’s books. His quick wit, thoughtful compassion, and deep humanity also become his ammunition in a hostile world. As the plot progresses, Jim and Huck grow closer, and more revelations are gradually disclosed. The major twist is foreshadowed early on, so it doesn’t come out of nowhere, and it changes the complexion of the story. As others have already noted, this is the novel that Everett was born to write. In his hands, his heart....more",Notes are private!,42,100,1,"Mar 22, 2024","Mar 25, 2024","Mar 22, 2024",,Hardcover,view (with text),/book/show/173754979-james
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Adversary,"Crummey, Michael*",0385550324,9780385550321,0385550324,336        pp,3.91,"1,122","Sep 26, 2023","Feb 06, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Early 19th century, Newfoundland, a fishing community that is lorded over by two reigning and divided factions. A brother, Abe Strapp, and his sister,Early 19th century, Newfoundland, a fishing community that is lorded over by two reigning and divided factions. A brother, Abe Strapp, and his sister, known as the Widow, have a sordid, seething rivalry. The Widow is measured, calculating, secretive; Abe is savage and obscene, a walking Id. Cutthroat siblings with the same ulterior motive---power. How it plays out on this sea port is a combination of strategy, luck, and the whims of weather and plague. Atmospheric AF, ribald, ghastly, wildly entertaining. I never had so much fun being horrified and absorbed at equal measure....more",Notes are private!,10,34,1,"Mar 15, 2024","Mar 18, 2024","Mar 15, 2024",,Hardcover,view (with text),/book/show/150247447-the-adversary
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart in Winter,"Barry, Kevin",0385550596,9780385550598,0385550596,256        pp,4.50,28,"Jun 06, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/199795387-the-heart-in-winter
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middletide,"Crouch, Sarah*",166803509X,9781668035092,166803509X,288        pp,4.18,121,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I want to thank Atria for sending an ARC of this book to me. Unfortunately, I’m not the right er—or even the best reader---for this novel. I wasI want to thank Atria for sending an ARC of this book to me. Unfortunately, I’m not the right er—or even the best reader---for this novel. I was thrown off at first when I discovered that the author made up an Indigenous group, a fictional Indian tribe in her Pacific Northwest setting. I wanted to see how it would play out---if it would work for me or not. Nakita is the love interest for main character and failed author, Elijah. Nakita lives on a reservation, and her father is the Christian pastor of the tribe in this tale. Wait, but what?! They practice Christianity? Her dad is the leader, and a pastor? And Nakita lives in a big, rambling, multi-story house? I had just finished reading two Tommy Orange books in a row, and was eager to read more about Native identity and customs. But instead, the message seemed to be something else entirely regarding Crouch’s imagined Indigenous tribe. I will let the reader interpret in their own way, but I just didn’t connect there.As far as the murder mystery, it has a twist, but I could see the author behind the gauzy curtain. The story is tied up in a sweet bow. For fans of Where The Crawdads Sing, this may be a fit. A lot of nature and eating sustainably is involved in the narrative, which brings the reader back to the land and to organic preparation of food. Again, for the right reader, this book may hit the sweet spot of romance, courtroom thriller, police procedural, and mystery....more",Notes are private!,6,27,1,"Mar 13, 2024","Mar 15, 2024","Mar 13, 2024",,Hardcover,view (with text),/book/show/199798457-middletide
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ours,"Williams, Phillip B.*",059365482X,9780593654828,,592        pp,3.91,245,"Feb 20, 2024","Feb 20, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ours is a town near St. Louis created in 1830 by a conjurer named Saint, a place that is invisible to outsiders, impossible to find. Saint created it Ours is a town near St. Louis created in 1830 by a conjurer named Saint, a place that is invisible to outsiders, impossible to find. Saint created it for the freed and formerly enslaved, a haven for those who recently had no personal agency. The essential theme becomes a question of freedom—what it is, and if that is what these people surely have, or is it insulation, or owning of a different kind? Williams writes this like an allegory or folk tale, a mammoth, epic saga filled to the brim with colorful characters and scenic events. Saint rescues enslaved people across the South, and uses her conjuring powers to both create and destroy. Her moodiness can wreak havoc in Ours, distancing and sometimes frightening its citizens.On every poetic page, the author demonstrates his talent for dangerous enchantment, violent beauty, complex relationships, and layered language. I’ve always enjoyed big, bold books, but in this instance, I started to run out of steam and began skimming the last half. As gorgeous and picturesque as it is, the story unfolded so unhurriedly that it sputtered out too soon for me, became static. As a film, it would knock my socks off, in the hands of the right director, who can capture all the scenes and characters but give it some propulsion. 3.5 stars...more",Notes are private!,0,27,1,"Mar 06, 2024","Mar 13, 2024","Mar 06, 2024",,Hardcover,view (with text),/book/show/195095780-ours
