,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,A.S.'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Door on Half-Bald Hill,"Sorensen, Helena*",1951872037,9781951872038,1951872037,302        pp,4.18,523,unknown,"May 31, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Just brilliant. I'm in awe of this book.Just brilliant. I'm in awe of this book....more,Notes are private!,0,6,1,not set,not set,"May 22, 2020",,Paperback,view (with text),/book/show/52823245-the-door-on-half-bald-hill
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Among Others,"Walton, Jo*",076532153X,9780765321534,076532153X,304        pp,3.70,"24,552","Jan 18, 2011","Jan 18, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 12, 2019",,Hardcover,view,/book/show/8706185-among-others
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Henry and the Chalk Dragon,"Trafton, Jennifer*",0986381888,9780986381881,0986381888,240        pp,4.15,"1,241","Apr 04, 2017","Apr 04, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Mar 18, 2017",,Hardcover,view,/book/show/32337619-henry-and-the-chalk-dragon
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Speaker for the Dead        (Ender's Saga, #2)","Card, Orson Scott",0812550757,9780812550757,0812550757,382        pp,4.10,"255,281",Mar 1986,"Aug 15, 1994",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 03, 2016",,Paperback,view,/book/show/7967.Speaker_for_the_Dead
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shiloh        (The Shiloh #1),"Sorensen, Helena*",,,B016DR8MRG,226        pp,4.17,396,"Apr 01, 2013","Oct 08, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 12, 2015",,Kindle Edition,view,/book/show/27073248-shiloh
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Brutus: John Wilkes Booth and the Lincoln Conspiracies,"Kauffman, Michael W.",0375759743,9780375759741,0375759743,544        pp,4.14,"2,308","Nov 02, 2004","Oct 18, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 19, 2015",,Paperback,view,/book/show/146263.American_Brutus
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Oracle of Philadelphia        (Tales of an Unremembered Country #2),"Peterson, A.S.*",,,B00K64HGZW,37        pp,3.91,22,"May 07, 2014","May 07, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 12, 2014",,Kindle Edition,view,/book/show/22076337-the-oracle-of-philadelphia
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Supper of the Lamb: A Culinary Reflection,"Capon, Robert Farrar",0375760563,9780375760563,0375760563,284        pp,4.47,"2,493","Oct 01, 1989","Jul 02, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Good gravy! One of my top 5 favorite books ever.,Notes are private!,0,0,1,not set,not set,"Nov 05, 2012",,Paperback,view (with text),/book/show/157466.The_Supper_of_the_Lamb
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Catch-22,"Heller, Joseph",0684833395,9780684833392,0684833395,453        pp,3.99,"831,168","Nov 10, 1961","Sep 04, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 23, 2012",,Paperback,view,/book/show/168668.Catch_22
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Yearling,"Rawlings, Marjorie Kinnan",0689846231,9780689846236,0689846231,513        pp,4.02,"28,983","Jan 01, 1938",Sep 2001,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Great book. Might be one of my all time favorites.,Notes are private!,0,0,1,Jul 2012,Jul 2012,"Jul 01, 2012",,Paperback,view (with text),/book/show/159582.The_Yearling
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hunger Games        (The Hunger Games, #1)","Collins, Suzanne",0439023483,9780439023481,0439023483,374        pp,4.34,"8,666,442","Sep 14, 2008","Oct 14, 2008",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 02, 2012",,Hardcover,view,/book/show/2767052-the-hunger-games
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Children of Húrin,"Tolkien, J.R.R.",0618894640,9780618894642,,313        pp,4.03,"83,584","Apr 16, 2007","Apr 17, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Fantastic book. Great ending.,Notes are private!,0,0,1,"Feb 18, 2012","May 15, 2012","Feb 18, 2012",,Hardcover,view (with text),/book/show/23591.The_Children_of_H_rin
