,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Diana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Completely Normal,"James, Biffy",,,,304        pp,4.16,821,"Jul 06, 2022","Jul 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Paperback,view,/book/show/61073258-completely-normal
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Life as a Hashtag,"Williams, Gabrielle",1760113689,9781760113681,1760113689,288        pp,3.52,261,Jun 2017,Jun 2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m not sure if this book was supposed to be funny (a former work colleague described it as ‘hilarious’), to me it was a very salutary lesson on teensI’m not sure if this book was supposed to be funny (a former work colleague described it as ‘hilarious’), to me it was a very salutary lesson on teens and social media. Set in Melbourne, I got the private school vibes and while I imagined Kew or Hawthorn, there were beach locales so probably Brighton or Beaumaris. MC vents on social media using an app that vocalises celebrities footage with MC’s comments and the videos go viral. Along with friendship rifts as a result of her actions, MC is dealing with her parents’ separation and other growing pains. Gabrielle Williams definitely knew how to write YA and I’ve enjoyed all her books. Sadly Gabby died prematurely from a massive stroke in 2023. She has been memorialised in the Readings Gabby Williams Prize. I have the first winner from 2023 Completely Normal by Biffy James ready to read next. Vale Gabrielle Williams, a great author....more",Notes are private!,0,3,1,"Apr 05, 2024","Apr 09, 2024","Apr 05, 2024",,Paperback,view (with text),/book/show/33311867-my-life-as-a-hashtag
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Song of Comfortable Chairs        (No. 1 Ladies' Detective Agency, #23)","McCall Smith, Alexander*",1408714469,9781408714461,1408714469,230        pp,4.30,"6,750","Sep 06, 2022",2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,**spoiler alert** Book 23 in this series. I always enjoy my visits to Botswana,Notes are private!,0,2,1,"Mar 29, 2024","Apr 05, 2024","Mar 29, 2024",,Paperback,view (with text),/book/show/71474588-a-song-of-comfortable-chairs
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mezzofanti's Gift: The Search for the World's Most Extraordinary Language Learners,"Erard, Michael*",0715645684,9780715645680,0715645684,320        pp,3.54,"1,450","Jan 10, 2012",Jul 2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,ebook,view,/book/show/18218266-mezzofanti-s-gift
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"First French Essais: Venturing into Writing, Marriage, and France","Espinasse, Kristin*",1496139550,9781496139559,1496139550,150        pp,4.05,86,"Mar 04, 2014","Mar 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/21461099-first-french-essais
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blossoming in Provence,"Espinasse, Kristin*",1467929794,9781467929790,1467929794,152        pp,3.80,167,"Dec 16, 2011","Dec 16, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/13276934-blossoming-in-provence
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Words in a French Life: Lessons in Love and Language from the South of France,"Espinasse, Kristin*",0743287282,9780743287289,0743287282,304        pp,3.73,917,"Apr 25, 2006","Apr 25, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/99343.Words_in_a_French_Life
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,(Not Quite) Mastering the Art of French Living,"Greenside, Mark",1510731105,9781510731103,1510731105,276        pp,3.93,926,unknown,"May 08, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/36860498-not-quite-mastering-the-art-of-french-living
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'll Never Be French (no matter what I do): Living in a Small Village in Brittany,"Greenside, Mark",1416586873,9781416586876,1416586873,256        pp,3.80,"2,594","Nov 04, 2008","Nov 04, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/3506388-i-ll-never-be-french-no-matter-what-i-do
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,London Belongs to Me,"Collins, Norman",0141442336,9780141442334,0141442336,738        pp,4.21,"1,175",1945,"Feb 26, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/6267715-london-belongs-to-me
