,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Claire's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Purple Hibiscus,"Adichie, Chimamanda Ngozi",,,,336        pp,4.18,"119,969","Oct 30, 2003",2005,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fifteen-year-old Kambili lives with her abusive and religious father, abused mother, and older brother in Nigeria. She survives by working out exactlyFifteen-year-old Kambili lives with her abusive and religious father, abused mother, and older brother in Nigeria. She survives by working out exactly what it is her father wants but still he beats her and pours boiling water on her feet. She and her brother see a different kind of family life - loving and fun - when they go to stay with their aunt and cousins. This is all set to the backdrop of the Nigerian coup which affects her father's life most of all.There were lots of things I enjoyed: how complicated her father is, the stirrings of love that Kambili feels for a priest, and the aunt and cousins, but still I was left rather unmoved. The brother and mother both seemed unknowable, and even Kambili is so introverted that she lack enough energy and agency to care too much about. ...more",Notes are private!,0,10,1,Apr 2024,"Apr 08, 2024","Apr 09, 2024",,Paperback,view (with text),/book/show/126381.Purple_Hibiscus
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kings of the Yukon: An Alaskan River Journey,"Weymouth, Adam",0141983795,9780141983790,0141983795,288        pp,4.09,"1,208","May 15, 2018","Jun 06, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beautiful nature writing about a canoe journey Weymouth takes down the two thousand miles of the Yukon from Canada into Alaska. It's a river that the Beautiful nature writing about a canoe journey Weymouth takes down the two thousand miles of the Yukon from Canada into Alaska. It's a river that the King salmon migrate up to spawn, and as well as describing the scenery, Weymouth stops at various towns, villages and fishing camps along the way to meet people all of whom have an interest in the salmon and opinions on how much fishing should be allowed. There is no simple answer to this question of the salmon, and it was fascinating to gain a little understanding of the differing views which weren't always as expected. There were some sections where Weymouth tells the story from the point of view of someone he meets, and although this was also beautifully written, it made the non fiction / fiction boundary a little muddy for me. Recommended. ...more",Notes are private!,0,11,1,"Feb 18, 2024","Apr 04, 2024","Apr 02, 2024",,Paperback,view (with text),/book/show/41826076-kings-of-the-yukon
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soldier Sailor,"Kilroy, Claire",,9780571375592,,unknown,4.18,"2,291","May 02, 2023","Jun 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kilroy's writing it exceptional and I can't wait to read more by her. And the relentless tedium of early motherhood was perfectly portrayed - I was taKilroy's writing it exceptional and I can't wait to read more by her. And the relentless tedium of early motherhood was perfectly portrayed - I was taken right back to those days and the terrible feelings that this will never end, even while you love the creature you have produced. I thought that either Kilroy has recently had a child or she was taking notes and writing at the same time! But...but...I don't know that this added to anything more to other novels I've read about the relentlessness of new motherhood....more",Notes are private!,0,15,1,not set,not set,"Apr 02, 2024",,Audiobook,view (with text),/book/show/203152818-soldier-sailor
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Some New Ambush,"Davies, Carys*",1844713415,9781844713417,1844713415,108        pp,4.05,93,"Oct 01, 2007","Oct 01, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I loved the first story in this short collection, but the others, while beautifully written just didn't work for me. I was left too often with the thoI loved the first story in this short collection, but the others, while beautifully written just didn't work for me. I was left too often with the thought, 'what?' at the end of each of them. I love Davies' novels though. ...more",Notes are private!,0,6,1,Mar 2024,"Mar 26, 2024","Apr 02, 2024",,Paperback,view (with text),/book/show/3370398-some-new-ambush
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Saturday Place: Open for food, friendship and finding your way -- the BRAND NEW tender and uplifting novel from bestseller Alice Peterson","Peterson, Alice*",1915798531,9781915798534,B0CMF67HJT,270        pp,4.47,32,unknown,"Mar 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 02, 2024",,Kindle Edition,view,/book/show/201648075-the-saturday-place
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So You've Been Publicly Shamed,"Ronson, Jon",0330492284,9780330492287,0330492284,278        pp,3.93,"62,896","Mar 09, 2015","Mar 09, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was first published in 2015 but I'm not sure much has changed in 9 years - there are still huge pile-ons on Twitter for things that people think This was first published in 2015 but I'm not sure much has changed in 9 years - there are still huge pile-ons on Twitter for things that people think other people have done wrong. One of the reasons I'm no longer on Twitter. Ronson speaks to many people about public shaming, which for most of them affects them for a long time afterwards. Sometimes the shaming is because they have been caught out telling lies, other times it's because they posted a poorly thought through 'joke'. The repercussions weren't particularly a surprise but it was interesting to hear their stories, and even more interesting to learn about the US judge Ted Poe who hands out public shaming as sentences to criminals. Some other areas felt a little like padding. ...more",Notes are private!,0,18,1,"Mar 12, 2024","Mar 16, 2024","Mar 19, 2024",,Hardcover,view (with text),/book/show/25094414-so-you-ve-been-publicly-shamed
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Dark-Adapted Eye,"Vine, Barbara",,,,300        pp,3.93,"9,612",1986,1987,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The ultimate literary mystery writer. Faith's Severn tells the story of her aunt Vera, hanged for murder, the recounting prompted by a true-crime writThe ultimate literary mystery writer. Faith's Severn tells the story of her aunt Vera, hanged for murder, the recounting prompted by a true-crime writer who is researching what happened. The family is so ashamed of what Vera did that they have never talked about it openly until now. During the war, Vera shares her home with her much younger sister Eden, whom she adores, and her son Francis. But while Vera's husband is away she becomes pregnant and gives birth to another boy, Jamie who usurps Eden in her affections. It's twisty, elegantly written, and the characterisation is wonderful. And not an ending I was expecting. ...more",Notes are private!,0,20,1,"Mar 10, 2024","Mar 16, 2024","Mar 19, 2024",,Paperback,view (with text),/book/show/39184483-a-dark-adapted-eye
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moon Road,"Leipciger, Sarah*",0857526537,9780857526533,0857526537,368        pp,4.86,7,"May 16, 2024","May 16, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oh my goodness, this story, this writing, this book. You want to know how to write character or place, read this. But also read it for its tender, fieOh my goodness, this story, this writing, this book. You want to know how to write character or place, read this. But also read it for its tender, fierce, tragic story. Kathleen (who reminded me very much of Olive Kitteridge) is a flower gardener, alone and still grieving over the disappearance of her 22 year old daughter Una nineteen years ago, on the West coast of Canada. But after all this time, there has been some news, and her ex-husband, and Una's father, turns up saying he is driving west, across Canada and persuades Kathleen to go with him. So, a love story, a tragedy, and a road trip. And some of the best writing you'll read. Definitely a contender for my books of the year. Thanks to Transworld for the proof. ...more",Notes are private!,0,27,1,Mar 2024,"Mar 05, 2024","Mar 06, 2024",,Hardcover,view (with text),/book/show/209274150-moon-road
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Open Throat,"Hoke, Henry*",,,B0BSB2KQPS,2        pp,4.00,"7,130","Jun 06, 2023","Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A mountain lion who understands English, living in the Hollywood Hills. I really enjoyed this. The snippets of human conversation he overhears, the waA mountain lion who understands English, living in the Hollywood Hills. I really enjoyed this. The snippets of human conversation he overhears, the way we were able to look at humans with a different perspective. It took an odd turn when a girl finds him and keeps him in her bedroom and becomes almost speculative at times. But it was all fun, all good. ...more",Notes are private!,0,19,1,"Feb 23, 2024","Feb 23, 2024","Mar 06, 2024",,Audible Audio,view (with text),/book/show/180140369-open-throat
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lord Jim at Home,"Brooke, Dinah",1914198662,9781914198663,1914198662,264        pp,3.77,261,1973,Oct 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lord Jim at Home by Dinah Brooke is a re-issue from 1973, which apparently was met with horror on its first publication. I can see why, but I loved itLord Jim at Home by Dinah Brooke is a re-issue from 1973, which apparently was met with horror on its first publication. I can see why, but I loved it. It is repulsive, disturbing, grotesque, and mordantly funny - I laughed out loud many times and then felt bad about laughing. It's a clever writer who can make a reader feel both delighted and appalled in the same moment. Dinah Brooke's writing is clear and crisp, and the images she creates in the reader's head are vivid and nightmarish. Lord Jim at Home is a story in three parts about the life of Giles Trenchard, born between the wars into an upper middle class family where he is cruelly treated by his father and his first nursemaid. He learns to keep his head down, and by doing this he survives school and escapes to the Navy. The second part is about long stretches of time doing nothing, and an hour or two of intense and terrible fighting. When Giles returns to England he finds he doesn't fit in anywhere, can't understand what he's supposed to be doing, and the third part is completely unexpected and yet makes complete sense in a weird and very dark way. Highly recommended....more",Notes are private!,0,19,1,"Feb 13, 2024","Feb 19, 2024","Feb 21, 2024",,Paperback,view (with text),/book/show/195458088-lord-jim-at-home
