,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Serena.. Sery-ously?'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood & Ice        (Silk and Steel, #3)","Nash, Ariana*",,,B07V83ZF2F,412        pp,4.25,"2,716","Oct 11, 2019","Oct 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2024",not set,"Apr 05, 2024",,Kindle Edition,view,/book/show/50149586-blood-ice
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron & Fire        (Silk and Steel, #2)","Nash, Ariana*",,,B07N8KD5NL,414        pp,4.16,"3,403","Apr 19, 2019","Apr 19, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024","Apr 05, 2024","Mar 29, 2024",,Kindle Edition,view,/book/show/43797623-iron-fire
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Old Dreams Die: Stories,"Ajvide Lindqvist, John",0312620535,9780312620530,0312620535,400        pp,3.78,"2,906","Jan 01, 2011","Oct 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/17286698-let-the-old-dreams-die
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mama Does Time        (A Mace Bauer Mystery, #1)","Sharp, Deborah*",0738713295,9780738713298,0738713295,336        pp,3.63,"2,430","Oct 01, 2008","Oct 08, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/3367626-mama-does-time
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Il satiro scientifico. Storie di merda: Scienza, usi e costumi della materia fecale",Barbascura X,8835730376,9788835730378,B0CN47B3JR,360        pp,4.02,44,unknown,"Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 09, 2024",,Kindle Edition,view,/book/show/201970946-il-satiro-scientifico-storie-di-merda
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il satiro scientifico. Riprodursi male. Sesso e amore apparentemente contro natura,Barbascura X,8835725879,9788835725879,B0C46TWZ4K,283        pp,4.04,222,unknown,"May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 09, 2024",,Kindle Edition,view,/book/show/147983495-il-satiro-scientifico-riprodursi-male-sesso-e-amore-apparentemente-con
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Inheritance Games        (The Inheritance Games, #1)","Barnes, Jennifer Lynn*",1368052401,9781368052405,1368052401,386        pp,4.17,"706,371","Sep 01, 2020","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/52439531-the-inheritance-games
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Game On: Tempting Twenty-Eight,"Evanovich, Janet*",1398510130,9781398510135,1398510130,304        pp,4.11,"48,569","Nov 02, 2021","Nov 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/59448494-game-on
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fortune and Glory        (Stephanie Plum #27),"Evanovich, Janet*",1472246233,9781472246233,1472246233,0        pp,4.04,"43,359","Nov 10, 2020","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/58562186-fortune-and-glory
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Twisted 26,"Evanovich, Janet*",1472246136,9781472246134,1472246136,306        pp,4.10,"49,550","Nov 12, 2019","Sep 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/57974734-twisted-26
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Gentleman’s Guide to Getting Lucky        (Montague Siblings, #1.5)","Lee, Mackenzi*",0062967169,9780062967169,0062967169,113        pp,4.05,"20,199","Nov 26, 2019","Nov 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nella mia testa avevo acquistato il terzo volume della serie.. E invece no, la novella che già possiedo. Niente, non mi è suonato nessun campanello deNella mia testa avevo acquistato il terzo volume della serie.. E invece no, la novella che già possiedo. Niente, non mi è suonato nessun campanello del tipo ""A Monty and Percy NOVELLA"". Vabbé, almeno è carinissima e non mi pento troppo dell'acquisto, visto che ce l'ho in italiano e si trova nel volume unico che raccoglie i primi due romanzi della serie :D...more",Notes are private!,0,3,1,not set,not set,"Feb 29, 2024",,Hardcover,view (with text),/book/show/44557918-the-gentleman-s-guide-to-getting-lucky
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silent Wife        (Will Trent #10),"Slaughter, Karin*",0008303444,9780008303440,0008303444,400        pp,4.23,"57,572","Aug 04, 2020","Jun 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/50283319-the-silent-wife
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If We Were Villains,"Rio, M.L.*",1785656473,9781785656477,1785656473,432        pp,4.17,"272,492","Apr 11, 2017","Jan 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/34369803-if-we-were-villains
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moonflower Murders        (Susan Ryeland, #2)","Horowitz, Anthony*",1787464199,9781787464193,1787464199,581        pp,4.05,"49,725","Aug 18, 2020","Apr 29, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/55539756-moonflower-murders
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shades of Grey        (Shades of Grey, #1)","Fforde, Jasper*",0340963050,9780340963050,0340963050,436        pp,4.15,"37,286","Dec 29, 2009",2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/7739723-shades-of-grey
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Good Turn: A Jolly Murder Mystery,"Atkinson, Kate",,,,527        pp,3.81,"43,921",Aug 2006,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/49957821-one-good-turn
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atto d'amore,"Lansdale, Joe R.*",8858442180,9788858442180,B0BZQXHJVM,235        pp,3.74,42,unknown,"Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Kindle Edition,view,/book/show/129324228-atto-d-amore
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La fiamma nel buio,"Connelly, Michael*",,,B084QPB78B,400        pp,4.28,"62,103","Oct 22, 2019","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Kindle Edition,view,/book/show/52024273-la-fiamma-nel-buio
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Us Against You        (Beartown, #2)","Backman, Fredrik*",1501160796,9781501160790,1501160796,448        pp,4.36,"192,582","Aug 21, 2017","Jun 05, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Senza parole, innamorata persa ❤️Anzi no, una cosa la devo dire: ma che mondo è se anche nella pacifica e innocua Svezia la gente è così cattiva?!BackSenza parole, innamorata persa ❤️Anzi no, una cosa la devo dire: ma che mondo è se anche nella pacifica e innocua Svezia la gente è così cattiva?!Backman si conquista il paradiso degli scrittori preferiti di sempre!(Come al solito la narrazione di Marin Ireland è magistrale!...more",Notes are private!,0,2,1,"Feb 13, 2024","Mar 03, 2024","Feb 11, 2024",,Hardcover,view (with text),/book/show/36373463-us-against-you
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La cosa buffa,"Berto, Giuseppe",,,,350        pp,3.85,40,1966,1966,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/25938190-la-cosa-buffa
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vegetariana,Han Kang,8845934012,9788845934018,8845934012,177        pp,3.58,"165,707","Oct 30, 2007",May 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/49955306-la-vegetariana
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Which Way Round the Galaxy        (Which Way to Anywhere, #2)","Cowell, Cressida",144496822X,9781444968224,B0C61JMCZ8,339        pp,4.42,71,unknown,"Sep 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/159217510-which-way-round-the-galaxy
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tutto chiede salvezza,"Mencarelli, Daniele",,,B0848SG25R,193        pp,4.18,"7,710","Feb 25, 2020","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Kindle Edition,view,/book/show/51720703-tutto-chiede-salvezza
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between the Devil and the Sea,"Feener, Chani Lynn*",,,B0BX8N9YPW,524        pp,4.01,"2,276","Apr 05, 2023","Apr 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Kindle Edition,view,/book/show/123199053-between-the-devil-and-the-sea
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oh, Sacred Dark        (Coven Ties, #1)","Vivancos, Marina*",,,B0BVQ6JLJG,225        pp,4.01,861,"Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Kindle Edition,view,/book/show/122751037-oh-sacred-dark
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"XOXO        (Roosevelt College, #1)","Lee, Christina*",,,B0C9BPVSX8,278        pp,3.91,"2,329","Jul 20, 2023","Jul 20, 2023",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ripensando al libro mi indispettisco, gli levo una stellina, tié.---A questo punto inizio davvero a pensare che il problema sia io.. Tipo non riusciròRipensando al libro mi indispettisco, gli levo una stellina, tié.---A questo punto inizio davvero a pensare che il problema sia io.. Tipo non riuscirò mai più a trovare un buon libro e godermi la lettura, che visione apocalittica, alla fine non me lo merito!Mi sembra tutta uguale 'sta robaccia, provo solo fastidio per i personaggi e sembra tutto assolutamente insensato.A questo giro aggiungo pure dialoghi imbarazzanti che rovinano momenti di ""pathos"".Aiutone....more",Notes are private!,0,3,1,"Feb 09, 2024","Feb 14, 2024","Dec 29, 2023",,Kindle Edition,view (with text),/book/show/180932119-xoxo
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Murder at the End of the World,"Turton, Stuart*",1728254655,9781728254654,1728254655,400        pp,4.04,"1,196","Mar 28, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Hardcover,view,/book/show/136276877-the-last-murder-at-the-end-of-the-world
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,325","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Hardcover,view,/book/show/173754979-james
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Anne of Green Gables        (Anne of Green Gables, #1)","Montgomery, L.M.",0451528824,9780451528827,0451528824,320        pp,4.31,"978,820",1908,"May 06, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Audible ha creato un capolavoro qui ❤️,Notes are private!,0,2,1,"Dec 16, 2023","Dec 26, 2023","Dec 16, 2023",,Mass Market Paperback,view (with text),/book/show/8127.Anne_of_Green_Gables
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lager Queen of Minnesota,"Stradal, J. Ryan*",0399563059,9780399563058,0399563059,349        pp,4.01,"41,213",Jul 2019,"Jul 23, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"AbbandonatoAh, meno male, con le ultime letture mi stavo preoccupando di essere tornata normale riuscendo a finire un libro e a finirlo in tempi ragioAbbandonatoAh, meno male, con le ultime letture mi stavo preoccupando di essere tornata normale riuscendo a finire un libro e a finirlo in tempi ragionevoli!Tutto a posto, un altro abbandonato :DMamma mia che noia e che prurito mi dà Helen.. non ho proprio nessun interesse per la storia e mi viene voglia di menare le mani.. basta, non fa per me!...more",Notes are private!,0,1,1,not set,not set,"Dec 03, 2023",,Hardcover,view (with text),/book/show/42203363-the-lager-queen-of-minnesota
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Semper Fi,"Andrews, Keira*",,9780993859854,,320        pp,4.13,"2,569","Nov 11, 2014","Nov 11, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,ebook,view,/book/show/23355893-semper-fi
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spark        (North Star #1),"Roberts, Posy*",,,B07DLKYNNF,348        pp,3.92,440,"Sep 01, 2013",Jan 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Kindle Edition,view,/book/show/50731235-spark
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Silver Scars,"Roberts, Posy*",,,B00ZPT6Y6K,282        pp,3.85,479,"Jun 22, 2015","Jun 22, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Kindle Edition,view,/book/show/25682474-silver-scars
