,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bianca's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martin Eden,"London, Jack",,,,480        pp,4.47,"43,027",1908,"Feb 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Paperback,view,/book/show/929782.Martin_Eden
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Safekeep,"Wouden, Yael van der",1668034344,9781668034347,1668034344,272        pp,4.22,241,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/199798201-the-safekeep
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kind of, Sort of, Maybe, But Probably Not","Neeme, Imbi*",1761341065,9781761341069,1761341065,336        pp,3.94,102,unknown,"Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Paperback,view,/book/show/206135848-kind-of-sort-of-maybe-but-probably-not
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Territory of Light,"Tsushima, Yūko",,,,128        pp,3.59,"7,465",1978,"Apr 04, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I came across this novel in a Facebook book club and I was taken with the cover. Fortunately, my library had it on its shelves.Written in 1978, this nI came across this novel in a Facebook book club and I was taken with the cover. Fortunately, my library had it on its shelves.Written in 1978, this novella is about a young Japanese woman and her young daughter about to turn three. The young woman has just separated from her husband and the father of her child, so she moved into another apartment, on the top floor of a business complex. The apartment is very well lit, which is not easy to find.There isn't much to this novel, it's quite mundane. The mother, a librarian, struggles, trying to get a divorce, dealing with the rinse and repeat cycle of work, childcare and chores. We follow the mother and the little girl for over a year as they adapt to their new life, living in this bright apartment.Written in a natural way, Territory of Light had an appealing, mesmerising quality to it that kept me engaged....more",Notes are private!,6,9,1,"Apr 05, 2024","Apr 07, 2024","Apr 05, 2024",,Paperback,view (with text),/book/show/43894695-territory-of-light
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The English Understand Wool,"DeWitt, Helen",0811230074,9780811230070,0811230074,69        pp,4.16,"5,805","Aug 16, 2022","Sep 27, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this because Ann Patchett recommended it on the socials.At the centre of this short story/novella, there's a privileged seventeen year old, raiI read this because Ann Patchett recommended it on the socials.At the centre of this short story/novella, there's a privileged seventeen year old, raised in Marakesh by a French mother and an English father. There are tones of the old world, the aristocratic, where one has servants (well paid and treated, mind you), multiple properties, one is educated in the art of dining and wining, sports, horse riding, playing the piano and so on. This was quirky, in a good way, with a satisfying and unexpected ending.I would be remiss not to mention how good it felt and how easy it was to hold and read this beautifully printed book. Yes, I'm becoming one of those readers for whom the quality of the physical book influences my experience. Recommended...more",Notes are private!,4,12,1,not set,"Apr 05, 2024","Apr 04, 2024",,Hardcover,view (with text),/book/show/59468833-the-english-understand-wool
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waterland,"Swift, Graham",0679739793,9780679739791,0679739793,368        pp,3.90,"9,289",1983,"Mar 31, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/871594.Waterland
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letter to My Daughter,"Angelou, Maya",1400066123,9781400066124,1400066123,192        pp,4.09,"31,046",1987,"Sep 23, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/4016515-letter-to-my-daughter
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Green Dot,"Gray, Madeleine",1250890594,9781250890597,1250890594,320        pp,3.79,"9,905","Feb 27, 2024","Feb 27, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5I was curious about this novel, I thought it'd be a romance, rom-com Aussie novel. It's not.Hera is twenty-four and just muddles through life. She 3.5I was curious about this novel, I thought it'd be a romance, rom-com Aussie novel. It's not.Hera is twenty-four and just muddles through life. She doesn't know what she wants from life, she's intelligent but not willing to settle, and she's antsy. She's got a couple of humanities degrees, she'd rather study than work for a corporation, but one needs money to survive, even though she's living in her father's place and doesn't have to pay rent.So she takes a job to moderate comments for a news website. She hates her job, most colleagues and is quietly dispering. One day she stumbles upon Arthur, a forty-something journalist, who is intrigued by her bluntness and sense of humour.Hera has mostly been with women, suddenly she's into this guy and enjoys having snarky, teasing chat message exchanges. Besides, she's so damn bored. So what's a man and a woman to do - they hook up. Besides the age gap, there's one little problem - the dude is married. Oh, the cliche. Hera is aware, she's not stupid. So what will happen to them, will he leave his wife? They are both declarative and the guy makes promises, but because he's such a nice guy he has to find the right time, he doesn't want to hurt his partner of twenty years. Feel free to roll your eyes, I certainly did.I get why some would hate this book - Hera is not that particularly likeable, she makes a problematic choice, or several, still, despite those barriers, there were quite a few things I appreciated about this novel: - a realistic, flawed main heroine, bonus points for her being bisexual; - she's witty and quite in touch with herself, oh the irony that she still lies to herself for a man, an undecided, coward - but, it's love! - it was just different from all the other Gen Z, millennial sad female character novels.This is not for everyone, but a worthy debut novel. ...more",Notes are private!,14,21,1,"Mar 29, 2024","Apr 05, 2024","Mar 29, 2024",,Hardcover,view (with text),/book/show/127282597-green-dot
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Appointment,"Müller, Herta",080506012X,9780805060126,080506012X,208        pp,3.39,"3,817",1997,"Sep 13, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/2050213.The_Appointment
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Bright Ray of Darkness,"Hawke, Ethan",0385352387,9780385352383,0385352387,237        pp,3.73,"6,106",unknown,"Feb 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The e-audiobook was available on the library apps, so I thought I'd try it, especially since it wasn't long.I confess I have a somewhat snobbish attitThe e-audiobook was available on the library apps, so I thought I'd try it, especially since it wasn't long.I confess I have a somewhat snobbish attitude towards books written by celebrities/actors, which more often or not are written by ghostwriters. If you're like me, you don't need to worry about this novel. Hawke sure took the mantra, advice ""write what you know"" to heart, as this novel is about a thirty-two-year-old movie actor, who's about to divorce his gorgeous, talented, famous music star wife. He's taken a beating in the media due to his cheating and there's disdain thrown his way. He's also starting a new challenge, being in a Shakespeare play on Broadway.The poor, pretty boy William, just wants to be loved and admired, he wants to be a good dad and his marriage to work, why doesn't the world give him a break? (insert small violins)At some point, I was asking myself why am I listening to a novel about a self-involved actor, who's got a crisis of confidence and feels sorry for himself and self-sabotages.Truthfully, this was well written, at times brilliant, at times self-indulgent and infuriating. Hawke was such an excellent narrator, it only showcased how smoothly the novel flowed and the naturalness of the dialogue. A Bright Ray of Darkness had some great observations on culture, theatre, and art in general, the theatre scenes were quite interesting to me. ...more",Notes are private!,6,10,1,"Mar 21, 2024","Mar 23, 2024","Mar 21, 2024",,Hardcover,view (with text),/book/show/54875689-a-bright-ray-of-darkness
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.63,19,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/204811915-tell-me-everything
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Lady's Guide to Scandal        (A Lady's Guide, #2)","Irwin, Sophie",0593492005,9780593492000,0593492005,359        pp,3.83,"8,634","Jul 06, 2023","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5I thought this was going to be something else, but at least I didn't hate it, which is an accomplishment in itself.Miss Eliza Balfour is a widow at3.5I thought this was going to be something else, but at least I didn't hate it, which is an accomplishment in itself.Miss Eliza Balfour is a widow at only twenty-seven years old. Luckily, she's a very rich one, which affords one so much freedom, even given the double standards of the era. She has to overcome her nature which has always been submissive, fearful and compliant.Will she finally do what she wants to do and come into herself?There's a love triangle of sorts to keep things interesting. While this has the usual cliches of the genre, I went along for the ride and sort of enjoyed it. I put that in the wins category. :-)...more",Notes are private!,4,10,1,not set,"Mar 20, 2024","Mar 20, 2024",,Paperback,view (with text),/book/show/63018956-a-lady-s-guide-to-scandal
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Train to Lisbon,"Mercier, Pascal",0802118585,9780802118585,0802118585,496        pp,3.74,"24,737",2004,"Dec 21, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Hardcover,view,/book/show/1528410.Night_Train_to_Lisbon
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women of Good Fortune,"Wan, Sophie*",1525804308,9781525804304,B0C4LKPMPL,361        pp,3.68,"1,250","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Hardcover,view,/book/show/150352946-women-of-good-fortune
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crudo,"Laing, Olivia*",0393357414,9780393357417,0393357414,160        pp,3.20,"8,307","Jun 28, 2018","Sep 03, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Crudo is about a forty year old woman who's about to get married. Her life is changing, the UK is changing, the world is one big boiling pot which sheCrudo is about a forty year old woman who's about to get married. Her life is changing, the UK is changing, the world is one big boiling pot which she's aware of due to consuming the news and being on Twitter. This is a short, fast paced, direction and ideas changing novel, that should have greatly appealed to me, alas I couldn't get into it, many a times I found myself not taking anything in, I didn't feel anything except for mild irritation about not knowing what the point was....more",Notes are private!,4,10,1,not set,"Mar 17, 2024","Mar 16, 2024",,Paperback,view (with text),/book/show/43811235-crudo
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Until August,"García Márquez, Gabriel",0241686350,9780241686355,0241686350,129        pp,3.78,"7,137","Mar 06, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/200555496-until-august
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Divide,"Henríquez, Cristina*",0063291320,9780063291324,0063291320,321        pp,3.76,"3,425","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/181110028-the-great-divide
