,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Blaine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,"Purnell, Sonia",,,B07DN155VV,368        pp,4.15,"48,275","Mar 28, 2019","Apr 09, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So very torn on this book and rating. It is the story of Virginia Hall, who really had an amazing life as a spy and part of the French Resistance in WSo very torn on this book and rating. It is the story of Virginia Hall, who really had an amazing life as a spy and part of the French Resistance in WW2. An American woman who was undervalued by the US State Department, and who eventually gets a position with the British Intelligence agency and is sent over to France to try and start a Resistance unit. She does an amazing job, recruits some wonderful people (both nuns and prostitutes) to be a part of the unit. Has an innate feel for her job, and did I mention that she had her one leg amputated due to a hunting accident! Wonderful story, but for me the writing and editing was mediocre. Sherlock Holmes lived at 221B Baker Street, not 64 Baker as stated in the book. Also there are lots of filler that has no supporting research because Virginia did not keep a diary of her life due to the sensitive nature of her work. I also felt the book plodded along, especially when there were such dynamic events happening with Virginia. The life story is worth a 5***** effort, but the writing really brings the rating, for me, to a 3.5***...more",Notes are private!,4,21,1,"Apr 04, 2024","Apr 11, 2024","Apr 04, 2024",,Kindle Edition,view (with text),/book/show/40644988-a-woman-of-no-importance
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sweet Bean Paste,"Sukegawa, Durian",,,B0719DRX7Z,186        pp,4.07,"44,587","Feb 06, 2013","Oct 05, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"First half of this book a 4****, the 2nd half was disappointing to me and no more than 2**I really liked the first half of this book basically about aFirst half of this book a 4****, the 2nd half was disappointing to me and no more than 2**I really liked the first half of this book basically about a former criminal, Sentaro who now is paying off a debt by running a dorayaki store (sweet bean paste pancake), and this little old lady Tokue. Tokue has Hansen's disease (leprosy) as a child, and even though she had been cured for 40 years she still has some physical remnants of the disease. Tokue, who is in her 70's applies for a job at the store and persists until Sentaro lets her work making the bean paste. She makes it from scratch and the store becomes popular, but she is kept in the back away from the customers. Eventually the store owner demands Sentaro fire her and for me the story goes on a predictably downhill slope. There is no resolution to the story after Tokue dies, and middle-school student added nothing to the story and in the end Tokue ends up quitting and living alone. There may be some deep metaphorical meaning to the 2nd half but it just does not jell for me. It's a shame since the book had such a promising beginning....more",Notes are private!,0,15,1,"Mar 31, 2024","Apr 06, 2024","Mar 31, 2024",,Kindle Edition,view (with text),/book/show/36352961-sweet-bean-paste
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No More Empty Spaces: A Novel,"Green, D.J.*",,,B0C9HK23ZP,305        pp,4.70,10,unknown,"Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024",not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/181355650-no-more-empty-spaces
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Your Heart Was Made for This: Contemplative Practices for Meeting a World in Crisis with Courage, Integrity, and Love","Sofer, Oren Jay*",1645472000,9781645472001,1645472000,304        pp,4.14,56,unknown,"Nov 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An enjoyable self-help meditation book, written by a very well-versed Oren Sofer. Oren has a 26 chapter book in which he breaks down the 26 essential An enjoyable self-help meditation book, written by a very well-versed Oren Sofer. Oren has a 26 chapter book in which he breaks down the 26 essential qualities of how meditation can help bring 0rder, contentment and joy to your life - hey, isn't that something we all need!! Each chapter begins with a quote that relates to the chapter, and Sofer uses a lot of personal experiences and stories to make his point. I found it very interesting. Now I must admit I was not overly fond of the social action portions of each chapter, but quite possibly many other readers will agree with the author. There are a plethora of self-help and meditation books on the market, but this one seems better written and more helpful than many of the others I have seen....more",Notes are private!,0,4,1,"Mar 29, 2024","Apr 08, 2024","Mar 29, 2024",,Hardcover,view (with text),/book/show/123143261-your-heart-was-made-for-this
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Thief and the Patriot,"Anunobi, Chikodi*",,,B0CTJBWF1B,192        pp,4.72,18,unknown,"Feb 14, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a unique and fascinating novel set in Nigeria, which to me has definite words of wisdom for those of us here in the United States. Chikodi AnunobWhat a unique and fascinating novel set in Nigeria, which to me has definite words of wisdom for those of us here in the United States. Chikodi Anunobi has written a wonderful book that takes an inside look at corruption that has plagued the country of Nigeria for decades. He takes pain to tell us that not all Nigerians are corrupt or dishonest, and he's correct but unfortunately the power elite rely on this corruption, greed and power to rule this country, and to keep it from becoming a truly unified nation. This is the story as told by Bonaventure Angila who was from the Kwenzu tribe of Nigeria, and about his rise to power until his eventual downfall years later. Bona tells us how he initially fell into the easy way of getting ahead: by bribing a school official so he could become a student mentor. Things snowballed from that initial realization that it was easier to get ahead by bribery than by hard work. Not that he does not work hard, Bona is a fine student, and eventually gets his degree and becomes an integral part of helping the political powers that be remain in power as well as collecting untold wealth. These people have their fingers in every Nigerian business, and in particular the Off-OPEC oil that they personally sold in order to reap billions of dollars for their personal gain. It's a cautionary tale of someone who gets caught up in each and every revolution in the country and always lands on his feet, because of his knowledge and what he can do with the money and the hidden assets. But eventually Bona is arrested as those people who were supposedly his friends and protectors turned upon him, because they were afraid that Bona would turn on them. In prison has ag enuine change of heart and mind, and eventually writes a story about his life. By the end this turns out to be not just a story of Bona, but a discourse on culture, cultural diversity and cultural assimilation. Is a thought-provoking book because even though the United States is not tribal in nature we are a country of multiple cultures and how these cultures must blend in order to become one cohesive unit. This is a wonderful novel, that is a short simple read, and grabs your attention from page 1. It is a book that most of us should read, and not just as cautionary tale of what has happened in Nigeria, but what could happen right here in the United States. A strong 4.5**** that I rounded up to a 5*****...more",Notes are private!,0,22,1,"Mar 25, 2024","Mar 29, 2024","Mar 25, 2024",,Kindle Edition,view (with text),/book/show/206173096-the-thief-and-the-patriot
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Beautiful Mystery        (Chief Inspector Armand Gamache, #8)","Penny, Louise*",,,B0071VURHW,360        pp,4.20,"79,092","Aug 28, 2012","Aug 28, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Book of the Inspector Gamache series is a breath of fresh air. I has felt that books 6 & 7 were getting a bit of a labor for me, but here author LouisBook of the Inspector Gamache series is a breath of fresh air. I has felt that books 6 & 7 were getting a bit of a labor for me, but here author Louise Penny leaves her Three Pines setting in prior books, and instead Gamache and his 2nd in command, Jean-Guy Beauvoir, head off to a isolated Monastery to investigate the murder of the Monastery's prior, the monk who was in charge of the Orders Gregorian Chant music, and the force behind the Orders remarkably successful CD of those chants, and which helped the Order make much needed improvements to the actual building that was over 400 years old.The book details these chants, the beginning of written music (Neumes), as well as a divided order of monks. Gamache and Beauvoir also come face to face with the psychological fallout from their last adventure which, by the end of the book leaves both of these characters in a state of limbo and their futures either together or individually will be something that will be tested and detailed in the authors future book. If you read this book when it was originally published you might wonder if this series will continue much longer, but now Penny is getting ready to release Book 17, and so while we know the series continues, we await discovering the fates of so many characters as the series progresses....more",Notes are private!,1,19,1,"Mar 20, 2024","Apr 03, 2024","Mar 20, 2024",,Kindle Edition,view (with text),/book/show/16002271-the-beautiful-mystery
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reagan: The Life,"Brands, H.W.",,,B00NDTS7FU,834        pp,4.14,"2,439","May 12, 2015","May 12, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024",not set,"Mar 17, 2024",,Kindle Edition,view,/book/show/24493992-reagan
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How to Survive History: How to Outrun a Tyrannosaurus, Escape Pompeii, Get Off the Titanic, and Survive the Rest of History's Deadliest Catastrophes","Cassidy, Cody",0143136402,9780143136408,0143136402,195        pp,4.07,"1,340",Mar 2023,"Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/62669265-how-to-survive-history
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everyone on This Train Is a Suspect        (Ernest Cunningham, #2)","Stevenson, Benjamin*",0063279096,9780063279094,B0C6KMGND1,335        pp,3.94,"19,376","Oct 17, 2023","Jan 30, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A murder on a train! Does it remind you of anything? Well, it's not Agatha Christie to put it mildly, but Benjamin Stevenson has come up with an ingenA murder on a train! Does it remind you of anything? Well, it's not Agatha Christie to put it mildly, but Benjamin Stevenson has come up with an ingenious way of having a murder occur on a train, which is hosting an Australian book fair in which five mystery writers are featured. Who did the murder, how did it occur? There are plenty of brains that could be looking into this, which is a variation of a locked room mystery. It is given in the first person narrator form of ""Author"" Ernest Cunningham, who, apparently published a prior book about murders in his family, but has since then developed writers block and it's on this train expedition to flash out a new book. But instead of something from the inner workings of his mind the new book, which is this book, now is what happened on that train ride through the heart of Australia. The first half of the book was extremely slow and tedious reading for me, as the author introduced all his characters and gave us sufficient background that we should be able to solve the mystery. But when he tells us early on that he has mentioned the name of the killer, 106 times by the time the killer is revealed, it's just sort of an overkill. You see Cunningham is actually writing this book from a hospital bed after the event has ended. It's sort of ingenious, but the same time I could not get for about the first 60% of the book, after that thing started to move, because one murder always leads to a murder. There are suspects, some of whom are authors, maybe a publisher, how about a literary agent or fans who are on the train? As I say, it is certainly a unique take on the typical locked room mystery by having it on a train, but there's just something missing in this book, and because of that no more than a three star from me....more",Notes are private!,0,34,1,"Mar 04, 2024","Mar 18, 2024","Mar 04, 2024",,Kindle Edition,view (with text),/book/show/166998871-everyone-on-this-train-is-a-suspect
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hanging with Hugo        (Crime with the Classics Book 6),"Hyde, Katherine Bolger*",1448312957,9781448312955,B0CJ9K5YK1,253        pp,4.12,8,unknown,"Mar 05, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Book 6 of the ""Crime with the Classics"" series was my first introduction to the works of Katherine Bolger Hyde, and I was pleased with the book. Not aBook 6 of the ""Crime with the Classics"" series was my first introduction to the works of Katherine Bolger Hyde, and I was pleased with the book. Not a huge fan of Cozy Mysteries, but this book in my opinion is a perfect beach read or for a rainy weekend escape. Despite being book 6 of the series it is pretty easy to pick up the characters and the plot is interesting. As with the other books in this series, the setting is the small town of Stony Beach, Oregon, and specifically the Victorian estate of Windy Corner and which is owned by the narrator Emily Cavanaugh. Emily and her husband Luke have just returned from their honeymoon in England when her half brother Oscar asked if she can host his wedding. This certainly seems to set Emily into a tither, but she is willing to do anything for Oscar, even if this entails having a house full of guests and booking a local church as well as paying for some of the repairs that need to be done on the church due to a recent storm.. Add to that crew, the artisan who is repairing the stained glass window at the church, along with his wife and son, who have no place to stay other than with Emily. And then we have moses, Valerie and his foster daughter Charlotte who are on the run from a out of control social worker named Janine Vertue. Yes, it is a crazy household combo made all of the crazier by the fact that Oscar and his fiancé show up and just a few days later the fiancé's parents arrive to stay with them. It is a full house and eventually there is a murder as social worker Janine Vertue is found dead in her hotel room. Shockingly, many of the individuals who are staying with Emily have a to Janine, and nobody has anything but bad thoughts about her. In addition two sinister characters come in from Portland, and try to take Charlotte from Emily's house. All of this just gives us a host of possible murderers to choose from. Emily's husband, Luke, is a member of the police force, but even he can't crack the case without some help from Emily herself. Yes, it is a cozy mystery that will keep you guessing. As for the title, Janine is found hanging in her hotel bathroom, and one of Emily's friends is reading a book by Victor Hugo. Yes, the classics are part of this, and each one of the authors books, which I find refreshing and different from most other cozy mysteries....more",Notes are private!,0,17,1,"Feb 27, 2024","Mar 25, 2024","Feb 27, 2024",,Kindle Edition,view (with text),/book/show/201822001-hanging-with-hugo
