,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bruno's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The White Album,"Didion, Joan",0008284687,9780008284688,0008284687,224        pp,4.06,"39,046",1979,"Dec 13, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The sitter tells me that she has obtained, for her crippled son, an autographed picture of Paul Newman. I ask how old her son is. ""Thirty-four,"" she sThe sitter tells me that she has obtained, for her crippled son, an autographed picture of Paul Newman. I ask how old her son is. ""Thirty-four,"" she says....more",Notes are private!,0,1,1,"Jan 05, 2024","Jan 07, 2024","Jan 05, 2024",,Paperback,view (with text),/book/show/36665946-the-white-album
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A New Name: Septology VI-VII,"Fosse, Jon",1913097722,9781913097721,1913097722,228        pp,4.49,"1,207",2021,"Sep 08, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 16, 2023","Dec 29, 2023","Dec 16, 2023",,Paperback,view,/book/show/58382687-a-new-name
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La scopa del sistema,"Wallace, David Foster",8806181041,9788806181048,8806181041,558        pp,3.84,"22,694","Jan 06, 1987","Nov 25, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Penso ancora alla signora del thermos.,Notes are private!,0,3,1,"Dec 03, 2023","Dec 16, 2023","Dec 03, 2023",,Paperback,view (with text),/book/show/9654264-la-scopa-del-sistema
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Things,"Gray, Alasdair",1526657880,9781526657886,1526657880,318        pp,4.00,"20,513",1992,2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 23, 2023","Dec 03, 2023","Nov 23, 2023",,Paperback,view,/book/show/197648275-poor-things
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Black Prince,"Murdoch, Iris",0140039341,9780140039344,0140039341,416        pp,3.95,"6,011",1973,"Jul 28, 1983",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 18, 2023",,Paperback,view,/book/show/907695.The_Black_Prince
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le Benevole,"Littell, Jonathan",8806219596,9788806219598,8806219596,953        pp,4.00,"13,564","Aug 21, 2006",2014,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 27, 2023","Aug 31, 2023","Jul 27, 2023",,Paperback,view,/book/show/22711836-le-benevole
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shards,"Ellis, Bret Easton",1800752296,9781800752290,1800752296,597        pp,3.99,"20,615","Jan 17, 2023","Jan 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Basically Bret Easton Ellis having a 600 pages wank.,Notes are private!,0,1,1,"Apr 05, 2023","Apr 19, 2023","Apr 05, 2023",,Hardcover,view (with text),/book/show/61729352-the-shards
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Perturbamento,"Bernhard, Thomas",,,,239        pp,3.93,"2,519",1967,1995,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Il principe disse che in ogni testa d'uomo è insita una catastrofe commisurata a quella testa. Non occorre aprire le teste degli uomini per accorgersiIl principe disse che in ogni testa d'uomo è insita una catastrofe commisurata a quella testa. Non occorre aprire le teste degli uomini per accorgersi che in esse non c'è altro che una catastrofe umana. ""Senza la sua peculiare catastrofe umana, l'uomo non può esistere assolutamente"" disse il principe. L'uomo ama la sua sventura e se per un attimo ne è privo, fa di tutto per ritrovarcisi immerso. ""Quando guardiamo in faccia gli uomini, vediamo che o si trovano immersi nella loro sventura o sono alla ricerca della loro sventura. Non c'è uomo senza umana sventura"" disse....more",Notes are private!,0,0,1,"Mar 17, 2023","Mar 23, 2023","Mar 17, 2023",,Paperback,view (with text),/book/show/9694235-perturbamento
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le perfezioni,"Latronico, Vincenzo",8830105694,9788830105690,8830105694,144        pp,3.30,"1,846","Mar 22, 2022","Mar 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Abbastanza angosciante per chi, come me, vive all'estero ormai da anni e certe sensazioni le ha vissute sulla propria pelle. Tuttavia, la totale asse Abbastanza angosciante per chi, come me, vive all'estero ormai da anni e certe sensazioni le ha vissute sulla propria pelle. Tuttavia, la totale assenza di dialoghi risulta piuttosto alienante e i personaggi mi sono apparsi distanti e indeterminati. Allora le immagini di Berlino che avevano tanto care perdevano di definizione; o meglio, sembravano fuorvianti, accurate nella loro limitatezza ma concepite in modo da occultare una parte cruciale dell’esperienza che volevano rappresentare. Al loro posto, come per un ribaltamento prospettico, apparivano in primo piano i ricordi degli anni da studenti, le vie che conoscevano a menadito. Se fossero rimasti in patria quella domenica sarebbero andati a pranzo da una delle loro famiglie. Probabilmente starebbero ancora bevendo il caffè; il sole splenderebbe ancora. Senza bisogno di parlarne Anna e Tom si sentivano stritolati dalla nostalgia. Cosa ci facevano lì? A mancargli tanto non era la loro città d’origine, ma qualcosa che lì avevano dato per scontato. Non sapevano cosa fosse, però sentivano che quella mancanza accresceva l’intensità della vita quotidiana ma anche il suo costo energetico, rendendola a volte più entusiasmante, ma in sostanza più dura....more",Notes are private!,0,0,1,not set,not set,"Mar 17, 2023",,Paperback,view (with text),/book/show/59800061-le-perfezioni
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Is Another: Septology III-V,"Fosse, Jon",1913097382,9781913097387,1913097382,288        pp,4.45,"1,392","Oct 07, 2020","Oct 07, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 23, 2023","Mar 09, 2023","Feb 23, 2023",,Paperback,view,/book/show/55434012-i-is-another
