,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Malcolm's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Calling for a Blanket Dance,"Hokeah, Oscar*",1643751476,9781643751474,1643751476,272        pp,4.27,"3,904","Jul 26, 2022","Jul 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2022",,Hardcover,view,/book/show/58328439-calling-for-a-blanket-dance
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Switchboard Soldiers,"Chiaverini, Jennifer*",0063080699,9780063080690,0063080699,453        pp,4.08,"7,631","Jul 19, 2022","Jul 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 30, 2022",not set,"Jul 22, 2022",,Hardcover,view,/book/show/58984691-switchboard-soldiers
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"844,980","Jul 05, 2022","Jul 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 14, 2022","Jul 23, 2022","Jul 14, 2022",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,December '41: A World War II Thriller,"Martin, William*",0765384248,9780765384249,0765384248,304        pp,4.09,684,"Jun 07, 2022","Jun 07, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 04, 2022","Jul 12, 2022","Jun 23, 2022",,Hardcover,view,/book/show/58724906-december-41
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Horse,"Brooks, Geraldine*",0399562966,9780399562969,0399562966,401        pp,4.28,"128,789","Jun 14, 2022","Jun 14, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jun 21, 2022","Jul 04, 2022","Jun 21, 2022",,Hardcover,view,/book/show/59109077-horse
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woman of Light,"Fajardo-Anstine, Kali*",0525511326,9780525511328,0525511326,336        pp,3.66,"11,683","Jun 07, 2022","Jun 07, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 10, 2022","Jun 21, 2022","Jun 06, 2022",,Hardcover,view,/book/show/58587145-woman-of-light
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mid-Air: Two Novellas,"Shorr, Victoria",0393882101,9780393882100,0393882101,192        pp,3.82,92,unknown,"May 17, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 31, 2022","Jun 10, 2022","May 31, 2022",,Hardcover,view,/book/show/58999189-mid-air
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Upgrade,"Crouch, Blake*",0593157532,9780593157534,0593157532,352        pp,3.81,"91,940","Jul 07, 2022","Jul 12, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 27, 2022","Jul 30, 2022","May 31, 2022",,Hardcover,view,/book/show/59838811-upgrade
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mercury Pictures Presents,"Marra, Anthony*",0451495209,9780451495204,0451495209,416        pp,3.68,"10,977","Jul 19, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2022",,Hardcover,view,/book/show/59109471-mercury-pictures-presents
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moonlight and the Pearler's Daughter,"Pook, Lizzie*",1982180498,9781982180492,1982180498,288        pp,3.44,"2,233","Mar 03, 2022","Jun 14, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 23, 2022","Jul 27, 2022","May 18, 2022",,Hardcover,view,/book/show/59366230-moonlight-and-the-pearler-s-daughter
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Atlas Paradox        (The Atlas, #2)","Blake, Olivie*",1250855098,9781250855091,1250855098,416        pp,3.58,"51,605","Oct 25, 2022","Oct 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2022",,Hardcover,view,/book/show/59808248-the-atlas-paradox
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shadows of Berlin,"Gillham, David R.*",1728250447,9781728250441,1728250447,416        pp,3.72,784,"Apr 05, 2022","Apr 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 26, 2022","May 05, 2022","Apr 26, 2022",,Hardcover,view,/book/show/59063246-shadows-of-berlin
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nightland Express,"Lee, J.M.*",,,,368        pp,3.56,140,"Oct 11, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 21, 2022",,Hardcover,view,/book/show/49151030-the-nightland-express
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Atlas Six        (The Atlas, #1)","Blake, Olivie*",1250854512,9781250854513,1250854512,376        pp,3.61,"202,683","Jan 31, 2020","Mar 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 19, 2022","Apr 26, 2022","Apr 01, 2022",,Hardcover,view,/book/show/59058504-the-atlas-six
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,French Braid,"Tyler, Anne*",059332109X,9780593321096,059332109X,244        pp,3.65,"48,677","Mar 22, 2022","Mar 22, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 30, 2022","Apr 05, 2022","Mar 30, 2022",,Hardcover,view,/book/show/58065401-french-braid
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Promise of the Pelican,"Hoffman, Roy",1950994341,9781950994342,1950994341,312        pp,3.97,526,unknown,"Mar 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 25, 2022","Mar 30, 2022","Mar 25, 2022",,Hardcover,view,/book/show/58438309-the-promise-of-the-pelican
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red Tent,"Diamant, Anita*",0312353766,9780312353766,0312353766,324        pp,4.20,"598,724",1997,Oct 1997,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2022","Mar 21, 2022","Mar 14, 2022",,Hardcover,view,/book/show/4989.The_Red_Tent
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cartographers,"Shepherd, Peng*",0062910698,9780062910691,0062910698,392        pp,3.64,"65,163","Mar 15, 2022","Mar 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,12,1,"Mar 21, 2022","Mar 25, 2022","Mar 01, 2022",,Hardcover,view,/book/show/55004093-the-cartographers
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moon Witch, Spider King        (The Dark Star Trilogy #2)","James, Marlon",0735220204,9780735220201,0735220204,626        pp,4.17,"4,257","Feb 15, 2022","Feb 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 16, 2022","Feb 27, 2022","Feb 16, 2022",,Hardcover,view,/book/show/58446722-moon-witch-spider-king
