,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lucy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Flame        (The Empyrean, #2)","Yarros, Rebecca*",1649374178,9781649374172,1649374178,640        pp,4.35,"918,793","Nov 07, 2023","Nov 07, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read the very, very hyped Fourth Wing by Rebecca Yarros last year and enjoyed it enough to continue with the sequel from the library when it finallyI read the very, very hyped Fourth Wing by Rebecca Yarros last year and enjoyed it enough to continue with the sequel from the library when it finally became available. Yarros is wisely milking the insane success of her fantasy/YA/romance, Fourth Wing, which felt quite clever in its world building of Dragons, a military academy, relics and runes and signets. Not my normal choice for reading but I was entertained. That entertainment did not continue for me with Iron Flame, book 2 in I'm not sure how many sequels she plans for this now series. With her fantasy world pretty much built, Iron Flame's 640 pages were left to fill with cringe worthy dialogue between dragon and human written in italics and a plot that didn't bother with a steady development but, instead, threw climax after climax at its readers. Each of these plot conflicts leading to a climax felt like it could have (maybe even should have) ended the story, but I knew from my page number that it wasn't ending soon. Instead of all of these dire situations feeling exciting, I felt like I was sprinting to false summit after false summit on a frustrating hike. Is this the top? No! I've still got a couple of miles to go. This must be the end....but no! There's more. Not to mention, all of these conflicts were always life and death. And it feels a little weird to not really care if any of these characters die because part of the story is this total nonchalance this world has towards the life of most of the supporting characters. Characters literally die all the time and I never know when it's going to just be a side note, like, ""oh...the death toll for today is 7,"" or ""now I cannot function because there is chance of death for a friend if I cannot control the lightning shooting out of my hands!"" It's really unbalanced. The book ends on a false summit again...shocker. Why write one great book when you can draw it out into 4 or 5 mediocre ones? Authors have to follow the money but readers don't. I'm turning around now to get off this hike....more",Notes are private!,0,4,1,not set,not set,"Mar 11, 2024",,Hardcover,view (with text),/book/show/90202302-iron-flame
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ink Black Heart        (Cormoran Strike, #6)","Galbraith, Robert",0316473537,9780316473538,0316473537,"1,391        pp",4.12,"89,782","Aug 30, 2022","Sep 21, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's been three years since I last took on a Cormoran Strike novel and I felt a little disoriented as the book started as I couldn't remember how the It's been three years since I last took on a Cormoran Strike novel and I felt a little disoriented as the book started as I couldn't remember how the last book ended. As the 6th book in a series, there is a continuous, developing story among the main characters, mostly focusing on the relationship between Cormoran Strike and his detective parter, Robin Ellacott. While not necessarily vital to understanding the plot of this book, knowing that story does help shade the motivations, frustrations and reactions of the two detectives throughout their investigation. I had to go back and read the summaries of each book. Then, I discovered they had all been developed into a show that is currently available on Max, so I watched them too! The Ink Black Heart feels significantly more modern than Galbraith's previous books in this series because much of the investigation involves researching suspects' YouTube videos, Instagram, Facebook, online chat forums, fan fiction games, Twitter threads, blogs and a developing Netflix series. The amount of anonymity available online, as well as the possibility that any of the suspects/characters being responsible for more than one account made this murder crime tricky to solve. Just about everyone seemed a likely suspect with plenty of motive and evil in them to do it. I did feel like the final reveal took a bit too long to get to and wasn't as satisfying as earlier books. I just wanted to be done with all of these psychos! One thing that was quite tedious in the audiobook format was the many, many, many chat forum/private message/twitter scenes. The narrator had to verbalize all of these, including the names, dates, times and user handles at the start of each message plus each hashtag at the end. This became pretty annoying over time and I know had I been reading, I could have gone through these passages much faster. Still, if you like mysteries and crime thrillers, these are enjoyable books to take you there. The writing is great. The moral commentary is nuanced enough to not feel preachy and the characters are flawed enough to root for and believe. I'm glad to be back in the Cormoran Strike world. ...more",Notes are private!,0,1,2,not setnot set,not setnot set,"Mar 05, 2024",,Hardcover,view (with text),/book/show/60144955-the-ink-black-heart
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"128,732","Aug 08, 2023","Aug 08, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was surprised by how irritated I found myself feeling every time I opened this book. First of all, I had to wait for forever to get it from the librI was surprised by how irritated I found myself feeling every time I opened this book. First of all, I had to wait for forever to get it from the library. I think I waited on hold for a digital copy for almost 6 months. I was so excited once I finally got the book and figured the 21 day loan to read it would be about 18 days longer than I needed, but I ended up power reading it on the day it was due because...I never felt like reading it!My first impression was that the narration was almost fairytale-esq. It felt folksy and a little bit...goofy? I don't know it just wasn't the kind of writing I could take seriously. Each character was developed in an almost slapstick way, like this was all some kind of vaudeville play. Then, the plot did not develop in a straightforward manner. Every time the story progressed, a new character and their backstory and their nickname and who their relatives are and what their jobs are and where they came from and what their religion is and even they way they walk were written about for pages. If someone were telling me this story, I would interrupt them and say, ""Focus!"" because it felt so tangential. Lastly, I couldn't help but feel like this story that was about the unjust prejudices of the Chicken Hill neighborhood outside of Philadelphia in the 1920s and 30s felt very prejudicial. Or at least very stereotypical. The jewish characters were mystical and tribal and owned all the businesses and maybe even a little unethical with money. The black characters were down on their luck, gritty, hardened and not law abiding. The Italians were emotional and uneducated and willing to do anything for money. And the white people were rapists, members of the KKK and had horrible taste in music. So, I should have maybe even hated this book but I didn't. It's not a bad book. On that last day, when I just plowed through all of my grievances, I felt its charm. I got the themes of the American dream and working together and doing the right thing the hard way. It has a strong message of hope and the power of inclusivity and what could be possible without the evils of corruption. Maybe a little bit of heaven on earth. ...more",Notes are private!,0,7,1,not set,not set,"Mar 04, 2024",,Hardcover,view (with text),/book/show/65678550-the-heaven-earth-grocery-store
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Horse,"Brooks, Geraldine*",0399562966,9780399562969,0399562966,401        pp,4.28,"128,732","Jun 14, 2022","Jun 14, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I loved the first half of this book. I felt giddy while reading it, feeling certain that I was finally going to have a 5 star book reaction but somethI loved the first half of this book. I felt giddy while reading it, feeling certain that I was finally going to have a 5 star book reaction but something happened in the second half of the book. I'm not certain if I just got tired of the back and forth between the 1850s and 60s and 2019 (with a little time spent during the 1950s) but I lost a bit of zeal towards the end. Still, this is high quality historical fiction. It's really almost everything I love about a book. I actually learned a lot! I had never heard of the horse named Lexington, a real horse from the Civil War era that dominated horse racing until a physical ailment forced him into early retirement. I learned about art provenance and its archiving, horse anatomy and what you can tell from skeletons and more about the Civil War including some new, but sadly not surprising, injustices of slavery. I can't imagine the amount of research required to put a novel like this together and voices to both real and imaginary characters along side the actual history. Everything is so smart and helps uncover the mystery of several paintings. I've never been passionate about art and I loved getting a glimpse into the lives of those that art...from the artists to art collectors to gallery owners. While I didn't quite believe the love story between the modern characters, Jess and Theo, I appreciated their inclusion. Both were extremely well educated and described as attractive but Jess was a white Australian and Theo was a black Nigerian American and the subtle yet present traces of systemic racism impact their own views of their blossoming relationship. It was such an interesting contrast to the blatant systemic racism throughout the rest of the book and an important juxtaposition. I'm embarrassed to admit that my own privilege prevented me from predicting the tragic ending. It's horrifying that any of it is a reality for anyone living in the United States today. This is definitely my favorite book of the year so far....more",Notes are private!,0,5,1,not set,"Feb 27, 2024","Feb 27, 2024",,Hardcover,view (with text),/book/show/59109077-horse
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"427,672","May 25, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Truly one of the most interesting and unpleasant books I have ever read. I'm always impressed with authors who have the courage to allow the protagoniTruly one of the most interesting and unpleasant books I have ever read. I'm always impressed with authors who have the courage to allow the protagonist to be unlikable. In Kuang's case, she not only allows it, but puts the narration in first person, which totally immerses the reader into the obnoxious, jealous, insecure, racist and unpleasant thoughts of the main character, June Hayward. June, an unsuccessful novelist, steals her very successful Asian-American friend's manuscript and then publishes it as her own work after her friend's death. The novel becomes a huge success even though June is a white author and the book is about Chinese Laborers on the European front during World War I. All of that immersion of June and her theft and following Tell-Tale-Heart experience made the book difficult to like. I get it. I kind of admire the satire and tongue-in-cheek navel gazing at how impure books can be...from the writing, publishing, marketing, ing and even award giving. But that didn't mean I enjoyed it. I couldn't wait for it to end and had my own cultural appropriation questions by its end. Does anyone have the freedom to write anything? It seems like a given to me that the answer to that question is yes but this book and many books released, adored and criticized over the last decade call that freedom into question. Should it be a requirement that an author somehow represent the main character or plot in a book, whether that be by race or gender or sexual identity or religion or nationality or any possible thing? This seems only fair to marginalized authors who have such a hard time breaking into the publishing world and finding mass success and appeal to all readers. Many accounts document that experience to be true. So, if that is the highest priority...to increase the percentage of representation of minority and marginalized authors, then the answer to that must be yes. Then, we can at least hope that those books we are reading will be more authentic or true. But Huang, a Chinese-American, throws this question into the book sphere by not only writing about white authors appropriating the culture of others, her Asian culture specifically, but by diving into cultural appropriation herself...by writing the entire perspective of this novel as a white woman, which she is not. I thought it was clever and infuriating. I think (I hope) she intended it to be so. Because she is wildly successful. This book is a hit. But is it fair? Isn't that the point of it all? I thought so until I read her afterward where she says wrote the book to expose the loneliness and stress of being an author. What the what? I mean...yeah. That was in there. But, that can't be the point of this book. To even write a  of this book seems fraught of possible offense. Kuang touches on the influence and weight of book s, even Goodreads, and how polarizing good and bad s to authors as well as those who love or hate any book. She also exposes the absolutely toxic world of Twitter (ok...X), the hustle of book promotion and the surprising accusation that best-sellers and critical darlings are chosen before most books are even finished. That seems super depressing and very George Orwellian. What a weird, troubling, interesting, book. My rating is more my reaction and desire to discuss than how well I liked it....more",Notes are private!,0,2,1,not set,"Feb 19, 2024","Feb 19, 2024",,Hardcover,view (with text),/book/show/62047984-yellowface
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elon Musk,"Isaacson, Walter*",1982181281,9781982181284,1982181281,688        pp,4.41,"36,159","Sep 12, 2023","Sep 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm so curious how history will judge Elon Musk. I don't think there are many people who can deny his legitimate genius. But...he's not very likable. I'm so curious how history will judge Elon Musk. I don't think there are many people who can deny his legitimate genius. But...he's not very likable. Fortunately for Musk, he's one of the rare cases who truly doesn't care. In fact, if there were a hierarchy of values, being ""likable"" might be at the very bottom. He believes worrying about stepping on toes or following rules or being concerned if someone's feelings might get hurt inhibits innovation and progress. Which deeply bothers the masses who demand our modern day heroes also subscribe to modern day sensibilities. In an age where cancel culture tries its darnedest to silence any offender, attempts to cancel Elon Musk have been often but also futile because...he'll just take over the company trying to silence him instead. Just this week, a news article in the Wall Street Journal claimed the boards for Tesla, Space X, and X (formerly Twitter) all want him gone because of his purported drug use. Now, I don't know if the article is true or not, but I'm sure the boards want him gone. He must be a nightmare to work with. After reading this biography by Walter Isaacson, I can't help but wonder what's true. Did the reporter have sources that have a grudge against Musk? It's very likely. Elon Musk is a polarizing figure. You either admire him or hate him. There doesn't seem to be much in between. Walter Isaacson, as a biographer, definitely admired him. I read a few warning s that this book is biased in favor of Elon Musk but I disagree. I think Isaacson does a fair job in laying out the facts of Musk's life. As a reader, I definitely felt repulsed by him. He and my values do NOT align. But, I found myself admiring Musk, much like Isaacson, anyway because...well...I don't really know. He's just a really unique person who is changing the world in real time. Not decades after the fact or after they die like so many artists, musicians, genius are only allowed to do. It's pretty incredible to think about. His priorities in life are creating sustainable energy to try and save the earth (Tesla), creating an interstellar reality where people can escape Earth due to nuclear war or climate change (Space X and trying to get people to Mars), and protecting all of humanity by ensuring artificial intelligence won't have the ability to wipe out humans (Open AI. Google's Sergey Brin accused Musk of being a speciesist for thinking humans have superiority over other forms of intelligence, even artificial intelligence. These geniuses are definitely weird!). He also thinks artificial intelligence can help humans never have to drive again (self driving cars), and recover from paralysis, blindness, deafness and other brain or neurologic ailments (Neuralink). What's crazy is these aren't just ideas for him. He's doing it. He's creating the cars. He's building the rockets. He's starting to put chips into human brains that code into computers the tasks they just thought about doing. Every time Isaccson uncovered another fascinating tidbit about Elon Musk's life and actions, I felt a bit in awe. But, Isaacson didn't shy away from all the things that make Elon Musk soooo unlikable. In great, and often tiresome detail, there is incident after incident of Musk firing people for challenging his ideas or not doing things his way. Because Musk has zero work/life balance (again...he doesn't operate like most people) he doesn't allow others to say ""no"" or ""later"" to a job demand. He has no compassion or interest in anything that doesn't serve his interests. He undoubtedly had a bad childhood with lots of physical and emotional abuse. He self-diagnoses himself to be on the autism spectrum. He keeps having children with different women through surrogacy and IVF because he thinks smart people need to have more children, never mind the future train wrecks these kids may be in the future because there isn't much nurturing going on there. I don't think these are the actions of a ""great"" person. Truly, I loved this biography. I can't think of a more interesting person than Elon Musk on the earth today and Walter Isaacson is a talented enough biographer to share his genius, maybe even evil genius, with the world. ...more",Notes are private!,2,4,1,"Jan 16, 2024","Jan 16, 2024","Jan 16, 2024",,Hardcover,view (with text),/book/show/122765395-elon-musk
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,155","Aug 01, 2023","Aug 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It must be January because, once again, I have this optimistic hope that this will be the year I get back to ing books regularly. We'll see...ThIt must be January because, once again, I have this optimistic hope that this will be the year I get back to ing books regularly. We'll see...There was a lot I liked about this book. The writing is great. Very fluid and descriptive and so easy that you feel like you're in the cherry orchard or at the lake or on the stage. I liked the dialogue and felt like the rhythm and conversations were natural and how people actually talk and interrupt and listen. And I loved listening to Meryl Streep on the audio. I'm pretty sure that was a perfect pairing. But, there was quite a bit I didn't love. I didn't love the dependence on knowing something about a play called, ""Our Town."" As it sometimes happens when I listen to an audio book, I missed the title of the play when it was given at the very beginning, when Laura (pre Lara) and her friend Veronica were checking in the locals for the community play auditions. She kept talking about Emily, Emily, Emily and George, George, George so I actually Googled (because it can be hard to rewind and find a certain spot in an audiobook), ""What play are they talking about at the beginning of Tom Lake?"" I saw the answer, ""Our Town"" which I have never seen but didn't worry too much about it because I didn't figure a literary novel would require a prerequisite knowledge of an old play. I guess it's not a prerequisite but it sure would have helped me connect to the book better. The entire plot is intertwined with the main character's love and participation in the role of Emily. I still don't know anything about the play but I know there's a guy frequently referred to as the Stage Manager, who is Emily's father (I think) and that she marries George and that Emily eventually dies. Sorry if that's a spoiler but, like I said, there's almost an assumption made that this play is all part of the general consciousness. The story is a back and forth between mother and daughters who want to know every single detail about a summer their mother spent at Tom Lake acting in the play ""Our Town"" opposite a now-famous movie actor, Peter Duke. Most of the book is spent in recollections building up to a summer Lara spent at Tom Lake. The current setting is at a fruit farm in Michigan during the world-is-shut-down phase of the Covid-19 pandemic. At least, I am guessing why all three of Lara's (I don't think she goes back to being Laura but it's hard to tell in audio format) daughters are at their childhood home as grown adults with their aging parents (eventually revealed to be 57, which is seeming less and less elderly to me now that I'm only a decade away from it). I'm not saying it's unrealistic that all of her children are equally eager to hear their mother monologue about a summer 33 years earlier over the course of many days but....ok...it feels a bit unrealistic. I have two children in their 20s and I think I could hold their attention and bend their ear with the kind of details Lara includes (what she was wearing, how my boyfriend (who...yes is a famous actor but is not their dad) dresses and walks and hits tennis balls) of my young adult life for maybe 10 minutes. Maybe. And it was always Lara cutting off the story. Her daughters didn't want to go to bed. They didn't want to go to work. They never wanted to miss a single detail so if someone had to go somewhere, Lara was given strict orders not to continue the story until they returned. I found this ability to monologue and share so many details (not all but most. The reader gets to know all) inconsistent with the modern day Lara. This easy going, cherry-pickin', seamstress, hard-working farmhouse dwelling Lara doesn't seem like an attention whore or someone who possesses a particularly dynamic personality. She seems pleasant and easy to be around...as a teenager, college student, summer-stock actress and mother. I just couldn't figure out how this big love story of her youth had never been shared before and how comfortable she now felt sharing it. Even around her husband. It's possible I guess. But...her two characters just didn't melt together the way my brain needed to happen. It also didn't seem that devastating when all the details were revealed. So, someone she loved at 24 didn't end up being the love of her life. This is probably most 57 year-old's stories. I guess Peter Duke's fame made it more interesting but since we didn't really get to know older Peter Duke (other than he became a sterotypically troubled Hollywood star), none of it seemed that earth shattering.  All my complaining aside, this is a really sweet, fun piece of fiction. It made me want to take up sewing and eat fresh fruit. It made me want to go to my local theater and witness the disparity between good acting and you-get-what-you-get-and-you-don't-throw-a-fit acting. It made me want to swim in a lake. But, I don't think this is a big revelatory story that connects us as humans. Most people don't date people who go on to become famous and most of us don't have a chance at fame but decide we want to live on a farm instead. And most of us will never get our children begging us to share all the details of our young lives because...there's probably a TikTok (or 100) they'd rather watch....more",Notes are private!,0,10,1,Jan 2024,"Jan 06, 2024","Jan 06, 2024",,Hardcover,view (with text),/book/show/63241104-tom-lake
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lucy by the Sea        (Amgash, #4)","Strout, Elizabeth*",0593446062,9780593446065,0593446062,291        pp,3.92,"64,782","Sep 20, 2022","Sep 20, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I finished this a few weeks ago and would have more things to say back then about what I liked and disliked about this 4th book in the Lucy Barton serI finished this a few weeks ago and would have more things to say back then about what I liked and disliked about this 4th book in the Lucy Barton series but, it turns out, I don't care that much about Lucy Barton. Weeks later I will admit that the craftsmanship was interesting as the setting is very recent (Covid pandemic when the world, especially New York, was shut down) and it was interesting to remember all of those immediate fears and unknowns. Still, it was a lot of time with Lucy and her ex-husband, William, - neither of whom I think I would enjoy sitting next to at a dinner party. I don't know if Strout writes this way in her other books or if this particular tendency was intentional for her character, Lucy Barton, but there is a phrase (and it's close cousins) that she uses too much. After explaining a thought, Lucy Barton would often then follow with ""What I'm saying is..."" or ""is what I mean."" It happens a lot. And every time I heard it (I listened to the audio), I felt annoyed by the repetition and suggestion that I couldn't possibly have understood what she meant the first time around. Like I said, it could be (and probably is) a character nuance which is fair. Some people do annoying repeat themselves and re-explain a statement. But, if it's just her writing style, I'm surprised an editor didn't point it out because it happens all the time and it seems like a grevious sin against the ""show don't tell"" technique I've heard is a writing virtue....more",Notes are private!,0,2,1,Feb 2023,Feb 2023,"Mar 15, 2023",,Hardcover,view (with text),/book/show/60657583-lucy-by-the-sea
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Friends, Lovers, and the Big Terrible Thing","Perry, Matthew",1250866448,9781250866448,1250866448,250        pp,3.90,"250,025","Nov 01, 2022","Nov 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"5 stars for vulnerability and honesty and probably 2 stars for memoir writing. Without clear chronology, Matthew Perry's recollections of his frequent5 stars for vulnerability and honesty and probably 2 stars for memoir writing. Without clear chronology, Matthew Perry's recollections of his frequent relapses into addiction to cope with abandonment issues and a lack of self-love felt very tedious. Sad...but tedious. I admire his willingness to share his a-ha moments, his triggers and his weird, wild ride into celebrity. His story is filled with a strange combination of self-deprecation and narcissism which makes sense for a celebrity but it also made his memoir, for me, very hard to find relatable. I hope he continues with his recovery and search for love. ...more",Notes are private!,0,5,2,Feb 2023not set,Feb 2023not set,"Mar 15, 2023",,Hardcover,view (with text),/book/show/59641216-friends-lovers-and-the-big-terrible-thing
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oh William!        (Amgash, #3)","Strout, Elizabeth*",0812989430,9780812989434,0812989430,240        pp,3.86,"80,104","Oct 19, 2021","Oct 19, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What I keep seeing as a common reaction to Elizabeth Strout's books is how well she writes the human condition. I don't agree. I think she writes a paWhat I keep seeing as a common reaction to Elizabeth Strout's books is how well she writes the human condition. I don't agree. I think she writes a particular human condition - pain - quite well. But, she rarely manages to include the many, many other, and often happier, wonders of being human. I notice and wish for the added diversity. At least, that's my take away after reading three of her books in three weeks. Maybe reading them all so close together skews my view but I can't help but see the same story happening over and over. And as interesting as that story is and as well as Strout writes and develops it, I felt bored. I did like this one better than Anything Is Possible and will finish this series by reading Lucy By the Sea next because I've already invested this much into Lucy and William and their weird, unhealthy relationship so let's see what getting stuck together during the Covid Pandemic does for their trauma! Fun!...more",Notes are private!,0,3,1,"Feb 16, 2023","Feb 19, 2023","Feb 20, 2023",,Hardcover,view (with text),/book/show/56294820-oh-william
