,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Andrea's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Homewreckers,"Andrews, Mary Kay*",1250341825,9781250341822,1250341825,512        pp,3.86,"43,011","May 03, 2022","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Mass Market Paperback,view,/book/show/195790871-the-homewreckers
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Haunted Showboat        (Nancy Drew, #35)","Keene, Carolyn",,,,184        pp,3.90,"6,092",1957,1957,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Apr 04, 2024",,Hardcover,view,/book/show/23573482-the-haunted-showboat
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hidden Window Mystery        (Nancy Drew Mystery Stories, #34)","Keene, Carolyn",,,,214        pp,4.00,"6,788",1956,1956,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 27, 2024","Apr 04, 2024","Mar 27, 2024",,Hardcover,view,/book/show/6658294-the-hidden-window-mystery
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fayne,"MacDonald, Ann-Marie",,9780735276659,,736        pp,4.27,"3,542","Oct 11, 2022","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Paperback,view,/book/show/210119389-fayne
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,243","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/63241104-tom-lake
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Witch Tree Symbol        (Nancy Drew Mystery Stories, #33)","Keene, Carolyn",,,,213        pp,3.88,"6,583",1955,1955,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024","Mar 27, 2024","Mar 18, 2024",,Hardcover,view,/book/show/5497190-the-witch-tree-symbol
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Scarlet Slipper Mystery        (Nancy Drew Mystery Stories, #32)","Keene, Carolyn",0448095327,9780448095325,0448095327,179        pp,3.93,"6,869",1954,1974,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 11, 2024","Mar 18, 2024","Mar 11, 2024",,Hardcover,view,/book/show/414066.The_Scarlet_Slipper_Mystery
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ringmaster's Secret        (Nancy Drew, #31)","Keene, Carolyn",0448195313,9780448195315,0448195313,178        pp,3.95,"5,998",1953,"Sep 01, 1974",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024","Mar 11, 2024","Mar 05, 2024",,Hardcover,view,/book/show/48741.The_Ringmaster_s_Secret
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Days: 'Richly imagined and skillfully crafted' The Spectator,"Kay, Francesca",1800753500,9781800753501,B0CFD2JWKL,292        pp,4.00,18,unknown,"Feb 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Kindle Edition,view,/book/show/196217516-the-book-of-days
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Me Comes the Flood,"Perry, Sarah",0062666401,9780062666406,0062666401,256        pp,2.78,"4,070","Jun 26, 2014","Mar 17, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 29, 2024","Mar 11, 2024","Feb 29, 2024",,Paperback,view,/book/show/52388533-after-me-comes-the-flood
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Melmoth,"Perry, Sarah",0062856405,9780062856401,0062856405,304        pp,3.43,"14,095","Oct 16, 2018","Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024",not set,"Feb 29, 2024",,Paperback,view,/book/show/43453714-melmoth
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eight Ghosts: The English Heritage Book of New Ghost Stories,"Perry, Sarah",1910463736,9781910463734,1910463736,214        pp,3.48,"1,200","Sep 18, 2018","Sep 28, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/35689074-eight-ghosts
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Quaint and Curious Volume: Tales and Poems of the Gothic,"Perry, Sarah",0008368872,9780008368876,0008368872,240        pp,3.96,56,"Sep 05, 2019","Mar 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/46202207-a-quaint-and-curious-volume
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Essex Girls: For Profane and Opinionated Women Everywhere,"Perry, Sarah",178283821X,9781782838210,B08B9NL1DQ,96        pp,3.50,720,unknown,"Oct 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Kindle Edition,view,/book/show/55521899-essex-girls
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enlightenment,"Perry, Sarah",0063352613,9780063352612,0063352613,384        pp,4.11,75,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/196774352-enlightenment
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Clue of the Velvet Mask        (Nancy Drew Mystery Stories, #30)","Keene, Carolyn",,,,211        pp,3.93,"5,749",1953,1953,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 27, 2024","Mar 05, 2024","Feb 27, 2024",,Hardcover,view,/book/show/10929578-the-clue-of-the-velvet-mask
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magic of Ordinary Days,"Creel, Ann Howard*",0670910279,9780670910274,0670910279,274        pp,3.90,"9,919",2001,"Jul 09, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 23, 2024","Feb 29, 2024","Feb 27, 2024",,Hardcover,view,/book/show/1673956.The_Magic_of_Ordinary_Days
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mystery at the Ski Jump        (Nancy Drew Mystery Stories, #29)","Keene, Carolyn",,,,212        pp,3.88,"5,494",1952,1952,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 18, 2024","Feb 27, 2024","Feb 18, 2024",,Hardcover,view,/book/show/15776831-the-mystery-at-the-ski-jump
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Clue of the Black Keys        (Nancy Drew Mystery Stories, #28)","Keene, Carolyn",0448095289,9780448095288,0448095289,174        pp,3.89,"5,389",1951,1968,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024","Feb 18, 2024","Feb 12, 2024",,Hardcover,view,/book/show/862001.The_Clue_of_the_Black_Keys
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Secret of the Wooden Lady        (Nancy Drew Mystery Stories, #27)","Keene, Carolyn",0448095270,9780448095271,0448095270,176        pp,3.93,"5,897",1950,1967,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/631126.The_Secret_of_the_Wooden_Lady
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Clue of the Leaning Chimney        (Nancy Drew Mystery Stories, #26)","Keene, Carolyn",0448095262,9780448095264,0448095262,176        pp,3.91,"6,613",1949,1967,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 25, 2024","Feb 10, 2024","Jan 25, 2024",,Hardcover,view,/book/show/631106.The_Clue_of_the_Leaning_Chimney
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Day of Fallen Night        (The Roots of Chaos #0),"Shannon, Samantha*",1639732993,9781639732999,1639732993,880        pp,4.39,"28,640","Feb 28, 2023","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Paperback,view,/book/show/182635270-a-day-of-fallen-night
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ghost of Blackwood Hall        (Nancy Drew, #25)","Keene, Carolyn",,,,178        pp,3.90,"6,742",1948,1967,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 18, 2024","Jan 25, 2024","Jan 18, 2024",,Hardcover,view,/book/show/18431537-the-ghost-of-blackwood-hall
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wartime Sisters,"Loigman, Lynda Cohen*",1250140706,9781250140708,1250140706,290        pp,3.84,"7,181","Jan 22, 2019","Jan 22, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/39863502-the-wartime-sisters
